,idx,reward_sum,n_steps,reason
0,0,-16.27725438028574,52,OOB
1,1,-10.788659489306156,148,OOB
2,2,-1.4652818193717394,86,OOB
3,3,-2.7314143214025535,81,OOB
4,4,-3.6686858907341957,30,OOB
5,5,-10.938669056966319,130,OOB
6,6,-6.374984967405908,157,OOB
7,7,-6.132539974467363,113,OOB
8,8,-5.7711878307163715,45,OOB
9,9,-0.6827077995749278,85,OOB
10,10,-2.9567364268004894,22,OOB
11,11,-2.182092354806173,105,OOB
12,12,-2.9027224702149397,60,OOB
13,13,-1.54913269514509,93,OOB
14,14,-3.6455812436761335,53,OOB
15,15,-6.23987173075875,128,OOB
16,16,-1.2743829917963012,57,OOB
17,17,-4.0442819940217305,94,OOB
18,18,-2.7650040558764886,95,OOB
19,19,-4.607018747628899,64,OOB
20,20,-3.0469251906033605,46,OOB
21,21,-3.330375418867334,142,OOB
22,22,-2.1942253849701956,56,OOB
23,23,-6.763394434499787,136,OOB
24,24,-5.565670797054736,113,OOB
25,25,-3.4074060047207695,108,OOB
26,26,-4.9713892974104965,69,OOB
27,27,-5.69183607440209,72,OOB
28,28,-6.574733918969287,99,OOB
29,29,-4.994048187712906,70,OOB
30,30,-2.5705102256470127,80,OOB
31,31,-6.306587513536215,39,OOB
32,32,-14.256849472978502,148,OOB
33,33,-0.3660540507407859,37,OOB
34,34,-0.18798563013478997,43,OOB
35,35,-0.9992051704903133,77,OOB
36,36,-7.355371091091456,141,OOB
37,37,-1.9473273367839283,92,OOB
38,38,-1.335097588787903,70,OOB
39,39,-4.923025849602709,134,OOB
40,40,-5.078224763274193,31,OOB
41,41,-5.454500666673994,109,OOB
42,42,-4.129647850324545,102,OOB
43,43,-1.2134595165844075,50,OOB
44,44,-2.0514140374361887,125,OOB
45,45,-3.3774260617792606,65,OOB
46,46,-3.9265081255871337,99,OOB
47,47,-2.1751413168385625,18,OOB
48,48,-2.0939616037067026,88,OOB
49,49,-4.767565782618476,128,OOB
50,50,-2.4871286390844034,80,OOB
51,51,-1.7204216632364933,146,OOB
52,52,-2.5745866276611196,120,OOB
53,53,-0.44150928140152246,64,OOB
54,54,-2.583302384767194,119,OOB
55,55,-4.668196748942137,40,OOB
56,56,-1.725387775200943,131,OOB
57,57,-2.3973106341436505,50,OOB
58,58,-2.4080576336491504,96,OOB
59,59,-2.042780773639606,97,OOB
60,60,-2.026712797116488,62,OOB
61,61,-4.427190185917425,139,OOB
62,62,-4.442763076018309,89,OOB
63,63,-2.217059015383711,83,OOB
64,64,-4.5188053099846,98,OOB
65,65,-3.4899912470500567,131,OOB
66,66,-2.763482771357303,110,OOB
67,67,-2.064908949463643,70,OOB
68,68,-3.8938836395245744,126,OOB
69,69,-3.416990783676738,74,OOB
70,70,-3.7042412946320837,85,OOB
71,71,-2.977118395632715,51,OOB
72,72,-4.9941273428848945,158,OOB
73,73,-3.8700201343599474,74,OOB
74,74,-4.26915714237839,62,OOB
75,75,-3.7419437278294936,121,OOB
76,76,-1.5059607422153931,71,OOB
77,77,-2.202292140907957,94,OOB
78,78,-2.757847005763324,85,OOB
79,79,-4.379186351216049,73,OOB
80,80,-2.8904600377281895,143,OOB
81,81,-5.112303985346443,112,OOB
82,82,-0.8986166693794075,60,OOB
83,83,-3.3658878176574945,139,OOB
84,84,-9.33636104047946,140,OOB
85,85,-2.0873508689837763,89,OOB
86,86,-3.349392348434776,63,OOB
87,87,-1.8280004559783265,69,OOB
88,88,-0.7738439438362548,86,OOB
89,89,-1.704671703017084,104,OOB
90,90,-3.4975944538018666,92,OOB
91,91,-3.261310886064166,126,OOB
92,92,-3.5580332448662375,90,OOB
93,93,-3.5705631292803446,151,OOB
94,94,-3.041408631950617,19,OOB
95,95,-6.686263044532097,107,OOB
96,96,-4.2533857967937365,58,OOB
97,97,-2.5254847230025916,111,OOB
98,98,-1.2796562580042519,80,OOB
99,99,-2.746161802439019,88,OOB
