,idx,reward_sum,n_steps,reason
0,0,-18.480876825749874,166,OOB
1,1,-12.549550810043002,162,OOB
2,2,108.60571819738834,88,HOME
3,3,-0.5482242574798875,187,OOB
4,4,110.10032360616606,83,HOME
5,5,-0.18951072037452832,53,OOB
6,6,-0.6697988383675693,248,OOB
7,7,109.41666524888569,170,HOME
8,8,-0.545052445231704,226,OOB
9,9,110.0517806744665,86,HOME
10,10,-0.050693569297436625,37,OOB
11,11,-0.45864113360948977,157,OOB
12,12,-0.08388382122211624,75,OOB
13,13,-0.3483524104813114,69,OOB
14,14,-0.5930519051980809,197,OOB
15,15,110.05774768136325,80,HOME
16,16,-0.591626054800372,160,OOB
17,17,110.11104976544812,123,HOME
18,18,110.04936454868039,58,HOME
19,19,-0.6715658534649265,279,OOB
20,20,-0.7000244200753514,187,OOB
21,21,110.1135006786426,142,HOME
22,22,-0.08940167806576937,46,OOB
23,23,110.0338885698111,149,HOME
24,24,109.90625977089258,231,HOME
25,25,-0.8035633148392662,215,OOB
26,26,-0.062226675159763545,29,OOB
27,27,110.05108557578842,92,HOME
28,28,-0.08485182123877166,82,OOB
29,29,-0.2305104331644543,130,OOB
30,30,-0.7301989347797644,220,OOB
31,31,110.07541187484458,106,HOME
32,32,110.02815460962552,107,HOME
33,33,-0.7896310666801583,248,OOB
34,34,-0.06066719349473715,38,OOB
35,35,109.42003555755764,189,HOME
36,36,-0.5047078451971174,133,OOB
37,37,110.1202366380021,133,HOME
38,38,110.0034637689289,81,HOME
39,39,110.04340546534513,59,HOME
40,40,110.0443005250927,76,HOME
41,41,110.02635285715951,159,HOME
42,42,109.95415970875365,173,HOME
43,43,110.07787103072042,97,HOME
44,44,-0.060975803586188704,46,OOB
45,45,110.04926042446277,72,HOME
46,46,-0.5801828045659931,142,OOB
47,47,-0.7096378124538205,272,OOB
48,48,-0.8139262657932704,295,OOB
49,49,110.0955114012304,148,HOME
50,50,110.05630567565095,70,HOME
51,51,-0.6913983374615782,270,OOB
52,52,-0.4718341486695863,174,OOB
53,53,110.03416860134348,52,HOME
54,54,110.0244311162187,110,HOME
55,55,-0.7352039576217066,292,OOB
56,56,110.07320830019307,92,HOME
57,57,-0.742898487229013,281,OOB
58,58,-0.789203543739859,282,OOB
59,59,-0.3490621336522963,181,OOB
60,60,110.09850533431745,119,HOME
61,61,-0.5939857865887461,229,OOB
62,62,110.07548826450602,183,HOME
63,63,110.05342609308718,146,HOME
64,64,-0.21172405983088538,69,OOB
65,65,110.03651826443092,59,HOME
66,66,-0.6594487771035347,216,OOB
67,67,-0.5317400920412183,194,OOB
68,68,-0.3770271738494557,176,OOB
69,69,109.64870515205348,216,HOME
70,70,110.09516634061583,119,HOME
71,71,-0.2673599138506688,72,OOB
72,72,109.78672128357357,222,HOME
73,73,109.95626263637314,108,HOME
74,74,-0.03813231585172616,74,OOB
75,75,110.06882613657217,160,HOME
76,76,110.11560002187616,143,HOME
77,77,110.08272494937773,149,HOME
78,78,-0.7324566081297235,282,OOB
79,79,-0.07905947577819461,115,OOB
80,80,-0.11707561654930032,105,OOB
81,81,-0.5404758509321255,170,OOB
82,82,-0.33137989055830985,69,OOB
83,83,-0.5353256746238912,167,OOB
84,84,-0.4936035729624564,121,OOB
85,85,-0.748740904207807,215,OOB
86,86,109.9896886158167,186,HOME
87,87,109.92096415410015,139,HOME
88,88,110.04474894996031,107,HOME
89,89,110.08804866713763,162,HOME
90,90,-0.875744372351619,245,OOB
91,91,110.05851405307567,97,HOME
92,92,110.02640058167617,144,HOME
93,93,110.05648101311635,182,HOME
94,94,110.02887238820404,165,HOME
95,95,-0.7226184566497977,294,OOB
96,96,110.00602749320274,93,HOME
97,97,-0.508922973734343,185,OOB
98,98,-0.05244490981567651,41,OOB
99,99,110.0279033908937,163,HOME
