,update,total_updates,T,FPS,window,mean,median,min,max
0,0,244,4096,189,27,30.880779740740742,-3.343261,-11.426386,94.317989
1,1,244,8192,205,46,40.78578889130434,-2.483663,-16.805892,95.226556
2,2,244,12288,210,50,44.649433499999994,86.60817,-16.805892,96.95525
3,3,244,16384,207,50,54.54053403999999,90.42611099999999,-16.805892,96.95525
4,4,244,20480,206,50,55.582784540000006,90.3984715,-12.224576,97.677232
5,5,244,24576,202,50,51.79174218,90.3984715,-12.255672,98.54673
6,6,244,28672,204,50,43.4823953,44.3866255,-18.851799,98.54673
7,7,244,32768,204,50,33.55907964,-2.867649,-18.851799,97.062442
8,8,244,36864,202,50,26.611968460000003,-2.8884365,-15.225686,97.670938
9,9,244,40960,203,50,29.628352279999998,-3.057416,-15.225686,97.670938
10,10,244,45056,201,50,35.581344879999996,-2.4137015,-12.012392,98.172375
11,11,244,49152,200,50,37.81697156,-2.6658745,-12.012392,97.479988
12,12,244,53248,200,50,35.0420655,-2.965466,-16.320961,97.479988
13,13,244,57344,199,50,29.021601079999996,-4.2344565,-16.320961,97.341707
14,14,244,61440,200,50,31.133776999999995,-3.879366,-15.622957,97.620352
15,15,244,65536,200,50,39.278349459999994,-2.850167,-13.100315,97.620352
16,16,244,69632,200,50,32.23674028000001,-3.1408725,-13.861395,98.879906
17,17,244,73728,201,50,30.4628721,-3.2115935,-13.861395,98.879906
18,18,244,77824,202,50,30.43998294,-3.4484690000000002,-11.153289,98.15282
19,19,244,81920,202,50,30.082678740000002,-3.670198,-13.34011,98.665451
20,20,244,86016,202,50,30.03563666,-4.854813,-13.34011,98.665451
21,21,244,90112,203,50,26.298883219999997,-4.9025685,-11.125087,97.663095
22,22,244,94208,203,50,26.314963179999996,-3.9905495,-13.905007,97.868374
23,23,244,98304,203,50,24.60047092,-3.7046099999999997,-13.905007,98.449777
24,24,244,102400,204,50,30.533400940000007,-3.8270049999999998,-14.111527,98.753231
25,25,244,106496,204,50,27.94460616,-5.294358,-14.111527,98.606349
26,26,244,110592,205,50,34.60968978,-3.1515155000000004,-12.179913,98.606349
27,27,244,114688,205,50,40.90573594000001,-2.7854400000000004,-12.077584,105.368322
28,28,244,118784,206,50,36.35101264,-4.070716,-12.098642,105.368322
29,29,244,122880,207,50,40.27751234,-2.9652114999999997,-14.332592,98.135712
30,30,244,126976,207,50,40.3897059,-2.9652114999999997,-14.332592,98.45972
31,31,244,131072,208,50,30.142618579999993,-4.1601535,-11.383663,98.45972
32,32,244,135168,208,50,22.50339438,-4.178338500000001,-11.383663,97.716856
33,33,244,139264,208,50,26.780037359999998,-4.3097185,-9.51728,98.129538
34,34,244,143360,209,50,34.568037340000004,-3.8650079999999996,-11.207692,98.129538
35,35,244,147456,209,50,37.06240048,-2.886057,-11.886976,98.921861
36,36,244,151552,209,50,29.07997208,-4.362954,-11.886976,106.325575
37,37,244,155648,209,50,37.281347759999996,-3.915571,-9.580482,106.325575
38,38,244,159744,209,50,37.14616504,-3.4382645,-10.574055,98.257332
39,39,244,163840,209,50,33.200979579999995,-3.1585885,-11.22778,98.626892
40,40,244,167936,210,50,30.832089959999998,-3.6700955,-9.599282,98.49474
41,41,244,172032,210,50,31.131612419999996,-4.223110999999999,-9.240103,99.26657
42,42,244,176128,210,50,35.324942820000004,-3.9566085,-9.296574,106.098348
43,43,244,180224,210,50,42.801666700000006,-2.839585,-10.112594,106.267757
44,44,244,184320,210,50,36.6963448,-3.6005089999999997,-10.238838,98.862745
45,45,244,188416,210,50,29.04932434,-4.081856,-9.618408,98.736987
46,46,244,192512,211,50,24.925777740000004,-4.5758790000000005,-10.020759,98.414055
47,47,244,196608,211,50,28.64181264,-4.734164,-10.749879,98.973381
48,48,244,200704,211,50,32.9312317,-4.527533999999999,-9.462696,99.3791
49,49,244,204800,211,50,42.8363929,-2.3222259999999997,-10.173841,98.799868
50,50,244,208896,211,50,28.866468100000002,-3.408234,-10.173841,98.619766
51,51,244,212992,211,50,18.87141452,-5.0530685,-10.967505,98.619766
52,52,244,217088,211,50,14.49120158,-5.721852500000001,-10.967505,98.618306
53,53,244,221184,211,50,22.373990440000004,-4.935264500000001,-11.14907,98.618306
54,54,244,225280,211,50,24.742643899999997,-4.4634015,-12.103153,99.205004
55,55,244,229376,211,50,37.336857359999996,-3.216933,-9.622913,99.205004
56,56,244,233472,211,50,41.17864608,-3.3612339999999996,-9.622913,98.914173
57,57,244,237568,212,50,38.72614548,-4.7680615,-9.368524,98.914173
58,58,244,241664,212,50,34.5987718,-4.7680615,-9.552597,98.194968
59,59,244,245760,212,50,28.666786000000002,-5.0836875,-9.093727,98.09551
60,60,244,249856,212,50,31.206185720000004,-4.65792,-9.390454,107.697987
61,61,244,253952,212,50,27.326366580000002,-3.4102085,-10.279935,107.697987
62,62,244,258048,212,50,31.483727719999997,-3.6407160000000003,-8.71766,99.187042
63,63,244,262144,212,50,31.5519474,-3.4474655,-9.210801,99.187042
64,64,244,266240,212,50,27.406290679999998,-3.3590315,-9.326171,98.960529
65,65,244,270336,212,50,19.041851020000003,-4.2372425,-10.798305,99.545438
66,66,244,274432,212,50,22.736204760000007,-5.1836424999999995,-10.798305,99.545438
67,67,244,278528,212,50,49.624669839999996,94.22780399999999,-8.857435,99.155557
68,68,244,282624,212,50,39.81957312,-2.9332065,-7.966532,99.155557
69,69,244,286720,212,50,41.669195560000006,-2.1622399999999997,-8.240444,98.960191
