,idx,reward_sum,n_steps,reason
0,0,-21.05802243645303,189,OOB
1,1,-2.2487829253077507,11,OOB
2,2,-15.136129328981042,364,OOB
3,3,-0.6104003409855068,33,OOB
4,4,-13.740138102322817,518,OOB
5,5,-14.181123843416572,517,OOB
6,6,-2.4456295041600242,77,OOB
7,7,-2.0172663517296314,45,OOB
8,8,-10.294771533459425,332,OOB
9,9,-12.764174649491906,453,OOB
10,10,-13.528933759778738,443,OOB
11,11,-10.183438114007004,347,OOB
12,12,-2.1885475032031536,51,OOB
13,13,-20.807346012748894,558,OOB
14,14,-13.696358734741807,392,OOB
15,15,-0.3588736214078381,54,OOB
16,16,-12.02137990295887,395,OOB
17,17,-11.294021192006767,414,OOB
18,18,0.1410438780367258,43,OOB
19,19,-2.8134160079061985,70,OOB
20,20,-1.9539218771096785,79,OOB
21,21,-12.34333267994225,362,OOB
22,22,-16.87643975156243,577,OOB
23,23,-12.930837022140622,392,OOB
24,24,-15.487697452306747,550,OOB
25,25,-0.42527497792616487,24,OOB
26,26,-0.5093383840285242,30,OOB
27,27,-8.74710513651371,290,OOB
28,28,-13.813959969207644,422,OOB
29,29,-12.95107398275286,422,OOB
30,30,-11.431456329301,394,OOB
31,31,-10.680615497753024,359,OOB
32,32,-2.5317017380148172,82,OOB
33,33,-11.361367212608457,324,OOB
34,34,-2.236629646271467,56,OOB
35,35,-14.77105245552957,501,OOB
36,36,-17.677409548312426,570,OOB
37,37,-1.3809458361938596,62,OOB
38,38,-2.246727875433862,44,OOB
39,39,-2.675367509946227,55,OOB
40,40,-0.5211569531820714,31,OOB
41,41,-12.371481899172068,389,OOB
42,42,-14.055340932682157,454,OOB
43,43,-0.4464581450156402,50,OOB
44,44,-1.7371745110722259,43,OOB
45,45,-10.382166624069214,348,OOB
46,46,-10.629420528188348,346,OOB
47,47,-14.478514170274138,444,OOB
48,48,-1.518032112158835,29,OOB
49,49,-10.070980939082801,317,OOB
50,50,-14.450345396995544,489,OOB
51,51,-1.407439760863781,69,OOB
52,52,-12.19129821844399,397,OOB
53,53,-0.2651825791836018,52,OOB
54,54,-10.537826599553227,345,OOB
55,55,-8.904507679864764,255,OOB
56,56,-13.2871831394732,444,OOB
57,57,-0.28635840164497495,24,OOB
58,58,-2.3025098801390413,97,OOB
59,59,-1.137971542775631,19,OOB
60,60,-10.445989495143294,350,OOB
61,61,-1.4231518350497936,88,OOB
62,62,-13.803491843864322,472,OOB
63,63,-1.7594004871789366,53,OOB
64,64,-11.914627505466342,390,OOB
65,65,-0.19733995756541844,54,OOB
66,66,-1.3227893349976512,73,OOB
67,67,-1.3666245006024837,26,OOB
68,68,-0.811401017010212,34,OOB
69,69,-12.419947480782866,414,OOB
70,70,-1.306163685990441,107,OOB
71,71,-1.9167806394398212,22,OOB
72,72,-15.15957286208868,481,OOB
73,73,-1.6661939891055226,53,OOB
74,74,-2.717396715124778,132,OOB
75,75,-1.2067493544891477,32,OOB
76,76,-12.229164138436317,384,OOB
77,77,-1.0071828656364232,34,OOB
78,78,-12.35173032619059,415,OOB
79,79,-14.665585402399302,496,OOB
80,80,-13.737160369753838,393,OOB
81,81,-11.24165465682745,346,OOB
82,82,-3.339191498234868,83,OOB
83,83,-12.916366171573827,499,OOB
84,84,-2.163989493623376,26,OOB
85,85,-14.595213934779167,443,OOB
86,86,-10.62967711314559,369,OOB
87,87,-2.021698134019971,38,OOB
88,88,-15.208310052752495,495,OOB
89,89,-12.118481322286243,408,OOB
90,90,-3.3826796421781182,74,OOB
91,91,-10.154267504811287,290,OOB
92,92,-15.021010179072618,489,OOB
93,93,-13.755339005962014,455,OOB
94,94,-12.938311195815913,401,OOB
95,95,-13.552697183564305,456,OOB
96,96,-2.6332316223633825,102,OOB
97,97,-0.9228416681289673,15,OOB
98,98,-12.898031556978822,401,OOB
99,99,-14.982303201879404,598,OOB
