,update,total_updates,T,FPS,window,mean,median,min,max
0,0,122,4096,177,32,-2.78552203125,-2.0617330000000003,-7.395585,-1.469949
1,1,122,8192,190,50,-3.5737160799999996,-2.5640255,-8.595216,-1.46384
2,2,122,12288,192,50,-1.9084345599999994,-3.1274585,-8.595216,99.853443
3,3,122,16384,192,50,0.46833319999999967,-2.3655980000000003,-9.719814,99.853443
4,4,122,20480,190,50,4.70824438,-2.1563790000000003,-9.719814,100.599383
5,5,122,24576,189,50,6.83952532,-2.186562,-8.9211,100.599383
6,6,122,28672,188,50,9.23031412,-2.3260465000000003,-8.187586,100.010999
7,7,122,32768,188,50,11.441379979999999,-2.6818375000000003,-5.21854,100.218903
8,8,122,36864,185,50,15.947690539999998,-2.079706,-5.21854,100.497648
9,9,122,40960,184,50,14.03084314,-2.0392495000000004,-3.395913,100.497648
10,10,122,45056,184,50,20.14127058,-1.8423289999999999,-3.466222,100.364059
11,11,122,49152,178,50,36.48773724,-1.6822504999999999,-3.466222,100.596728
12,12,122,53248,178,50,40.5277412,-1.6887695,-5.332844,100.615118
13,13,122,57344,179,50,42.500358500000004,-1.610109,-5.332844,100.615118
14,14,122,61440,180,50,46.672687499999995,-1.4087655,-4.720887,100.615816
15,15,122,65536,180,50,56.998743059999995,99.111354,-2.892713,100.649547
16,16,122,69632,179,50,56.89693638000001,99.223976,-3.775593,100.649547
17,17,122,73728,180,50,52.81722584,99.2635095,-3.775593,100.621036
18,18,122,77824,178,50,52.880921420000014,99.264565,-3.934221,100.621036
19,19,122,81920,178,50,54.95048232,99.408987,-3.934221,100.624939
20,20,122,86016,178,50,49.10166008000001,53.575582000000004,-3.954255,100.624939
21,21,122,90112,178,50,55.222301200000004,99.050859,-3.954255,100.405525
22,22,122,94208,178,50,67.29419591999999,99.6807995,-3.627913,100.558296
23,23,122,98304,178,50,59.060057019999995,99.559061,-3.367409,100.592824
24,24,122,102400,178,50,52.879166500000004,99.566952,-3.875717,100.732104
25,25,122,106496,178,50,56.98261879999999,99.4833715,-3.875717,100.732104
26,26,122,110592,177,50,58.961031819999995,99.555109,-3.61512,100.534932
27,27,122,114688,177,50,40.50882298,-1.5989105000000001,-3.720005,100.607811
28,28,122,118784,178,50,42.66159243999999,-1.4652995,-3.477641,100.744635
29,29,122,122880,178,50,50.881667799999995,99.05443700000001,-3.458989,100.744635
30,30,122,126976,179,50,54.87711353999999,99.4340475,-3.676113,100.573795
31,31,122,131072,179,50,58.94486001999999,99.39142100000001,-4.164125,100.732406
32,32,122,135168,179,50,67.35998527999999,99.7119195,-4.164125,100.748852
