,update,total_updates,T,FPS,window,mean,median,min,max
0,0,244,4096,249,24,12.834545,-3.6183305,-8.746481,99.361912
1,1,244,8192,248,50,12.424506179999998,-3.6183305,-8.746481,99.917306
2,2,244,12288,242,50,4.7640105,-3.272896,-7.764686,99.940482
3,3,244,16384,243,50,-1.20796142,-3.0590845,-6.265241,99.940482
4,4,244,20480,241,50,-3.2186845400000004,-3.1515985,-7.034806,7.56825
5,5,244,24576,240,50,-2.9278012399999995,-2.923651,-7.245267,7.56825
6,6,244,28672,240,50,-3.2334196400000006,-3.1146675000000004,-7.245267,-1.548609
7,7,244,32768,240,50,-0.7892508600000001,-2.7379914999999997,-4.449531,97.954714
8,8,244,36864,240,50,-0.9674110800000004,-2.9069025,-4.601938,97.954714
9,9,244,40960,241,50,-3.10147742,-2.8604155,-5.287888,-1.642157
10,10,244,45056,241,50,-3.08922032,-3.014396,-4.709896,-1.72833
11,11,244,49152,240,50,-2.8693901600000005,-2.7977610000000004,-4.840144,-1.528833
12,12,244,53248,238,50,-2.8023714199999996,-3.1111385,-4.558035,7.377403
13,13,244,57344,238,50,-2.9660651199999997,-2.9546285,-4.485256,-1.755246
14,14,244,61440,238,50,-3.02459984,-2.935893,-5.355906,-1.622629
15,15,244,65536,238,50,-3.1662952800000004,-3.0771545,-5.068576,-1.622629
16,16,244,69632,238,50,-3.0583023600000003,-2.9451764999999996,-5.068576,-1.595142
17,17,244,73728,238,50,-2.8597098000000005,-2.8586169999999997,-4.504259,-1.6898
18,18,244,77824,237,50,-2.73552798,-2.8645164999999997,-5.032903,6.816102
19,19,244,81920,237,50,-2.61929238,-2.689456,-4.918054,6.816102
20,20,244,86016,237,50,-2.9934152999999997,-2.934606,-4.780795,-1.559167
21,21,244,90112,236,50,-2.82293294,-2.768678,-4.738746,-1.886637
22,22,244,94208,236,50,-2.78162204,-2.7124379999999997,-4.381679,-1.504388
23,23,244,98304,236,50,-2.8214067199999993,-2.585618,-5.206363,-1.623818
24,24,244,102400,236,50,-2.82084424,-2.640755,-4.673478,-1.683775
25,25,244,106496,236,50,-2.8818540999999995,-2.773111,-4.897029,-1.360211
