,update,total_updates,T,FPS,window,mean,median,min,max
0,0,244,4096,196,24,-7.730675541666667,-6.3360345,-18.446229,3.389042
1,1,244,8192,197,50,-6.118377300000001,-5.6941245,-16.303089,5.920619
2,2,244,12288,198,50,-5.97585512,-5.643309,-12.131834,5.920619
3,3,244,16384,200,50,-6.88939736,-6.4675595,-13.715355,-2.329891
4,4,244,20480,198,50,-6.655829039999999,-6.594604,-13.715355,3.75046
5,5,244,24576,196,50,-5.56502922,-5.535749,-10.525214,7.369803
6,6,244,28672,197,50,-6.6588259,-6.7090715,-17.071919,2.0955
7,7,244,32768,196,50,-6.47308248,-6.703255,-17.071919,-2.034441
8,8,244,36864,196,50,-6.235095500000001,-6.4466280000000005,-11.240588,2.111384
9,9,244,40960,196,50,-6.64788744,-6.711947,-11.122516,-2.404394
10,10,244,45056,198,50,-3.953614140000001,-5.46256,-10.58013,94.576249
11,11,244,49152,198,50,-3.80738014,-5.3158775,-12.277316,94.719518
12,12,244,53248,197,50,-3.4958528400000004,-5.9691605,-12.277316,94.719518
13,13,244,57344,197,50,-6.58679712,-6.666657,-13.857331,2.259464
14,14,244,61440,197,50,-5.764329780000001,-6.2548975,-13.363158,8.113998
15,15,244,65536,196,50,-4.9089956,-4.7713605,-12.86788,8.113998
16,16,244,69632,193,50,-2.806084279999999,-4.736203,-11.031161,94.778877
17,17,244,73728,193,50,-5.3841838,-4.870743,-11.298083,2.917443
18,18,244,77824,194,50,-5.2338142,-5.10078,-10.028735,1.359679
19,19,244,81920,194,50,-5.30905964,-4.8025614999999995,-12.733504,0.73082
20,20,244,86016,194,50,-5.02548234,-4.7579665,-12.733504,3.140971
21,21,244,90112,194,50,-5.21866888,-5.318994,-12.077453,-1.882892
22,22,244,94208,194,50,-4.42966974,-4.115928,-9.48957,-1.383187
23,23,244,98304,194,50,-4.80808036,-4.2874085,-11.421119,-1.850097
24,24,244,102400,194,50,-4.85928336,-4.7177775,-11.164505,-1.850097
25,25,244,106496,193,50,-4.36569276,-4.414678,-10.193549,8.410322
26,26,244,110592,193,50,-2.18986332,-3.915794,-9.79296,92.836283
27,27,244,114688,193,50,-2.34438542,-3.7493225,-9.094506,92.836283
28,28,244,118784,192,50,-4.37853108,-4.222412,-8.957588,-1.611118
29,29,244,122880,192,50,-4.26334878,-4.051461,-9.526078,-1.511974
30,30,244,126976,192,50,-3.6162463,-3.491162,-8.138991,-1.568219
