,idx,reward_sum,n_steps,reason
0,0,-12.412383362650871,40,OOB
1,1,-4.967702046153136,182,OOB
2,2,-4.709827829385176,101,OOB
3,3,110.92519172374159,64,HOME
4,4,-0.17222420834877994,177,OOB
5,5,-0.27270875882277323,108,OOB
6,6,-0.29323813918745145,95,OOB
7,7,110.13477743061958,115,HOME
8,8,-0.204675875333578,109,OOB
9,9,-0.2030225189155317,131,OOB
10,10,-0.23167740443022922,66,OOB
11,11,0.03548345173476264,64,OOB
12,12,-0.24533534466536366,122,OOB
13,13,-0.10046281066024676,83,OOB
14,14,-0.15983855706872419,95,OOB
15,15,109.66399535562232,128,HOME
16,16,-0.1917643200713428,142,OOB
17,17,-0.26941328325301583,111,OOB
18,18,110.0263142393942,106,HOME
19,19,-0.20104196231113747,135,OOB
20,20,110.06806837246404,64,HOME
21,21,-0.07594852754846215,17,OOB
22,22,-0.13955823184369365,98,OOB
23,23,110.03925459835955,80,HOME
24,24,-0.20783870098540547,87,OOB
25,25,-0.16409040758298943,98,OOB
26,26,-0.0478336880041752,63,OOB
27,27,-0.17011684193494148,160,OOB
28,28,-0.20619820961837831,94,OOB
29,29,-0.18581163097405806,134,OOB
30,30,-0.08102169306948781,29,OOB
31,31,-0.19476431761904678,140,OOB
32,32,-0.1310426456248024,108,OOB
33,33,110.0594819144817,91,HOME
34,34,110.14942443862674,142,HOME
35,35,0.012893310049548745,62,OOB
36,36,-0.18811059996960466,98,OOB
37,37,-0.07085128374092164,46,OOB
38,38,-0.13266137543905643,95,OOB
39,39,110.00909796055566,66,HOME
40,40,-0.09899108950048685,16,OOB
41,41,-0.09613714191959843,79,OOB
42,42,110.04811449814588,53,HOME
43,43,-0.21315435206452094,121,OOB
44,44,-0.13499797775875777,68,OOB
45,45,-0.16828834364423528,123,OOB
46,46,-0.17407269377144985,84,OOB
47,47,-0.17511738044231606,119,OOB
48,48,-0.14678411527711432,102,OOB
49,49,-0.05409512164624175,42,OOB
50,50,-0.1291620812844485,32,OOB
51,51,-0.07856187073048204,28,OOB
52,52,-0.20211379963438958,77,OOB
53,53,110.08075271672897,117,HOME
54,54,-0.04680993049259996,23,OOB
55,55,-0.13644911459414288,82,OOB
56,56,-0.1684604035654047,41,OOB
57,57,110.0437718288631,63,HOME
58,58,-0.1785944792245573,160,OOB
59,59,-0.11618816776899621,58,OOB
60,60,-0.17368051427183673,77,OOB
61,61,-0.17001145156245911,129,OOB
62,62,-0.25929564426678553,149,OOB
63,63,110.0429859520591,50,HOME
64,64,-0.06662804832262736,61,OOB
65,65,110.12406590432147,166,HOME
66,66,-0.04440400512248743,109,OOB
67,67,-0.2562753414877079,88,OOB
68,68,-0.024391770152760728,38,OOB
69,69,-0.09257142477144953,58,OOB
70,70,-0.028370209241984412,57,OOB
71,71,-0.11753186083842593,73,OOB
72,72,-0.05680285739435931,31,OOB
73,73,-0.045291616565236836,42,OOB
74,74,-0.09891419256246081,99,OOB
75,75,-0.030457401982857846,43,OOB
76,76,110.0526102843869,118,HOME
77,77,-0.0653002672479488,31,OOB
78,78,-0.15368399259023136,97,OOB
79,79,-0.14176757718087174,136,OOB
80,80,-0.011647864652331918,34,OOB
81,81,-0.10582237276048545,114,OOB
82,82,-0.6969354419525189,114,OOB
83,83,-0.01214633439303725,54,OOB
84,84,-0.18879410029694554,114,OOB
85,85,-0.14884971645005862,96,OOB
86,86,-0.1982895240362268,135,OOB
87,87,110.08288374137919,110,HOME
88,88,-0.009024726692587137,71,OOB
89,89,-0.15551670417517016,127,OOB
90,90,-0.04409974309601239,60,OOB
91,91,-0.129868160445767,159,OOB
92,92,-0.20816155607445808,121,OOB
93,93,-0.1556749602605123,140,OOB
94,94,-0.07809466573235113,68,OOB
95,95,-0.037370314516010694,79,OOB
96,96,-0.14067103335401043,44,OOB
97,97,-0.034374140232102945,21,OOB
98,98,-0.05158144502229334,43,OOB
99,99,-0.20763670788437594,46,OOB
