,update,total_updates,T,FPS,window,mean,median,min,max
0,0,244,4096,165,27,-7.536635851851852,-6.872983,-18.629197,-2.323721
1,1,244,8192,166,50,1.2788924799999999,-5.708378,-18.629197,98.407483
2,2,244,12288,162,50,-2.62233234,-5.872306,-22.004426,97.259299
3,3,244,16384,163,50,-2.483927239999999,-6.4974755,-12.655651,97.726185
4,4,244,20480,162,50,4.069608319999999,-4.9694445,-14.139141,98.715147
5,5,244,24576,161,50,-1.9550348399999995,-5.358681000000001,-14.139141,92.697643
6,6,244,28672,160,50,2.3492468799999995,-4.8586385,-10.408927,98.319917
7,7,244,32768,159,50,2.7803041600000005,-4.5154555,-11.686683,98.631112
8,8,244,36864,158,50,6.86768582,-4.428784,-11.857151,98.380645
9,9,244,40960,158,50,7.42319626,-3.828793,-11.094126,98.068992
10,10,244,45056,158,50,1.2361677599999998,-4.4503165,-13.082299,97.267698
11,11,244,49152,158,50,0.6117821600000001,-4.737693,-10.96187,96.801844
12,12,244,53248,158,50,4.6213523,-4.7019325,-10.906544,98.544168
13,13,244,57344,157,50,1.2689308999999993,-4.03268,-12.729582,96.625689
14,14,244,61440,157,50,4.93636362,-4.4116409999999995,-10.697086,97.159025
15,15,244,65536,157,50,2.8388248999999997,-4.8563659999999995,-11.812795,97.340207
16,16,244,69632,157,50,8.97960602,-3.7351324999999997,-11.268183,98.685378
17,17,244,73728,156,50,13.4265008,-3.3679775000000003,-11.441203,98.834718
18,18,244,77824,156,50,15.322303740000002,-3.8910065,-11.441203,98.714345
19,19,244,81920,156,50,30.994570660000004,-3.6065465000000003,-9.117749,99.059527
20,20,244,86016,157,50,32.97586244,-3.233085,-10.305157,107.668051
21,21,244,90112,158,50,37.43998198,-2.822197,-10.305157,98.972548
22,22,244,94208,158,50,27.914219720000002,-2.7331795000000003,-8.766988,98.263278
23,23,244,98304,158,50,31.59897842,-3.0991665,-8.766988,98.849681
24,24,244,102400,158,50,37.382233340000006,-3.2915185,-8.856987,98.849681
25,25,244,106496,158,50,43.064875519999994,-1.902829,-9.832675,98.53469
26,26,244,110592,158,50,45.27234044,49.5442135,-10.088784,98.53469
27,27,244,114688,158,50,32.59843186,-2.996724,-11.018109,98.246496
28,28,244,118784,158,50,33.521493279999994,-2.7050039999999997,-9.838437,98.246496
29,29,244,122880,157,50,29.092408019999997,-3.5451825,-9.696753,98.393073
30,30,244,126976,157,50,36.75996278,-3.1492744999999998,-9.891141,98.393073
31,31,244,131072,156,50,25.101979460000003,-4.1267795,-9.662008,97.97724
32,32,244,135168,156,50,35.39823634,-2.8616355,-11.827864,98.892993
33,33,244,139264,155,50,45.2626632,44.8345125,-11.996732,98.892993
34,34,244,143360,155,50,55.50100176,93.976502,-8.273023,98.828577
35,35,244,147456,154,50,34.99335356,-3.1826925,-10.333452,98.19282
36,36,244,151552,154,50,34.5394906,-2.994467,-13.118195,98.258338
37,37,244,155648,153,50,45.72534452,47.562262499999996,-13.118195,98.258338
38,38,244,159744,152,50,52.270318180000004,95.018265,-11.000664,106.973787
39,39,244,163840,152,50,55.922493599999996,94.829534,-10.426235,104.362379
40,40,244,167936,151,50,33.291597440000004,-2.900359,-10.426235,104.362379
41,41,244,172032,151,50,49.40180534,93.235759,-10.368121,102.743482
42,42,244,176128,150,50,73.7015139,95.2609865,-9.595041,102.743482
43,43,244,180224,150,50,65.73784371999999,95.754163,-8.833756,98.457941
44,44,244,184320,150,50,53.67016916000001,93.7407395,-8.546146,98.386041
45,45,244,188416,150,50,41.93681098,-2.55416,-8.091051,99.411056
46,46,244,192512,149,50,53.80870412000001,94.14138750000001,-8.091051,102.201312
47,47,244,196608,149,50,59.65723054,94.97647749999999,-9.880362,104.894806
48,48,244,200704,148,50,59.86023975999999,95.48127,-14.250699,107.491611
49,49,244,204800,148,50,58.24298756,95.658304,-14.250699,107.491611
50,50,244,208896,147,50,52.091705059999995,95.26881800000001,-7.499848,98.091743
51,51,244,212992,147,50,47.907068980000005,94.3233245,-10.556689,98.847362
52,52,244,217088,146,50,45.5228816,46.0342905,-10.587791,98.847362
