,update,total_updates,T,FPS,window,mean,median,min,max
0,0,244,4096,181,24,-4.062243041666666,-3.471692,-8.105607,-1.498717
1,1,244,8192,180,50,-3.8286032,-2.6998435,-8.663871,-1.386795
2,2,244,12288,175,50,-3.74860812,-2.7240745000000004,-9.421153,-1.386795
3,3,244,16384,173,50,-3.8649754400000003,-2.8780295000000002,-9.475871,-1.386795
4,4,244,20480,175,50,-4.42270376,-3.0234775000000003,-9.563168,-1.165421
5,5,244,24576,178,50,-4.6261478,-3.1202750000000004,-10.344592,-1.165421
6,6,244,28672,180,50,-4.52123078,-3.1202750000000004,-11.078305,-1.200698
7,7,244,32768,181,50,-4.754882939999999,-3.4287715,-11.078305,-1.200698
8,8,244,36864,180,50,-4.67596968,-3.1416525,-11.078305,-1.200698
9,9,244,40960,182,50,-5.648799420000001,-5.7085295,-13.03903,-1.200698
10,10,244,45056,184,50,-6.29133624,-6.895759,-14.047669,-1.391153
11,11,244,49152,185,50,-6.5629766599999995,-7.2608905,-14.047669,-1.391153
12,12,244,53248,187,50,-7.027887380000001,-7.540350999999999,-14.818266,-1.391153
13,13,244,57344,188,50,-7.995557839999999,-8.8197195,-17.852069,-1.391153
14,14,244,61440,189,50,-8.53075978,-9.910175500000001,-18.291725,-1.472949
