,idx,reward_sum,n_steps,reason
0,0,-14.072938285768032,51,OOB
1,1,-10.773615151815193,271,OOB
2,2,-1.2312303343205713,60,OOB
3,3,-8.902470865286887,128,OOB
4,4,-2.086377391242422,153,OOB
5,5,-2.251731931231916,152,OOB
6,6,-2.248200597881805,174,OOB
7,7,-3.9892426359001547,104,OOB
8,8,-0.722632579432684,69,OOB
9,9,-0.29754178022267297,51,OOB
10,10,-3.4444191017973935,220,OOB
11,11,-1.0791868844244163,52,OOB
12,12,-3.7776249696180457,157,OOB
13,13,-3.81058326868515,112,OOB
14,14,-2.451202366122743,100,OOB
15,15,-2.7589740611147135,89,OOB
16,16,-0.5963663430011366,122,OOB
17,17,-1.8947438928298652,142,OOB
18,18,-2.6471110943239182,147,OOB
19,19,0.14767020661383867,63,OOB
20,20,-3.6886404242832214,101,OOB
21,21,-3.106869595590979,169,OOB
22,22,-1.8748785296047572,137,OOB
23,23,-2.1623088912456296,168,OOB
24,24,-1.6425483069033362,201,OOB
25,25,-2.200350376559072,177,OOB
26,26,-2.98458734434098,117,OOB
27,27,-3.276128141442314,94,OOB
28,28,-2.163839149288833,96,OOB
29,29,-0.6969995531253517,40,OOB
30,30,-2.446479395031929,148,OOB
31,31,0.37496059777913615,88,OOB
32,32,0.3017000988184009,87,OOB
33,33,0.050689746625721455,87,OOB
34,34,-0.1380494860932231,102,OOB
35,35,-4.25627498421818,62,OOB
36,36,-3.51242895872565,182,OOB
37,37,-3.877675296738744,97,OOB
38,38,-1.0242711221799254,36,OOB
39,39,-1.1112868943018839,113,OOB
40,40,-0.15031238450319506,68,OOB
41,41,-0.1571878151735291,44,OOB
42,42,-3.1112288359363447,204,OOB
43,43,-3.0132562867365777,50,OOB
44,44,-2.366859679634217,135,OOB
45,45,-0.5937559453450376,55,OOB
46,46,-1.027623187750578,18,OOB
47,47,-1.617128302808851,96,OOB
48,48,-1.2742829771596007,143,OOB
49,49,-1.3047520623658784,110,OOB
50,50,-3.2751915575936437,146,OOB
51,51,-2.579466068360489,174,OOB
52,52,-1.1675413936318364,57,OOB
53,53,-3.7810624572448432,117,OOB
54,54,-3.7104390296153724,101,OOB
55,55,-1.2204874251037836,25,OOB
56,56,-3.1872587320394814,169,OOB
57,57,-3.189622643883922,149,OOB
58,58,-3.121036487282254,169,OOB
59,59,-0.7500586053938605,120,OOB
60,60,-0.051945673127193004,27,OOB
61,61,0.05323452940501738,71,OOB
62,62,-0.771315463251085,128,OOB
63,63,-2.8675042339018546,100,OOB
64,64,0.09808616744339815,97,OOB
65,65,-3.91903013116098,120,OOB
66,66,-3.57949679531157,131,OOB
67,67,-2.3071571822511032,129,OOB
68,68,-3.3046663276909385,149,OOB
69,69,-4.759477385057835,125,OOB
70,70,-0.8948504440486431,45,OOB
71,71,-5.096782802778762,186,OOB
72,72,-4.1982788579771295,104,OOB
73,73,0.06695565096742939,62,OOB
74,74,-2.0135578284971416,68,OOB
75,75,-1.9730782291444484,114,OOB
76,76,-1.392963983118534,149,OOB
77,77,-1.8121935327071697,76,OOB
78,78,-2.531166963133728,123,OOB
79,79,-3.5759942865697667,99,OOB
80,80,0.2950922244344838,88,OOB
81,81,-2.3079521884210408,163,OOB
82,82,-0.40586701373104006,66,OOB
83,83,-6.4681139681633795,116,OOB
84,84,-3.301474835985573,58,OOB
85,85,-2.741189020802267,141,OOB
86,86,-1.4910642297763843,152,OOB
87,87,-0.8723100474453531,63,OOB
88,88,-2.392333878815407,147,OOB
89,89,-2.932419771212153,68,OOB
90,90,-0.6408445509150624,22,OOB
91,91,-4.343829101813753,161,OOB
92,92,-3.186938146594912,130,OOB
93,93,-1.4078434207476676,97,OOB
94,94,0.45223633319255896,97,OOB
95,95,-1.178754074499011,19,OOB
96,96,-2.937996677646879,126,OOB
97,97,-3.3128426379698794,140,OOB
98,98,-1.1686616763472557,32,OOB
99,99,0.04459066822892055,136,OOB
