,update,total_updates,T,FPS,window,mean,median,min,max
0,0,244,4096,186,28,-3.01292725,-2.8930125,-6.18851,-1.541262
1,1,244,8192,190,50,-2.8075861200000003,-2.598409,-6.18851,-1.374594
2,2,244,12288,194,50,-2.98032658,-2.644306,-7.120252,-1.349332
3,3,244,16384,194,50,-3.15282982,-2.655747,-7.120252,-1.204164
4,4,244,20480,190,50,-2.9634430600000004,-2.586977,-6.161565,-1.386672
5,5,244,24576,191,50,-2.7621107000000005,-2.5406515,-6.161565,-1.256129
6,6,244,28672,191,50,-2.8253749000000004,-2.5933095,-5.735727,-1.590584
7,7,244,32768,190,50,-2.7901204799999992,-2.5183590000000002,-6.23844,-1.310557
8,8,244,36864,191,50,-2.6069831199999998,-2.3761035,-5.92517,-1.310557
9,9,244,40960,190,50,-2.2670985999999997,-2.184775,-4.048765,-1.144432
10,10,244,45056,190,50,-2.3201145400000005,-2.287763,-4.265669,-1.311542
11,11,244,49152,190,50,-2.39335492,-2.3224805,-3.79416,-1.337897
12,12,244,53248,189,50,-2.45015576,-2.4770065,-3.731232,-1.457259
13,13,244,57344,189,50,-0.2730612199999998,-2.2620315,-3.580329,100.427626
14,14,244,61440,189,50,-0.33047165999999994,-2.2283415,-5.65382,100.427626
15,15,244,65536,188,50,5.690194259999999,-2.2519575,-5.65382,100.705311
16,16,244,69632,189,50,11.79598174,-2.111222,-5.626741,100.705311
17,17,244,73728,189,50,9.672749360000001,-2.3650525,-5.626741,100.576048
18,18,244,77824,189,50,34.24886688,-2.1502594999999998,-4.064619,100.670191
19,19,244,81920,190,50,52.53519972,98.46021400000001,-5.219159,100.670191
20,20,244,86016,190,50,46.50102661999999,-1.3758979999999998,-5.219159,100.670107
21,21,244,90112,191,50,52.60152464000001,98.5296155,-4.564844,100.466749
22,22,244,94208,192,50,62.82940858,99.351981,-4.546349,100.575786
23,23,244,98304,192,50,50.80423968,98.9346695,-4.089644,100.730707
24,24,244,102400,192,50,48.688263740000004,48.573249000000004,-3.761201,100.730707
25,25,244,106496,193,50,58.75107477999999,98.554998,-4.44165,100.715283
26,26,244,110592,193,50,62.78546742,99.174151,-4.44165,100.715283
27,27,244,114688,193,50,62.8338238,99.25955400000001,-4.44165,100.697481
28,28,244,118784,193,50,52.777982460000004,98.8868535,-3.505283,100.482023
29,29,244,122880,194,50,48.70683228000001,48.5092615,-3.505283,100.41948
30,30,244,126976,194,50,50.81622876,98.539364,-3.491498,100.630035
31,31,244,131072,194,50,52.881496699999985,99.177216,-3.491498,100.715785
32,32,244,135168,194,50,42.64213551999999,-1.6719439999999999,-4.050961,100.715785
33,33,244,139264,194,50,36.5344423,-1.6826785,-4.050961,100.673035
34,34,244,143360,194,50,52.83484369999999,99.029088,-4.070833,100.472816
35,35,244,147456,195,50,58.89476525999999,99.46551149999999,-4.070833,100.472816
36,36,244,151552,195,50,54.81093224,99.4814315,-4.070833,100.563853
37,37,244,155648,195,50,50.84228295999999,99.0853855,-3.329325,100.563853
38,38,244,159744,195,50,56.855911639999995,99.21791,-3.363554,100.341505
39,39,244,163840,196,50,56.69087095999999,98.97029900000001,-3.56947,100.502152
40,40,244,167936,196,50,58.76109673999999,99.124458,-3.646043,100.502152
41,41,244,172032,196,50,58.841929959999995,99.5433205,-3.646043,100.361408
42,42,244,176128,197,50,64.98803114,99.635078,-3.841714,100.460185
43,43,244,180224,197,50,61.036865719999994,99.54168200000001,-3.8653,100.603632
44,44,244,184320,197,50,52.8724306,98.9245845,-4.331379,100.603632
45,45,244,188416,197,50,58.95655102,99.318286,-4.331379,100.670281
46,46,244,192512,197,50,65.08601966,99.4686315,-3.741928,100.670281
47,47,244,196608,197,50,73.2904407,99.603226,-3.682609,100.620858
48,48,244,200704,198,50,75.0407832,99.603226,-8.0845,100.557644
49,49,244,204800,198,50,62.763687,99.4532605,-8.0845,100.63769
50,50,244,208896,198,50,60.67687952,99.1686565,-6.103934,100.63769
51,51,244,212992,198,50,64.8840729,99.2807695,-6.103934,100.63769
52,52,244,217088,198,50,68.82157162,99.285499,-7.061671,100.631923
53,53,244,221184,198,50,66.85644578,99.259187,-7.061671,100.631923
54,54,244,225280,198,50,66.87440028,99.3359195,-6.024592,100.653127
55,55,244,229376,198,50,69.04847971999999,99.4186655,-5.797165,100.653127
56,56,244,233472,198,50,62.694724539999996,98.745821,-5.351692,100.554514
