,idx,reward_sum,n_steps,reason
0,0,-15.733829511329532,61,OOB
1,1,-4.322478185535147,83,OOB
2,2,-3.647293523652479,88,OOB
3,3,115.58447590004653,179,HOME
4,4,110.0919917311985,104,HOME
5,5,-0.10058607069368009,140,OOB
6,6,-0.05556528283523221,193,OOB
7,7,109.88899006007887,146,HOME
8,8,110.08983868516589,138,HOME
9,9,110.08142246195348,227,HOME
10,10,-0.11544613959267735,55,OOB
11,11,110.10038251771039,141,HOME
12,12,110.11776984403696,199,HOME
13,13,110.0312933071873,100,HOME
14,14,110.07290026859846,104,HOME
15,15,110.09362339056679,143,HOME
16,16,-0.09141251412802376,72,OOB
17,17,109.93613662055577,79,HOME
18,18,-0.09471549737645546,42,OOB
19,19,110.05959205872387,143,HOME
20,20,0.004856256927268987,24,OOB
21,21,110.01163903580164,79,HOME
22,22,-0.33702643262586207,158,OOB
23,23,110.04509049190165,171,HOME
24,24,-0.02220197321730666,43,OOB
25,25,-0.34266454082899145,201,OOB
26,26,-0.0055515233834739774,9,OOB
27,27,-0.2945543921678109,169,OOB
28,28,110.10653158362129,186,HOME
29,29,110.06821893593951,115,HOME
30,30,110.04687137749534,145,HOME
31,31,110.09577174653532,176,HOME
32,32,110.10308874770999,161,HOME
33,33,-0.3618565543220029,165,OOB
34,34,110.08857700202498,146,HOME
35,35,109.9913614959587,116,HOME
36,36,-0.3123536641269311,161,OOB
37,37,110.10080586165157,165,HOME
38,38,-0.07322412145003909,33,OOB
39,39,110.05498161241121,144,HOME
40,40,109.99301291437587,112,HOME
41,41,-0.31589850554792065,177,OOB
42,42,109.91146218850008,124,HOME
43,43,-0.30918925707374,126,OOB
44,44,110.07028994188659,180,HOME
45,45,110.01283687735304,125,HOME
46,46,110.09033623972118,173,HOME
47,47,110.05437343300582,125,HOME
48,48,-0.36092311115862685,254,OOB
49,49,-0.4070429829425848,206,OOB
50,50,-0.0251856935210526,14,OOB
51,51,110.08230244532388,201,HOME
52,52,-0.19046774192520388,71,OOB
53,53,109.93809414777843,115,HOME
54,54,110.0607145596623,190,HOME
55,55,-0.25156210524437483,103,OOB
56,56,110.05697600118012,117,HOME
57,57,-0.00436769685256877,41,OOB
58,58,-0.29778509376046713,119,OOB
59,59,110.09545794651058,142,HOME
60,60,-0.29770273293252103,133,OOB
61,61,110.01807328369978,224,HOME
62,62,-0.33394370941095985,113,OOB
63,63,110.05584554868801,103,HOME
64,64,-0.007672432369872695,26,OOB
65,65,-0.010331174067687243,14,OOB
66,66,109.88700297594414,161,HOME
67,67,-0.20457829626320745,207,OOB
68,68,-0.31036623870022595,98,OOB
69,69,-0.183510534803645,61,OOB
70,70,110.1011116174559,182,HOME
71,71,110.10805624641944,159,HOME
72,72,-0.014295808039605618,14,OOB
73,73,110.0478378414989,105,HOME
74,74,110.04235211800551,198,HOME
75,75,110.0824253312303,156,HOME
76,76,-0.26997319548354426,136,OOB
77,77,110.03327299565217,200,HOME
78,78,-0.3957753185541151,151,OOB
79,79,-0.3213556514456286,105,OOB
80,80,-0.31902412813906267,156,OOB
81,81,110.10557200359472,178,HOME
82,82,110.0917090997973,160,HOME
83,83,110.08102841991786,170,HOME
84,84,110.06286971959162,192,HOME
85,85,-0.05459152115508914,12,OOB
86,86,110.06609865370046,214,HOME
87,87,-0.33908086118265146,165,OOB
88,88,110.02730688397423,187,HOME
89,89,110.07732166099595,112,HOME
90,90,-0.3147042441814847,156,OOB
91,91,-0.2451721945180907,85,OOB
92,92,-0.027119051956105977,26,OOB
93,93,-0.03027117095189169,36,OOB
94,94,-0.270961050349797,132,OOB
95,95,-0.30936502887198003,186,OOB
96,96,-0.009497957293206127,17,OOB
97,97,-0.26555418863063096,111,OOB
98,98,-0.2148905178610221,117,OOB
99,99,110.09482924293661,141,HOME
