,update,total_updates,T,FPS,window,mean,median,min,max
0,0,244,4096,195,21,1.5396261904761908,-2.882749,-6.869615,96.772172
1,1,244,8192,200,49,1.2436498571428576,-2.882749,-6.869615,100.069427
2,2,244,12288,202,50,1.3096960000000004,-2.3230275000000002,-5.874381,100.069427
3,3,244,16384,202,50,-2.56875886,-2.3494555000000004,-6.377042,-1.384929
4,4,244,20480,202,50,-2.5613588199999997,-2.420261,-3.992372,-1.384929
5,5,244,24576,201,50,-2.64327784,-2.355216,-6.458521,-1.283405
6,6,244,28672,201,50,-2.56576822,-2.2542475,-6.824358,-1.283405
7,7,244,32768,202,50,-2.6679225399999997,-2.410778,-7.764049,-1.330665
8,8,244,36864,202,50,-2.6466066599999998,-2.46087,-5.493137,-1.196802
9,9,244,40960,202,50,-2.4414789399999997,-2.2462055000000003,-5.476836,-1.163454
10,10,244,45056,202,50,-2.2457859200000003,-2.1379535,-4.01638,-1.119842
11,11,244,49152,202,50,-2.3678026,-2.271772,-4.521293,-1.137357
12,12,244,53248,201,50,-0.45624484000000004,-2.4396934999999997,-4.521293,99.255173
13,13,244,57344,201,50,17.815514020000002,-2.1607000000000003,-4.424028,99.850012
14,14,244,61440,202,50,26.005463300000006,-2.0212475000000003,-4.424028,99.962448
15,15,244,65536,203,50,34.29489686,-1.8770215000000001,-3.976706,100.240982
16,16,244,69632,203,50,32.2537823,-1.8305280000000002,-5.082469,100.240982
17,17,244,73728,203,50,32.29258956,-1.818932,-5.082469,100.358769
18,18,244,77824,202,50,30.337816619999998,-1.7065405,-5.094126,100.358769
19,19,244,81920,202,50,24.1747952,-1.7631830000000002,-5.094126,100.359109
20,20,244,86016,202,50,30.26734132,-1.909824,-4.214231,100.385126
21,21,244,90112,202,50,34.60664244,-1.684425,-3.753619,100.385126
22,22,244,94208,202,50,26.552741579999996,-1.7030735,-3.753619,100.334099
23,23,244,98304,203,50,44.91011966000001,-1.452414,-3.890011,100.334099
24,24,244,102400,203,50,50.938168239999996,98.765449,-3.890011,100.430238
25,25,244,106496,203,50,52.82717923999999,98.86420150000001,-3.890011,100.47313
26,26,244,110592,203,50,58.96575676,99.2575635,-3.922454,100.47313
27,27,244,114688,203,50,54.9779616,99.1709745,-3.922454,100.47313
28,28,244,118784,203,50,55.14450352000001,99.1411325,-3.171581,100.403457
29,29,244,122880,203,50,57.13765223999999,99.24849800000001,-3.351811,100.403457
30,30,244,126976,203,50,71.15416290000002,99.519701,-3.439886,100.403457
31,31,244,131072,203,50,67.05021848,99.477694,-3.439886,100.473341
32,32,244,135168,202,50,63.07128806,99.519701,-3.439886,100.473341
33,33,244,139264,202,50,61.009930219999994,99.52408199999999,-3.328323,100.425978
34,34,244,143360,202,50,58.991745540000004,99.3032025,-3.328323,100.466681
35,35,244,147456,202,50,62.973893159999996,99.3254795,-3.459817,100.466681
36,36,244,151552,202,50,62.98378407999999,99.3080655,-3.459817,100.466681
37,37,244,155648,202,50,60.86107008,99.2241485,-3.31974,100.361657
38,38,244,159744,202,50,44.82104340000001,-1.4128725,-3.081431,100.352439
39,39,244,163840,202,50,50.934834120000005,99.00705450000001,-4.477498,100.524488
40,40,244,167936,202,50,62.96001254,99.260457,-4.477498,100.611382
41,41,244,172032,203,50,60.83045876,99.259918,-3.935104,100.611382
42,42,244,176128,203,50,56.84366666,99.25184899999999,-3.748937,100.570825
43,43,244,180224,203,50,52.91996638,99.2729295,-3.937473,100.631537
44,44,244,184320,203,50,50.755331139999996,98.6657285,-3.937473,100.631537
45,45,244,188416,203,50,54.97644491999999,99.097975,-3.648137,100.589411
46,46,244,192512,203,50,59.26085936,99.8268845,-4.790272,100.717753
47,47,244,196608,203,50,61.22057068,99.777637,-4.790272,100.717753
48,48,244,200704,203,50,54.915778579999994,99.301891,-5.842055,100.692941
49,49,244,204800,203,50,53.028200319999996,99.214832,-5.842055,100.766081
50,50,244,208896,203,50,53.29852744,99.874314,-3.283875,100.766081
51,51,244,212992,203,50,51.0963957,99.8668625,-3.627936,100.650517
52,52,244,217088,203,50,57.20558487999999,100.068329,-3.627936,100.810752
53,53,244,221184,203,50,51.20767516000001,99.9606585,-3.161557,100.810752
54,54,244,225280,203,50,40.90708728,-1.4507885,-3.688051,100.706907
55,55,244,229376,203,50,38.859787780000005,-1.625725,-3.688051,100.832597
56,56,244,233472,203,50,30.51098322,-1.867432,-3.307013,100.832597
57,57,244,237568,203,50,34.52654876000001,-2.015992,-4.095124,100.637342
58,58,244,241664,203,50,50.9036211,99.80125,-5.526168,100.637342
59,59,244,245760,204,50,46.69242042,-1.7695445,-5.526168,100.637342
