,update,total_updates,T,FPS,window,mean,median,min,max
0,0,244,4096,190,30,2.429779866666667,-1.1358525,-4.550122,101.107725
1,1,244,8192,192,50,3.7923998800000005,-1.114503,-4.340161,110.930526
2,2,244,12288,192,50,0.8015041799999999,-1.3005390000000001,-4.776725,101.442041
3,3,244,16384,195,50,1.0257820600000003,-1.1680905,-4.788197,101.442041
4,4,244,20480,197,50,-0.9032196199999997,-1.1745934999999998,-4.788197,9.699673
5,5,244,24576,197,50,1.5189688000000001,-1.147091,-4.224129,101.069914
6,6,244,28672,197,50,3.7248672,-0.894963,-4.224129,101.305445
7,7,244,32768,196,50,3.1109435599999995,-1.1440545,-4.03957,101.305445
8,8,244,36864,195,50,2.9445264599999996,-1.0973765,-4.03957,101.288402
9,9,244,40960,194,50,5.087001680000001,-0.934164,-3.789075,101.452999
10,10,244,45056,195,50,9.432073339999999,-0.8896915000000001,-4.522699,101.685989
11,11,244,49152,195,50,7.533887099999999,-0.7905955,-5.286698,101.685989
12,12,244,53248,195,50,8.27763642,-0.6414975,-5.286698,110.927823
13,13,244,57344,194,50,18.2628169,-0.6432115,-5.286698,110.927823
14,14,244,61440,195,50,20.144049260000003,-0.5809070000000001,-3.606506,111.018224
15,15,244,65536,194,50,7.72601484,-0.634714,-2.765509,111.018224
16,16,244,69632,193,50,9.6240013,-0.5639125,-2.765509,101.609392
17,17,244,73728,193,50,13.890442939999998,-0.5266165,-3.252337,101.837516
18,18,244,77824,192,50,14.681126500000003,-0.75894,-2.742869,101.837516
19,19,244,81920,193,50,22.790738999999995,-0.6540435,-2.742869,102.096052
20,20,244,86016,193,50,30.63548954,-0.394714,-3.488443,111.179648
21,21,244,90112,194,50,42.868263420000005,-0.1117765,-3.488443,111.388232
22,22,244,94208,194,50,30.608057859999995,-0.49170400000000003,-2.177143,111.424281
23,23,244,98304,195,50,32.55066586,-0.44292600000000004,-3.047613,111.424281
24,24,244,102400,195,50,44.65636171999999,-0.2495375,-3.047613,111.424281
25,25,244,106496,194,50,38.23646898,-0.33406749999999996,-2.989423,110.896093
26,26,244,110592,194,50,41.1224041,-0.2011755,-2.208932,111.159332
27,27,244,114688,194,50,43.14993732,-0.0926225,-3.299362,111.159332
28,28,244,118784,194,50,40.64440782,-0.0325,-3.299362,111.020476
29,29,244,122880,193,50,44.95753539999999,0.091107,-2.090844,111.020476
30,30,244,126976,193,50,51.16804632,55.039801999999995,-2.264386,111.020476
31,31,244,131072,193,50,40.826372479999996,0.30298400000000003,-2.264386,111.013512
32,32,244,135168,193,50,24.590816540000002,-0.20826850000000002,-1.739999,111.110844
33,33,244,139264,193,50,18.23473774,-0.5262675,-3.742203,111.110844
34,34,244,143360,193,50,18.234466400000002,-0.36913700000000005,-3.742203,111.07855
35,35,244,147456,193,50,16.45192974,-0.47916250000000005,-2.116217,111.273284
36,36,244,151552,193,50,24.72300636,-0.325962,-2.267886,111.366624
37,37,244,155648,194,50,32.90094188,0.0151185,-2.312707,111.366624
38,38,244,159744,194,50,36.60803942,-0.013707,-2.312707,102.295202
39,39,244,163840,194,50,41.10226576,0.0036010000000000018,-2.452976,111.14713
40,40,244,167936,194,50,47.31268834,0.291898,-2.452976,111.150083
41,41,244,172032,194,50,46.98062696,0.1016475,-1.566301,111.473798
42,42,244,176128,194,50,46.69100036,-0.0200455,-1.602518,111.390683
43,43,244,180224,194,50,54.924806579999995,101.05923250000001,-1.602518,111.390683
44,44,244,184320,194,50,53.34549684,101.17394999999999,-1.908526,111.26185
45,45,244,188416,195,50,42.983218779999994,0.37483049999999996,-1.908526,111.26185
46,46,244,192512,195,50,42.84508494000001,0.37483049999999996,-1.548649,111.29746
47,47,244,196608,195,50,53.56302484,101.0139565,-2.485996,111.431157
48,48,244,200704,195,50,56.095410279999996,101.267125,-2.485996,111.431157
49,49,244,204800,195,50,47.46238602000001,0.2563745,-2.057927,111.532805
50,50,244,208896,195,50,30.301752259999997,-0.6146765,-2.537524,111.162561
51,51,244,212992,196,50,30.53674056,-0.0312705,-2.537524,111.162561
52,52,244,217088,196,50,30.409794140000002,-0.303917,-2.568734,111.647572
53,53,244,221184,196,50,41.06307538,0.286783,-2.568734,111.647572
54,54,244,225280,196,50,57.34149903999999,101.2448395,-1.475534,111.350398
55,55,244,229376,197,50,49.25980714,0.506671,-1.521091,111.568069
56,56,244,233472,197,50,44.7416842,0.482719,-1.876249,111.501758
57,57,244,237568,197,50,47.02927622,0.45818899999999996,-1.725503,111.391206
58,58,244,241664,197,50,53.39095476000001,100.98931,-1.880164,111.171618
59,59,244,245760,197,50,53.71750947999999,100.7880945,-1.741562,111.751827
60,60,244,249856,197,50,49.23811412,0.4607725,-1.553943,111.751827
61,61,244,253952,197,50,46.471777780000004,0.0757335,-2.162909,102.419037
62,62,244,258048,197,50,57.69182456000001,101.3208845,-2.162909,111.412344
63,63,244,262144,197,50,61.05421412,101.20374050000001,-1.736002,111.17155
64,64,244,266240,197,50,59.03969598,101.27545599999999,-1.736002,102.443384
65,65,244,270336,197,50,57.20208976,101.220247,-2.085965,111.332631
66,66,244,274432,197,50,40.428757839999996,-0.005581999999999997,-2.085965,111.332631
67,67,244,278528,197,50,40.25781816,0.09126700000000001,-2.023989,102.507454
68,68,244,282624,197,50,49.288427039999995,-0.3099845,-1.624283,111.270233
69,69,244,286720,197,50,49.817946760000005,4.5067474999999995,-1.624283,111.49251
70,70,244,290816,198,50,49.77091454000001,0.25302199999999997,-2.549584,111.565338
71,71,244,294912,198,50,39.062060100000004,0.082812,-2.233458,111.565338
72,72,244,299008,198,50,48.677213759999994,0.46659249999999997,-2.233458,111.135938
73,73,244,303104,198,50,55.21741928,101.064929,-1.661577,111.135938
74,74,244,307200,198,50,45.17245524,4.739745500000001,-1.273867,102.452024
75,75,244,311296,199,50,36.973301219999996,0.046214,-1.648466,111.0916
76,76,244,315392,199,50,42.478898019999995,0.0355685,-2.177564,111.0916
77,77,244,319488,199,50,49.15883724,4.334537,-1.885362,111.62441
78,78,244,323584,199,50,45.41710578,0.3880475,-1.885362,111.62441
79,79,244,327680,199,50,50.98376628,50.897251999999995,-1.774791,111.239934
80,80,244,331776,199,50,40.70321148,0.036806,-1.748062,111.09888
81,81,244,335872,199,50,42.697173359999994,0.508579,-2.128886,102.385132
