CUDA: False
Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.005, value_loss_coef=0.5, max_grad_norm=0.5, seed=17100, cuda_deterministic=False, num_processes=2, num_steps=2048, ppo_epoch=10, num_mini_batch=2, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptWalking20250802/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.00012, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[1000000, 10000], qvar=[0.4, 0.5], birthx=[2.8, 3.0], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='walk-v6_20250802_VRNN_constantx5b5noisy3x5b5_stepoobmetabolicfound_bx2.83_t100000010000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n2_walking_seed17100f1', walking=True, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob', 'metabolic', 'found'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
PPO Args ---> Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.005, value_loss_coef=0.5, max_grad_norm=0.5, seed=17100, cuda_deterministic=False, num_processes=2, num_steps=2048, ppo_epoch=10, num_mini_batch=2, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptWalking20250802/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.00012, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[1000000, 10000], qvar=[0.4, 0.5], birthx=[2.8, 3.0], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='walk-v6_20250802_VRNN_constantx5b5noisy3x5b5_stepoobmetabolicfound_bx2.83_t100000010000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n2_walking_seed17100f1', walking=True, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob', 'metabolic', 'found'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
Using Precomputed Plume...
Using Precomputed Plume...
2025-08-02 08:20:36.623 python[18876:58834897] +[NSXPCSharedListener endpointForReply:withListenerName:replyErrorCode:]: an error occurred while attempting to obtain endpoint for listener 'ClientCallsAuxiliary': Connection invalid
2025-08-02 08:20:36.623 python[18877:58834898] +[NSXPCSharedListener endpointForReply:withListenerName:replyErrorCode:]: an error occurred while attempting to obtain endpoint for listener 'ClientCallsAuxiliary': Connection invalid
Using Precomputed Plume...
PlumeEnvironment: {'self': <plume_env.PlumeEnvironment object at 0x16eb36d30>, 't_val_min': 10.0, 'sim_steps_max': 2200, 'reset_offset_tmax': 30, 'dataset': 'constantx5b5', 'move_capacity': 2.0, 'turn_capacity': 19.634954084936208, 'wind_obsx': 1.0, 'movex': 1.0, 'turnx': 1.0, 'birthx': 2.8, 'birthx_max': 1.0, 'env_dt': 0.04, 'loc_algo': 'uniform', 'qvar': 0.4, 'time_algo': 'uniform', 'angle_algo': 'uniform', 'homed_radius': 0.2, 'stray_max': 2.0, 'wind_rel': True, 'auto_movex': False, 'auto_reward': False, 'diff_max': 0.8, 'diff_min': 0.7, 'r_shaping': ['step', 'oob', 'metabolic', 'found'], 'rewardx': 1.0, 'rescale': False, 'squash_action': True, 'walking': True, 'walk_move': 0.05, 'walk_turn': 3.14159, 'radiusx': 1.0, 'diffusion_min': 1.0, 'diffusion_max': 1.0, 'action_feedback': False, 'flipping': True, 'odor_scaling': True, 'obs_noise': 0.0, 'act_noise': 0.0, 'dynamic': False, 'seed': 17100, 'verbose': 0, '__class__': <class 'plume_env.PlumeEnvironment'>}
Squashing actions to 0-1
constantx5b5
wind: t_val_diff 0.03999999999999915 env_dt 0.04
puffs: t_val_diff 0.03999999999999915 env_dt 0.04
Reward Shaping ['step', 'oob', 'metabolic', 'found']
Using MLPBase
hidden_size 64
Using VanillaRNN
Saved ./trained_models/ExptWalking20250802//plume_walk-v6_20250802_VRNN_constantx5b5noisy3x5b5_stepoobmetabolicfound_bx2.83_t100000010000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n2_walking_seed17100f1.pt.start
Stage: 0/2 - constantx5b5 b2.8 q0.4 n1000000
Saved ./trained_models/ExptWalking20250802/plume_walk-v6_20250802_VRNN_constantx5b5noisy3x5b5_stepoobmetabolicfound_bx2.83_t100000010000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n2_walking_seed17100f1.pt
Update 0/244, T 4096, FPS 195, 21-training-episode: mean/median 1.5/-2.9, min/max -6.9/96.8
Update 1/244, T 8192, FPS 200, 49-training-episode: mean/median 1.2/-2.9, min/max -6.9/100.1
Update 2/244, T 12288, FPS 202, 50-training-episode: mean/median 1.3/-2.3, min/max -5.9/100.1
Update 3/244, T 16384, FPS 202, 50-training-episode: mean/median -2.6/-2.3, min/max -6.4/-1.4
Update 4/244, T 20480, FPS 202, 50-training-episode: mean/median -2.6/-2.4, min/max -4.0/-1.4
Update 5/244, T 24576, FPS 201, 50-training-episode: mean/median -2.6/-2.4, min/max -6.5/-1.3
Update 6/244, T 28672, FPS 201, 50-training-episode: mean/median -2.6/-2.3, min/max -6.8/-1.3
Update 7/244, T 32768, FPS 202, 50-training-episode: mean/median -2.7/-2.4, min/max -7.8/-1.3
Update 8/244, T 36864, FPS 202, 50-training-episode: mean/median -2.6/-2.5, min/max -5.5/-1.2
Update 9/244, T 40960, FPS 202, 50-training-episode: mean/median -2.4/-2.2, min/max -5.5/-1.2
Update 10/244, T 45056, FPS 202, 50-training-episode: mean/median -2.2/-2.1, min/max -4.0/-1.1
Update 11/244, T 49152, FPS 202, 50-training-episode: mean/median -2.4/-2.3, min/max -4.5/-1.1
Update 12/244, T 53248, FPS 201, 50-training-episode: mean/median -0.5/-2.4, min/max -4.5/99.3
Update 13/244, T 57344, FPS 201, 50-training-episode: mean/median 17.8/-2.2, min/max -4.4/99.9
Update 14/244, T 61440, FPS 202, 50-training-episode: mean/median 26.0/-2.0, min/max -4.4/100.0
Update 15/244, T 65536, FPS 203, 50-training-episode: mean/median 34.3/-1.9, min/max -4.0/100.2
Update 16/244, T 69632, FPS 203, 50-training-episode: mean/median 32.3/-1.8, min/max -5.1/100.2
Update 17/244, T 73728, FPS 203, 50-training-episode: mean/median 32.3/-1.8, min/max -5.1/100.4
Update 18/244, T 77824, FPS 202, 50-training-episode: mean/median 30.3/-1.7, min/max -5.1/100.4
Update 19/244, T 81920, FPS 202, 50-training-episode: mean/median 24.2/-1.8, min/max -5.1/100.4
Update 20/244, T 86016, FPS 202, 50-training-episode: mean/median 30.3/-1.9, min/max -4.2/100.4
Update 21/244, T 90112, FPS 202, 50-training-episode: mean/median 34.6/-1.7, min/max -3.8/100.4
Update 22/244, T 94208, FPS 202, 50-training-episode: mean/median 26.6/-1.7, min/max -3.8/100.3
Update 23/244, T 98304, FPS 203, 50-training-episode: mean/median 44.9/-1.5, min/max -3.9/100.3
Update 24/244, T 102400, FPS 203, 50-training-episode: mean/median 50.9/98.8, min/max -3.9/100.4
Update 25/244, T 106496, FPS 203, 50-training-episode: mean/median 52.8/98.9, min/max -3.9/100.5
Update 26/244, T 110592, FPS 203, 50-training-episode: mean/median 59.0/99.3, min/max -3.9/100.5
Update 27/244, T 114688, FPS 203, 50-training-episode: mean/median 55.0/99.2, min/max -3.9/100.5
Update 28/244, T 118784, FPS 203, 50-training-episode: mean/median 55.1/99.1, min/max -3.2/100.4
Update 29/244, T 122880, FPS 203, 50-training-episode: mean/median 57.1/99.2, min/max -3.4/100.4
Update 30/244, T 126976, FPS 203, 50-training-episode: mean/median 71.2/99.5, min/max -3.4/100.4
Update 31/244, T 131072, FPS 203, 50-training-episode: mean/median 67.1/99.5, min/max -3.4/100.5
Update 32/244, T 135168, FPS 202, 50-training-episode: mean/median 63.1/99.5, min/max -3.4/100.5
Update 33/244, T 139264, FPS 202, 50-training-episode: mean/median 61.0/99.5, min/max -3.3/100.4
Update 34/244, T 143360, FPS 202, 50-training-episode: mean/median 59.0/99.3, min/max -3.3/100.5
Update 35/244, T 147456, FPS 202, 50-training-episode: mean/median 63.0/99.3, min/max -3.5/100.5
Update 36/244, T 151552, FPS 202, 50-training-episode: mean/median 63.0/99.3, min/max -3.5/100.5
Update 37/244, T 155648, FPS 202, 50-training-episode: mean/median 60.9/99.2, min/max -3.3/100.4
Update 38/244, T 159744, FPS 202, 50-training-episode: mean/median 44.8/-1.4, min/max -3.1/100.4
Update 39/244, T 163840, FPS 202, 50-training-episode: mean/median 50.9/99.0, min/max -4.5/100.5
Update 40/244, T 167936, FPS 202, 50-training-episode: mean/median 63.0/99.3, min/max -4.5/100.6
Update 41/244, T 172032, FPS 203, 50-training-episode: mean/median 60.8/99.3, min/max -3.9/100.6
Update 42/244, T 176128, FPS 203, 50-training-episode: mean/median 56.8/99.3, min/max -3.7/100.6
Update 43/244, T 180224, FPS 203, 50-training-episode: mean/median 52.9/99.3, min/max -3.9/100.6
Update 44/244, T 184320, FPS 203, 50-training-episode: mean/median 50.8/98.7, min/max -3.9/100.6
Update 45/244, T 188416, FPS 203, 50-training-episode: mean/median 55.0/99.1, min/max -3.6/100.6
Update 46/244, T 192512, FPS 203, 50-training-episode: mean/median 59.3/99.8, min/max -4.8/100.7
Update 47/244, T 196608, FPS 203, 50-training-episode: mean/median 61.2/99.8, min/max -4.8/100.7
Update 48/244, T 200704, FPS 203, 50-training-episode: mean/median 54.9/99.3, min/max -5.8/100.7
Update 49/244, T 204800, FPS 203, 50-training-episode: mean/median 53.0/99.2, min/max -5.8/100.8
Update 50/244, T 208896, FPS 203, 50-training-episode: mean/median 53.3/99.9, min/max -3.3/100.8
Update 51/244, T 212992, FPS 203, 50-training-episode: mean/median 51.1/99.9, min/max -3.6/100.7
Update 52/244, T 217088, FPS 203, 50-training-episode: mean/median 57.2/100.1, min/max -3.6/100.8
Update 53/244, T 221184, FPS 203, 50-training-episode: mean/median 51.2/100.0, min/max -3.2/100.8
Update 54/244, T 225280, FPS 203, 50-training-episode: mean/median 40.9/-1.5, min/max -3.7/100.7
Update 55/244, T 229376, FPS 203, 50-training-episode: mean/median 38.9/-1.6, min/max -3.7/100.8
