,idx,reward_sum,n_steps,reason
0,0,-3.6922260872088373,87,OOB
1,1,-1.3459969758987427,1,OOB
2,2,14.711948531039525,187,OOB
3,3,-0.031954292207956314,1,OOB
4,4,121.92219683861913,487,HOME
5,5,110.05221466293733,111,HOME
6,6,110.06993550846528,47,HOME
7,7,0.0020881656598703557,107,OOB
8,8,110.19418732643999,196,HOME
9,9,-0.15258622949477285,255,OOB
10,10,-0.0005640968447551131,1,OOB
11,11,110.34930942238134,231,HOME
12,12,-0.0005424779374152422,1,OOB
13,13,-0.0005426350980997086,1,OOB
14,14,110.33995646050835,247,HOME
15,15,-0.02367405773838982,50,OOB
16,16,110.30184694191848,188,HOME
17,17,110.23680527885153,189,HOME
18,18,-0.05581256601726636,98,OOB
19,19,110.13765137162045,111,HOME
20,20,110.35443155790563,245,HOME
21,21,-0.0004939375212416053,1,OOB
22,22,-9.155349471257068e-05,2,OOB
23,23,110.18659190421567,191,HOME
24,24,110.27394438128795,233,HOME
25,25,-0.00032340449251933023,4,OOB
26,26,110.24231807049364,160,HOME
27,27,-4.134211485506967e-05,1,OOB
28,28,0.019058986055142668,140,OOB
29,29,110.0,1,HOME
30,30,-4.781430106959306e-05,1,OOB
31,31,-0.09296349625219591,170,OOB
32,32,-0.00047933802125044167,1,OOB
33,33,-0.0018888886415879824,37,OOB
34,34,-0.007273624767549336,12,OOB
35,35,-0.00040145678212866187,5,OOB
36,36,110.27544168066743,213,HOME
37,37,110.32490616514042,256,HOME
38,38,110.01327725464944,13,HOME
39,39,110.01609990483848,20,HOME
40,40,-0.00045380883966572583,1,OOB
41,41,-0.00045384428813122213,1,OOB
42,42,110.22916655389417,178,HOME
43,43,0.00273148966800818,120,OOB
44,44,-0.035352083403552115,178,OOB
45,45,-0.0004657453973777592,1,OOB
46,46,-0.00046499769086949527,1,OOB
47,47,-0.00046559146721847355,1,OOB
48,48,-0.03154541526964749,296,OOB
49,49,-0.000479314272524789,1,OOB
50,50,-0.021126680774614215,44,OOB
51,51,0.13312724966317546,400,OOB
52,52,-0.0009635584624447802,13,OOB
53,53,0.017215642488736194,345,OOB
54,54,-0.000515298917889595,1,OOB
55,55,-0.0005203913897275925,1,OOB
56,56,-0.0005159814027138054,1,OOB
57,57,-0.00046744990095248795,46,OOB
58,58,110.19891086070675,132,HOME
59,59,110.20697948896441,178,HOME
60,60,0.09091758107501846,207,OOB
61,61,0.14755306522317824,230,OOB
62,62,0.18334890059622921,203,OOB
63,63,-0.0005300514749251306,1,OOB
64,64,-0.0005300896009430289,1,OOB
65,65,110.03347379341722,24,HOME
66,66,-0.0005195334670133889,1,OOB
67,67,0.0074313230704206035,132,OOB
68,68,110.11506638408173,71,HOME
69,69,-0.0005817073979415,1,OOB
70,70,110.2546648245459,189,HOME
71,71,-0.0005258796154521406,1,OOB
72,72,0.024096614030440833,98,OOB
73,73,110.02199186080588,89,HOME
74,74,110.1138355569401,120,HOME
75,75,0.0001460496796426014,7,OOB
76,76,-0.0005017683142796159,1,OOB
77,77,-0.18120909988647327,328,OOB
78,78,0.09581050652172962,147,OOB
79,79,-0.0005165766924619675,1,OOB
80,80,-0.0005166082992218435,1,OOB
81,81,-0.12773390428264975,238,OOB
82,82,-0.0005437809159047902,1,OOB
83,83,110.27323693234348,185,HOME
84,84,0.03741660219475307,292,OOB
85,85,-0.0005287491367198527,1,OOB
86,86,0.09083135946730181,235,OOB
87,87,-0.00014577930414816365,2,OOB
88,88,-0.0005360479699447751,1,OOB
89,89,0.034087977141098236,227,OOB
90,90,0.028972689773581806,77,OOB
91,91,-0.06892734561370162,136,OOB
92,92,110.04344392384883,52,HOME
93,93,110.0,1,HOME
94,94,0.15448010080797303,184,OOB
95,95,0.03590119236287137,253,OOB
96,96,-0.01003936055349186,17,OOB
97,97,0.22582398723852748,311,OOB
98,98,-0.00834024662617594,15,OOB
99,99,110.24561461340818,164,HOME
