,update,total_updates,T,FPS,window,mean,median,min,max
0,0,336,2048,98,41,1.0522831463414632,-1.577378,-3.567712,101.162695
1,1,336,4096,103,50,4.7178011600000005,-1.4569805,-3.567712,102.166259
2,2,336,6144,109,50,6.77978844,-1.236346,-3.567712,102.911108
3,3,336,8192,109,50,7.21112262,-1.029932,-3.536767,102.911108
4,4,336,10240,107,50,1.1306820200000003,-1.215735,-2.894722,100.97284
5,5,336,12288,108,50,0.7509364799999997,-1.1308345000000002,-2.879743,100.97284
6,6,336,14336,108,50,2.78378686,-1.3290175,-3.798523,101.20108
7,7,336,16384,108,50,4.8594665599999995,-1.415807,-3.798523,101.20108
8,8,336,18432,107,50,7.305823620000001,-1.127717,-2.77896,101.505661
9,9,336,20480,107,50,12.090811259999999,-0.916625,-2.77896,102.077387
10,10,336,22528,106,50,1.1087182799999997,-1.1466535,-2.855481,101.905536
11,11,336,24576,108,50,5.382912719999999,-1.0814385,-2.919671,103.275863
12,12,336,26624,109,50,15.599698200000002,-0.9846205,-3.067594,110.57237
13,13,336,28672,109,50,17.504594880000003,-0.9631175000000001,-3.067594,110.752161
14,14,336,30720,111,50,17.50403168,-0.9121115,-2.816747,110.752161
15,15,336,32768,111,50,13.85366946,-0.9793215,-2.938551,103.081387
16,16,336,34816,112,50,17.904169519999996,-0.9979575,-2.938551,103.081387
17,17,336,36864,112,50,23.949455439999998,-0.8351445,-2.938551,103.111346
18,18,336,38912,113,50,15.39465192,-1.0133135000000002,-2.800635,103.140192
19,19,336,40960,114,50,11.3771512,-0.967243,-2.718101,111.060218
20,20,336,43008,114,50,11.208819040000002,-0.993037,-2.838402,102.46569
21,21,336,45056,115,50,15.33647462,-0.9289875,-2.838402,102.46569
22,22,336,47104,115,50,21.546562979999997,-0.747188,-2.757722,102.430535
23,23,336,49152,116,50,27.978500200000003,-0.758872,-2.655314,110.55958
24,24,336,51200,116,50,15.631939820000003,-0.856328,-2.684923,110.55958
25,25,336,53248,116,50,13.5487324,-0.8184705,-2.76072,110.956465
26,26,336,55296,117,50,19.79685228,-0.8794685,-2.915211,110.956465
27,27,336,57344,117,50,24.06979252,-0.6616850000000001,-2.915211,110.956465
28,28,336,59392,118,50,17.557514,-0.7785975,-2.915211,102.648062
29,29,336,61440,118,50,22.0930915,-0.672966,-2.779679,111.28437
30,30,336,63488,118,50,22.32105694,-0.7363729999999999,-2.718338,111.28437
31,31,336,65536,118,50,17.7059123,-1.1352045,-2.859018,110.900502
32,32,336,67584,119,50,7.34450202,-1.2047035,-2.859018,102.533455
33,33,336,69632,119,50,11.374161879999999,-1.0604360000000002,-2.859018,102.533455
34,34,336,71680,119,50,19.591735659999998,-0.7710975,-2.813344,102.283665
35,35,336,73728,119,50,25.56020554,-0.7440465,-2.782923,102.283665
36,36,336,75776,119,50,17.374632119999998,-0.8281315,-2.782923,102.579155
37,37,336,77824,119,50,21.653298419999995,-0.802422,-2.774283,102.579155
38,38,336,79872,119,50,28.04511172,-0.7498940000000001,-2.771826,110.976522
39,39,336,81920,119,50,34.528676520000005,-0.5695939999999999,-2.762948,110.976522
40,40,336,83968,119,50,26.18681388,-0.846206,-2.831829,102.993805
41,41,336,86016,119,50,30.067879819999998,-0.881839,-2.831829,103.187912
42,42,336,88064,119,50,36.299799779999994,-0.7886025000000001,-2.831829,111.019757
43,43,336,90112,119,50,46.910825499999994,-0.5158510000000001,-2.801912,111.019757
44,44,336,92160,119,50,46.759647720000004,-0.5158510000000001,-2.801912,111.019757
45,45,336,94208,119,50,32.05098604,-0.6480680000000001,-2.721534,102.909855
46,46,336,96256,119,50,25.770702079999996,-0.8528789999999999,-2.726974,103.14933
47,47,336,98304,119,50,34.246878220000006,-0.7448185,-2.726974,110.944596
48,48,336,100352,119,50,36.31715292,-0.7933635,-2.829704,110.944596
49,49,336,102400,119,50,36.1032291,-0.837099,-2.829704,102.952357
50,50,336,104448,119,50,42.11676197999999,-0.7379085000000001,-2.829704,102.952357
51,51,336,106496,119,50,42.37063842,-0.6034109999999999,-2.817891,103.046423
52,52,336,108544,119,50,42.3883564,-0.6835995,-2.817891,103.046423
53,53,336,110592,119,50,30.332355859999993,-0.805766,-2.348397,111.15346
54,54,336,112640,119,50,30.341698340000004,-0.7623535,-2.348397,111.15346
55,55,336,114688,119,50,34.18974904,-0.6993564999999999,-2.776849,103.217799
56,56,336,116736,119,50,21.8211222,-0.9038485,-2.776849,110.522096
57,57,336,118784,119,50,24.201991699999997,-0.81035,-2.442859,110.522096
58,58,336,120832,119,50,32.04131214,-0.719336,-2.693687,103.074823
59,59,336,122880,119,50,23.586158639999997,-0.767442,-2.8401,103.012055
60,60,336,124928,119,50,26.049298959999998,-0.753132,-2.8401,103.143771
61,61,336,126976,119,50,34.6795289,-0.611304,-2.755714,103.143771
62,62,336,129024,119,50,34.44064420000001,-0.1869685,-2.755714,103.143771
63,63,336,131072,119,50,34.50283426000001,-0.49246100000000004,-2.793179,103.037798
64,64,336,133120,119,50,34.641211320000004,-0.554501,-2.793179,103.209948
65,65,336,135168,119,50,24.249939500000004,-0.9215285,-2.828191,103.209948
66,66,336,137216,119,50,11.57845708,-0.995798,-3.010026,102.628486
67,67,336,139264,119,50,9.28714354,-1.2603825,-3.010026,102.142973
68,68,336,141312,118,50,17.3829074,-1.1142085,-2.767378,102.142973
69,69,336,143360,119,50,11.76766496,-0.9660694999999999,-3.019924,111.38339
70,70,336,145408,119,50,5.608793599999999,-1.051828,-3.019924,111.38339
71,71,336,147456,118,50,7.26310112,-0.922012,-2.766585,111.110491
72,72,336,149504,119,50,7.236880139999999,-0.7565185000000001,-2.832699,101.829601
73,73,336,151552,119,50,11.58466708,-0.7514995,-2.832699,110.981622
