CUDA: False
Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.005, value_loss_coef=0.5, max_grad_norm=0.5, seed=19646, cuda_deterministic=False, num_processes=1, num_steps=2048, ppo_epoch=10, num_mini_batch=1, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptWalking20250805/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.00012, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[690000, 100000], qvar=[0.4, 0.5], birthx=[2.6, 3.0], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='walk-v10_20250805_VRNN_constantx5b5noisy3x5b5_stepoobmetabolicfound_bx2.63_t690000100000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n1_walking_seed196460e', walking=True, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob', 'metabolic', 'found'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
PPO Args ---> Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.005, value_loss_coef=0.5, max_grad_norm=0.5, seed=19646, cuda_deterministic=False, num_processes=1, num_steps=2048, ppo_epoch=10, num_mini_batch=1, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptWalking20250805/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.00012, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[690000, 100000], qvar=[0.4, 0.5], birthx=[2.6, 3.0], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='walk-v10_20250805_VRNN_constantx5b5noisy3x5b5_stepoobmetabolicfound_bx2.63_t690000100000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n1_walking_seed196460e', walking=True, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob', 'metabolic', 'found'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
Using Precomputed Plume...
PlumeEnvironment: {'self': <plume_env.PlumeEnvironment object at 0x31c3a5250>, 't_val_min': 10.0, 'sim_steps_max': 2500, 'reset_offset_tmax': 30, 'dataset': 'constantx5b5', 'move_capacity': 2.0, 'turn_capacity': 19.634954084936208, 'wind_obsx': 1.0, 'movex': 1.0, 'turnx': 1.0, 'birthx': 2.6, 'birthx_max': 1.0, 'env_dt': 0.04, 'loc_algo': 'uniform', 'qvar': 0.4, 'time_algo': 'uniform', 'angle_algo': 'uniform', 'homed_radius': 0.2, 'stray_max': 2.0, 'wind_rel': True, 'auto_movex': False, 'auto_reward': False, 'diff_max': 0.8, 'diff_min': 0.7, 'r_shaping': ['step', 'oob', 'metabolic', 'found'], 'rewardx': 1.0, 'rescale': False, 'squash_action': True, 'walking': True, 'walk_move': 0.05, 'walk_turn': 3.14159, 'radiusx': 1.0, 'diffusion_min': 1.0, 'diffusion_max': 1.0, 'action_feedback': False, 'flipping': True, 'odor_scaling': True, 'obs_noise': 0.0, 'act_noise': 0.0, 'dynamic': False, 'seed': 19646, 'verbose': 0, '__class__': <class 'plume_env.PlumeEnvironment'>}
Squashing actions to 0-1
constantx5b5
wind: t_val_diff 0.03999999999999915 env_dt 0.04
puffs: t_val_diff 0.03999999999999915 env_dt 0.04
Reward Shaping ['step', 'oob', 'metabolic', 'found']
Using Precomputed Plume...
PlumeEnvironment: {'self': <plume_env.PlumeEnvironment object at 0x31c398520>, 't_val_min': 10.0, 'sim_steps_max': 2500, 'reset_offset_tmax': 30, 'dataset': 'constantx5b5', 'move_capacity': 2.0, 'turn_capacity': 19.634954084936208, 'wind_obsx': 1.0, 'movex': 1.0, 'turnx': 1.0, 'birthx': 2.6, 'birthx_max': 1.0, 'env_dt': 0.04, 'loc_algo': 'uniform', 'qvar': 0.4, 'time_algo': 'uniform', 'angle_algo': 'uniform', 'homed_radius': 0.2, 'stray_max': 2.0, 'wind_rel': True, 'auto_movex': False, 'auto_reward': False, 'diff_max': 0.8, 'diff_min': 0.7, 'r_shaping': ['step', 'oob', 'metabolic', 'found'], 'rewardx': 1.0, 'rescale': False, 'squash_action': True, 'walking': True, 'walk_move': 0.05, 'walk_turn': 3.14159, 'radiusx': 1.0, 'diffusion_min': 1.0, 'diffusion_max': 1.0, 'action_feedback': False, 'flipping': True, 'odor_scaling': True, 'obs_noise': 0.0, 'act_noise': 0.0, 'dynamic': False, 'seed': 19646, 'verbose': 0, '__class__': <class 'plume_env.PlumeEnvironment'>}
Squashing actions to 0-1
constantx5b5
wind: t_val_diff 0.03999999999999915 env_dt 0.04
puffs: t_val_diff 0.03999999999999915 env_dt 0.04
Reward Shaping ['step', 'oob', 'metabolic', 'found']
Using MLPBase
hidden_size 64
Using VanillaRNN
Saved ./trained_models/ExptWalking20250805//plume_walk-v10_20250805_VRNN_constantx5b5noisy3x5b5_stepoobmetabolicfound_bx2.63_t690000100000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n1_walking_seed196460e.pt.start
Stage: 0/2 - constantx5b5 b2.6 q0.4 n690000
Saved ./trained_models/ExptWalking20250805/plume_walk-v10_20250805_VRNN_constantx5b5noisy3x5b5_stepoobmetabolicfound_bx2.63_t690000100000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n1_walking_seed196460e.pt
Update 0/336, T 2048, FPS 98, 41-training-episode: mean/median 1.1/-1.6, min/max -3.6/101.2
Update 1/336, T 4096, FPS 103, 50-training-episode: mean/median 4.7/-1.5, min/max -3.6/102.2
Update 2/336, T 6144, FPS 109, 50-training-episode: mean/median 6.8/-1.2, min/max -3.6/102.9
Update 3/336, T 8192, FPS 109, 50-training-episode: mean/median 7.2/-1.0, min/max -3.5/102.9
Update 4/336, T 10240, FPS 107, 50-training-episode: mean/median 1.1/-1.2, min/max -2.9/101.0
Update 5/336, T 12288, FPS 108, 50-training-episode: mean/median 0.8/-1.1, min/max -2.9/101.0
Update 6/336, T 14336, FPS 108, 50-training-episode: mean/median 2.8/-1.3, min/max -3.8/101.2
Update 7/336, T 16384, FPS 108, 50-training-episode: mean/median 4.9/-1.4, min/max -3.8/101.2
Update 8/336, T 18432, FPS 107, 50-training-episode: mean/median 7.3/-1.1, min/max -2.8/101.5
Update 9/336, T 20480, FPS 107, 50-training-episode: mean/median 12.1/-0.9, min/max -2.8/102.1
Update 10/336, T 22528, FPS 106, 50-training-episode: mean/median 1.1/-1.1, min/max -2.9/101.9
Update 11/336, T 24576, FPS 108, 50-training-episode: mean/median 5.4/-1.1, min/max -2.9/103.3
Update 12/336, T 26624, FPS 109, 50-training-episode: mean/median 15.6/-1.0, min/max -3.1/110.6
Update 13/336, T 28672, FPS 109, 50-training-episode: mean/median 17.5/-1.0, min/max -3.1/110.8
Update 14/336, T 30720, FPS 111, 50-training-episode: mean/median 17.5/-0.9, min/max -2.8/110.8
Update 15/336, T 32768, FPS 111, 50-training-episode: mean/median 13.9/-1.0, min/max -2.9/103.1
Update 16/336, T 34816, FPS 112, 50-training-episode: mean/median 17.9/-1.0, min/max -2.9/103.1
Update 17/336, T 36864, FPS 112, 50-training-episode: mean/median 23.9/-0.8, min/max -2.9/103.1
Update 18/336, T 38912, FPS 113, 50-training-episode: mean/median 15.4/-1.0, min/max -2.8/103.1
Update 19/336, T 40960, FPS 114, 50-training-episode: mean/median 11.4/-1.0, min/max -2.7/111.1
Update 20/336, T 43008, FPS 114, 50-training-episode: mean/median 11.2/-1.0, min/max -2.8/102.5
Update 21/336, T 45056, FPS 115, 50-training-episode: mean/median 15.3/-0.9, min/max -2.8/102.5
Update 22/336, T 47104, FPS 115, 50-training-episode: mean/median 21.5/-0.7, min/max -2.8/102.4
Update 23/336, T 49152, FPS 116, 50-training-episode: mean/median 28.0/-0.8, min/max -2.7/110.6
Update 24/336, T 51200, FPS 116, 50-training-episode: mean/median 15.6/-0.9, min/max -2.7/110.6
Update 25/336, T 53248, FPS 116, 50-training-episode: mean/median 13.5/-0.8, min/max -2.8/111.0
Update 26/336, T 55296, FPS 117, 50-training-episode: mean/median 19.8/-0.9, min/max -2.9/111.0
Update 27/336, T 57344, FPS 117, 50-training-episode: mean/median 24.1/-0.7, min/max -2.9/111.0
Update 28/336, T 59392, FPS 118, 50-training-episode: mean/median 17.6/-0.8, min/max -2.9/102.6
Update 29/336, T 61440, FPS 118, 50-training-episode: mean/median 22.1/-0.7, min/max -2.8/111.3
Update 30/336, T 63488, FPS 118, 50-training-episode: mean/median 22.3/-0.7, min/max -2.7/111.3
Update 31/336, T 65536, FPS 118, 50-training-episode: mean/median 17.7/-1.1, min/max -2.9/110.9
Update 32/336, T 67584, FPS 119, 50-training-episode: mean/median 7.3/-1.2, min/max -2.9/102.5
Update 33/336, T 69632, FPS 119, 50-training-episode: mean/median 11.4/-1.1, min/max -2.9/102.5
Update 34/336, T 71680, FPS 119, 50-training-episode: mean/median 19.6/-0.8, min/max -2.8/102.3
Update 35/336, T 73728, FPS 119, 50-training-episode: mean/median 25.6/-0.7, min/max -2.8/102.3
Update 36/336, T 75776, FPS 119, 50-training-episode: mean/median 17.4/-0.8, min/max -2.8/102.6
Update 37/336, T 77824, FPS 119, 50-training-episode: mean/median 21.7/-0.8, min/max -2.8/102.6
Update 38/336, T 79872, FPS 119, 50-training-episode: mean/median 28.0/-0.7, min/max -2.8/111.0
Update 39/336, T 81920, FPS 119, 50-training-episode: mean/median 34.5/-0.6, min/max -2.8/111.0
Update 40/336, T 83968, FPS 119, 50-training-episode: mean/median 26.2/-0.8, min/max -2.8/103.0
Update 41/336, T 86016, FPS 119, 50-training-episode: mean/median 30.1/-0.9, min/max -2.8/103.2
Update 42/336, T 88064, FPS 119, 50-training-episode: mean/median 36.3/-0.8, min/max -2.8/111.0
Update 43/336, T 90112, FPS 119, 50-training-episode: mean/median 46.9/-0.5, min/max -2.8/111.0
Update 44/336, T 92160, FPS 119, 50-training-episode: mean/median 46.8/-0.5, min/max -2.8/111.0
Update 45/336, T 94208, FPS 119, 50-training-episode: mean/median 32.1/-0.6, min/max -2.7/102.9
Update 46/336, T 96256, FPS 119, 50-training-episode: mean/median 25.8/-0.9, min/max -2.7/103.1
Update 47/336, T 98304, FPS 119, 50-training-episode: mean/median 34.2/-0.7, min/max -2.7/110.9
Update 48/336, T 100352, FPS 119, 50-training-episode: mean/median 36.3/-0.8, min/max -2.8/110.9
Update 49/336, T 102400, FPS 119, 50-training-episode: mean/median 36.1/-0.8, min/max -2.8/103.0
Update 50/336, T 104448, FPS 119, 50-training-episode: mean/median 42.1/-0.7, min/max -2.8/103.0
Update 51/336, T 106496, FPS 119, 50-training-episode: mean/median 42.4/-0.6, min/max -2.8/103.0
Update 52/336, T 108544, FPS 119, 50-training-episode: mean/median 42.4/-0.7, min/max -2.8/103.0
Update 53/336, T 110592, FPS 119, 50-training-episode: mean/median 30.3/-0.8, min/max -2.3/111.2
Update 54/336, T 112640, FPS 119, 50-training-episode: mean/median 30.3/-0.8, min/max -2.3/111.2
Update 55/336, T 114688, FPS 119, 50-training-episode: mean/median 34.2/-0.7, min/max -2.8/103.2
Update 56/336, T 116736, FPS 119, 50-training-episode: mean/median 21.8/-0.9, min/max -2.8/110.5
Update 57/336, T 118784, FPS 119, 50-training-episode: mean/median 24.2/-0.8, min/max -2.4/110.5
Update 58/336, T 120832, FPS 119, 50-training-episode: mean/median 32.0/-0.7, min/max -2.7/103.1
Update 59/336, T 122880, FPS 119, 50-training-episode: mean/median 23.6/-0.8, min/max -2.8/103.0
Update 60/336, T 124928, FPS 119, 50-training-episode: mean/median 26.0/-0.8, min/max -2.8/103.1
Update 61/336, T 126976, FPS 119, 50-training-episode: mean/median 34.7/-0.6, min/max -2.8/103.1
Update 62/336, T 129024, FPS 119, 50-training-episode: mean/median 34.4/-0.2, min/max -2.8/103.1
Update 63/336, T 131072, FPS 119, 50-training-episode: mean/median 34.5/-0.5, min/max -2.8/103.0
