,idx,reward_sum,n_steps,reason
0,0,114.97418281133287,215,HOME
1,1,-0.014571603730473726,53,OOB
2,2,-0.0475680100498721,37,OOB
3,3,0.017071171198040247,30,OOB
4,4,0.0012902443995699286,1,OOB
5,5,0.012819901194234262,101,OOB
6,6,-0.0017154773231595755,1,OOB
7,7,0.11654762532725726,130,OOB
8,8,-0.0014910842292010784,1,OOB
9,9,-0.0006999412435106933,1,OOB
10,10,-0.00016195917851291597,1,OOB
11,11,-0.0007011620327830315,1,OOB
12,12,0.0345345131954673,69,OOB
13,13,-0.025444201499340124,42,OOB
14,14,-0.002762699266895652,1,OOB
15,15,-0.0021917843259871006,1,OOB
16,16,-0.015103212324902415,6,OOB
17,17,-0.01339594298042357,6,OOB
18,18,-0.0016783872852101922,1,OOB
19,19,110.0,1,HOME
20,20,-0.002116955118253827,1,OOB
21,21,-0.0005497971433214843,1,OOB
22,22,-0.0005501870764419436,1,OOB
23,23,-0.0012239684583619237,1,OOB
24,24,0.03772500576451421,30,OOB
25,25,-0.0005625501507893205,1,OOB
26,26,109.99435358529445,11,HOME
27,27,0.11766120297215821,130,OOB
28,28,0.0604499861055956,134,OOB
29,29,0.03485455742338672,65,OOB
30,30,-0.0005562368896789849,1,OOB
31,31,0.047511583296000026,66,OOB
32,32,-0.0007650276529602706,1,OOB
33,33,0.00047250751185856643,204,OOB
34,34,-0.0007658782396902097,126,OOB
35,35,0.01798584657262836,191,OOB
36,36,0.02751668408382102,43,OOB
37,37,-0.0018184552900493145,1,OOB
38,38,-0.004668011949888751,125,OOB
39,39,-0.01627911013611083,108,OOB
40,40,-0.054809968220070004,18,OOB
41,41,0.0026759584434330463,2,OOB
42,42,-0.0021580650936812162,1,OOB
43,43,0.0012682763901921135,6,OOB
44,44,-0.0016775779658928514,1,OOB
45,45,0.027003717849311215,84,OOB
46,46,0.02229015418288327,76,OOB
47,47,0.024543399198591942,29,OOB
48,48,109.96679450775264,43,HOME
49,49,-0.0006887346971780062,1,OOB
50,50,-0.0009673419990576804,1,OOB
51,51,-0.005289915832690895,4,OOB
52,52,0.043032976071117446,56,OOB
53,53,-0.005908269135034061,90,OOB
54,54,0.021090881844429532,63,OOB
55,55,-0.0007215340156108141,1,OOB
56,56,-0.0042340624466419285,203,OOB
57,57,0.0014313568826764822,1,OOB
58,58,0.019328057064512905,54,OOB
59,59,-0.001339799171546474,2,OOB
60,60,0.025306487281341106,41,OOB
61,61,0.002467599719238933,43,OOB
62,62,-0.0010752292582765222,1,OOB
63,63,0.018565090091215097,40,OOB
64,64,0.003124126815237105,2,OOB
65,65,-0.007009015459999546,175,OOB
66,66,-0.003683407441712916,2,OOB
67,67,0.016828706414344197,45,OOB
68,68,0.07913598510367592,89,OOB
69,69,-0.0016900289338082075,1,OOB
70,70,0.0254944173466356,37,OOB
71,71,0.004292233997148287,64,OOB
72,72,-0.00019953091486968333,191,OOB
73,73,-0.0010525116231292486,1,OOB
74,74,-0.0005438935477286577,1,OOB
75,75,-0.0008568550110794604,1,OOB
76,76,-0.0008569803321734071,1,OOB
77,77,-0.0008571056532673538,1,OOB
78,78,-0.02804947577533312,27,OOB
79,79,-0.005926275625824928,2,OOB
80,80,-0.0008608527714386582,1,OOB
81,81,0.031217484776789206,46,OOB
82,82,0.012769839929205773,152,OOB
83,83,0.00899324216061359,78,OOB
84,84,-0.0012089490192010999,1,OOB
85,85,-0.001900897128507495,1,OOB
86,86,-0.13394012372009456,68,OOB
87,87,-0.009874323055640843,191,OOB
88,88,-0.0015524040209129453,1,OOB
89,89,-0.0027708227280527353,1,OOB
90,90,-0.000925705477129668,1,OOB
91,91,-0.04603347962256521,22,OOB
92,92,0.03186436291071004,67,OOB
93,93,-0.0009360890253446996,1,OOB
94,94,-0.0037092799320816994,1,OOB
95,95,0.023737780953524634,30,OOB
96,96,-0.001276852679438889,1,OOB
97,97,-0.005749670206569135,6,OOB
98,98,0.007796814083121717,52,OOB
99,99,0.0007441046927851858,12,OOB
