,update,total_updates,T,FPS,window,mean,median,min,max
0,0,288,2048,121,42,-1.8880314999999999,-1.8015255,-4.360831,-0.413541
1,1,288,4096,124,50,-2.17800464,-2.054365,-4.801162,-0.413541
2,2,288,6144,125,50,1.7500529200000006,-2.066869,-5.016528,100.999994
3,3,288,8192,131,50,3.63844526,-2.201434,-5.35079,101.000434
4,4,288,10240,132,50,3.66729834,-2.241675,-5.750218,101.000434
5,5,288,12288,132,50,-0.15384367999999973,-1.8771110000000002,-5.750218,100.988054
6,6,288,14336,131,50,0.31325654,-1.568971,-4.132513,100.917531
7,7,288,16384,130,50,0.4503031200000004,-1.3594965,-3.654548,100.882963
8,8,288,18432,130,50,4.480278699999999,-1.5592945,-3.011618,101.112066
9,9,288,20480,129,50,-1.5866034199999999,-1.4622335,-4.089098,-0.433703
10,10,288,22528,130,50,0.5158413799999999,-1.427913,-2.79208,101.132856
11,11,288,24576,129,50,0.59213798,-1.1542474999999999,-2.975026,101.132856
12,12,288,26624,130,50,-1.4746730200000002,-1.4297535,-2.943341,0.103297
13,13,288,28672,131,50,0.5789370600000001,-1.371556,-3.024802,101.119139
14,14,288,30720,131,50,2.76287998,-1.2330465,-3.024802,101.119139
15,15,288,32768,130,50,4.722865020000001,-1.3061785000000001,-2.826944,101.151931
16,16,288,34816,129,50,2.7859969199999997,-1.0968295000000001,-2.85605,101.046358
17,17,288,36864,129,50,2.708028879999999,-1.247657,-2.673486,101.006717
18,18,288,38912,129,50,0.6030020999999999,-1.27705,-2.805514,101.006717
19,19,288,40960,129,50,0.674628,-1.1402115,-2.805514,100.938272
20,20,288,43008,129,50,2.8463422599999997,-0.970809,-3.013653,102.430157
21,21,288,45056,130,50,1.02143114,-0.8312565000000001,-3.013653,102.430157
22,22,288,47104,129,50,0.8957665400000003,-1.113191,-2.947496,101.235145
23,23,288,49152,129,50,2.7570298799999993,-1.2886875,-2.816245,101.389254
24,24,288,51200,129,50,4.860689820000001,-1.064867,-2.816245,101.389254
25,25,288,53248,129,50,4.867252840000001,-1.1029095,-2.864719,101.657233
26,26,288,55296,129,50,4.966263380000001,-0.9941175,-2.905452,101.657233
27,27,288,57344,130,50,11.1536492,-0.969585,-2.905452,102.840675
28,28,288,59392,130,50,17.37691912,-0.8272275,-2.905452,102.840675
29,29,288,61440,130,50,13.020826119999999,-1.2118555,-2.884569,102.733201
30,30,288,63488,129,50,8.888468399999999,-1.3183785000000001,-2.884569,103.045574
31,31,288,65536,130,50,17.12675866,-1.186695,-2.849054,103.045574
32,32,288,67584,130,50,21.250200419999995,-1.148638,-2.849054,103.045574
33,33,288,69632,129,50,17.29426584,-1.1011549999999999,-2.767544,102.714435
34,34,288,71680,129,50,15.308537840000001,-0.9935735,-2.787126,102.568691
35,35,288,73728,129,50,11.0251688,-1.1318385000000002,-3.605304,102.027305
36,36,288,75776,129,50,17.341771979999997,-0.8054129999999999,-3.605304,102.695557
37,37,288,77824,129,50,15.37129852,-0.7970735,-3.605304,102.695557
38,38,288,79872,129,50,7.185533240000001,-0.901737,-2.851277,101.881292
39,39,288,81920,129,50,5.149502439999999,-1.0305849999999999,-2.739616,101.891127
40,40,288,83968,129,50,9.191237059999999,-1.0058325,-2.739616,101.891127
41,41,288,86016,129,50,7.112568799999999,-0.877375,-2.843881,101.891127
42,42,288,88064,130,50,7.05603056,-0.8583655,-3.001111,101.457635
43,43,288,90112,130,50,13.236627019999998,-0.7631220000000001,-3.001111,101.457635
44,44,288,92160,130,50,15.426040539999999,-0.7631220000000001,-3.001111,101.637111
45,45,288,94208,130,50,13.37072344,-0.65098,-2.815567,101.637111
46,46,288,96256,130,50,3.038682,-0.9449830000000001,-3.115154,100.951498
47,47,288,98304,129,50,6.94009634,-1.1053445000000002,-3.115154,101.454083
48,48,288,100352,129,50,17.10915416,-1.096858,-2.778384,102.463237
49,49,288,102400,129,50,13.100980159999999,-1.1025155,-2.82406,102.463237
50,50,288,104448,129,50,5.063945799999999,-1.0060864999999999,-2.875108,102.439513
51,51,288,106496,130,50,2.92157178,-1.122843,-2.875108,102.161788
52,52,288,108544,129,50,9.08555528,-1.0782905,-2.830906,102.577834
53,53,288,110592,129,50,7.056223759999999,-1.0584500000000001,-2.75052,101.873693
54,54,288,112640,130,50,11.260603640000005,-0.8550105,-2.75052,102.8051
55,55,288,114688,130,50,17.466039639999998,-1.060702,-2.801373,102.8051
56,56,288,116736,130,50,19.610251639999998,-1.0359765,-2.801373,103.187005
57,57,288,118784,130,50,19.582546219999998,-0.934766,-2.802447,103.187005
58,58,288,120832,130,50,21.595990660000002,-0.796979,-2.818922,103.236492
59,59,288,122880,130,50,29.762690140000004,-0.737685,-2.818922,103.24371
60,60,288,124928,130,50,31.59253968,-0.8262575000000001,-2.805712,103.111833
61,61,288,126976,130,50,21.37254104,-0.844028,-2.814284,102.851492
62,62,288,129024,130,50,27.721598860000004,-0.764608,-2.814284,103.275423
63,63,288,131072,130,50,31.85491554,-0.86836,-2.792558,103.275423
64,64,288,133120,130,50,38.15419162,-0.5735565,-2.792558,103.275423
65,65,288,135168,130,50,42.27336692,-0.33875500000000003,-2.792558,103.108588
66,66,288,137216,130,50,27.764064480000002,-0.824865,-2.722007,103.094441
67,67,288,139264,130,50,23.601741699999998,-0.896943,-2.813889,103.011462
68,68,288,141312,130,50,27.67481774,-0.886636,-2.813889,103.089054
69,69,288,143360,130,50,33.838844820000006,-0.6795585,-2.834316,103.089054
70,70,288,145408,130,50,38.017477019999994,-0.5288930000000001,-2.834316,102.78651
71,71,288,147456,130,50,31.90640084,-0.6710689999999999,-2.706867,103.037331
72,72,288,149504,130,50,35.9494672,-0.851369,-2.733592,103.141649
73,73,288,151552,130,50,23.64653844,-0.875885,-2.733592,103.141649
74,74,288,153600,130,50,17.66842798,-0.70882,-2.601461,102.928855
75,75,288,155648,130,50,27.885303020000002,-0.5488915,-2.866844,103.215387
76,76,288,157696,130,50,27.725520379999992,-0.6075305,-2.893308,103.215387
77,77,288,159744,131,50,23.69913244,-0.7036855,-2.893308,103.090491
78,78,288,161792,131,50,23.67012582,-0.7083809999999999,-2.817203,102.856995
79,79,288,163840,131,50,15.36159584,-0.7679545000000001,-2.802356,103.147789
80,80,288,165888,131,50,17.46666102,-0.7634540000000001,-2.559079,103.147789
