CUDA: False
Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.005, value_loss_coef=0.5, max_grad_norm=0.5, seed=3284, cuda_deterministic=False, num_processes=1, num_steps=2048, ppo_epoch=10, num_mini_batch=1, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptWalking20250805/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.00012, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[590000, 100000], qvar=[0.4, 0.5], birthx=[2.2, 2.0], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='walk-v11_20250805_VRNN_constantx5b5noisy3x5b5_stepoobmetabolic_bx2.22_t590000100000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n1_walking_seed328463', walking=True, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob', 'metabolic'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
PPO Args ---> Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.005, value_loss_coef=0.5, max_grad_norm=0.5, seed=3284, cuda_deterministic=False, num_processes=1, num_steps=2048, ppo_epoch=10, num_mini_batch=1, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptWalking20250805/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.00012, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[590000, 100000], qvar=[0.4, 0.5], birthx=[2.2, 2.0], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='walk-v11_20250805_VRNN_constantx5b5noisy3x5b5_stepoobmetabolic_bx2.22_t590000100000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n1_walking_seed328463', walking=True, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob', 'metabolic'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
Using Precomputed Plume...
PlumeEnvironment: {'self': <plume_env.PlumeEnvironment object at 0x17dea5280>, 't_val_min': 10.0, 'sim_steps_max': 2500, 'reset_offset_tmax': 30, 'dataset': 'constantx5b5', 'move_capacity': 2.0, 'turn_capacity': 19.634954084936208, 'wind_obsx': 1.0, 'movex': 1.0, 'turnx': 1.0, 'birthx': 2.2, 'birthx_max': 1.0, 'env_dt': 0.04, 'loc_algo': 'uniform', 'qvar': 0.4, 'time_algo': 'uniform', 'angle_algo': 'uniform', 'homed_radius': 0.2, 'stray_max': 2.0, 'wind_rel': True, 'auto_movex': False, 'auto_reward': False, 'diff_max': 0.8, 'diff_min': 0.7, 'r_shaping': ['step', 'oob', 'metabolic'], 'rewardx': 1.0, 'rescale': False, 'squash_action': True, 'walking': True, 'walk_move': 0.05, 'walk_turn': 3.14159, 'radiusx': 1.0, 'diffusion_min': 1.0, 'diffusion_max': 1.0, 'action_feedback': False, 'flipping': True, 'odor_scaling': True, 'obs_noise': 0.0, 'act_noise': 0.0, 'dynamic': False, 'seed': 3284, 'verbose': 0, '__class__': <class 'plume_env.PlumeEnvironment'>}
Squashing actions to 0-1
constantx5b5
wind: t_val_diff 0.03999999999999915 env_dt 0.04
puffs: t_val_diff 0.03999999999999915 env_dt 0.04
Reward Shaping ['step', 'oob', 'metabolic']
Using Precomputed Plume...
PlumeEnvironment: {'self': <plume_env.PlumeEnvironment object at 0x17dea5d90>, 't_val_min': 10.0, 'sim_steps_max': 2500, 'reset_offset_tmax': 30, 'dataset': 'constantx5b5', 'move_capacity': 2.0, 'turn_capacity': 19.634954084936208, 'wind_obsx': 1.0, 'movex': 1.0, 'turnx': 1.0, 'birthx': 2.2, 'birthx_max': 1.0, 'env_dt': 0.04, 'loc_algo': 'uniform', 'qvar': 0.4, 'time_algo': 'uniform', 'angle_algo': 'uniform', 'homed_radius': 0.2, 'stray_max': 2.0, 'wind_rel': True, 'auto_movex': False, 'auto_reward': False, 'diff_max': 0.8, 'diff_min': 0.7, 'r_shaping': ['step', 'oob', 'metabolic'], 'rewardx': 1.0, 'rescale': False, 'squash_action': True, 'walking': True, 'walk_move': 0.05, 'walk_turn': 3.14159, 'radiusx': 1.0, 'diffusion_min': 1.0, 'diffusion_max': 1.0, 'action_feedback': False, 'flipping': True, 'odor_scaling': True, 'obs_noise': 0.0, 'act_noise': 0.0, 'dynamic': False, 'seed': 3284, 'verbose': 0, '__class__': <class 'plume_env.PlumeEnvironment'>}
Squashing actions to 0-1
constantx5b5
wind: t_val_diff 0.03999999999999915 env_dt 0.04
puffs: t_val_diff 0.03999999999999915 env_dt 0.04
Reward Shaping ['step', 'oob', 'metabolic']
Using MLPBase
hidden_size 64
Using VanillaRNN
Saved ./trained_models/ExptWalking20250805//plume_walk-v11_20250805_VRNN_constantx5b5noisy3x5b5_stepoobmetabolic_bx2.22_t590000100000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n1_walking_seed328463.pt.start
Stage: 0/2 - constantx5b5 b2.2 q0.4 n590000
Saved ./trained_models/ExptWalking20250805/plume_walk-v11_20250805_VRNN_constantx5b5noisy3x5b5_stepoobmetabolic_bx2.22_t590000100000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n1_walking_seed328463.pt
Update 0/288, T 2048, FPS 121, 42-training-episode: mean/median -1.9/-1.8, min/max -4.4/-0.4
Update 1/288, T 4096, FPS 124, 50-training-episode: mean/median -2.2/-2.1, min/max -4.8/-0.4
Update 2/288, T 6144, FPS 125, 50-training-episode: mean/median 1.8/-2.1, min/max -5.0/101.0
Update 3/288, T 8192, FPS 131, 50-training-episode: mean/median 3.6/-2.2, min/max -5.4/101.0
Update 4/288, T 10240, FPS 132, 50-training-episode: mean/median 3.7/-2.2, min/max -5.8/101.0
Update 5/288, T 12288, FPS 132, 50-training-episode: mean/median -0.2/-1.9, min/max -5.8/101.0
Update 6/288, T 14336, FPS 131, 50-training-episode: mean/median 0.3/-1.6, min/max -4.1/100.9
Update 7/288, T 16384, FPS 130, 50-training-episode: mean/median 0.5/-1.4, min/max -3.7/100.9
Update 8/288, T 18432, FPS 130, 50-training-episode: mean/median 4.5/-1.6, min/max -3.0/101.1
Update 9/288, T 20480, FPS 129, 50-training-episode: mean/median -1.6/-1.5, min/max -4.1/-0.4
Update 10/288, T 22528, FPS 130, 50-training-episode: mean/median 0.5/-1.4, min/max -2.8/101.1
Update 11/288, T 24576, FPS 129, 50-training-episode: mean/median 0.6/-1.2, min/max -3.0/101.1
Update 12/288, T 26624, FPS 130, 50-training-episode: mean/median -1.5/-1.4, min/max -2.9/0.1
Update 13/288, T 28672, FPS 131, 50-training-episode: mean/median 0.6/-1.4, min/max -3.0/101.1
Update 14/288, T 30720, FPS 131, 50-training-episode: mean/median 2.8/-1.2, min/max -3.0/101.1
Update 15/288, T 32768, FPS 130, 50-training-episode: mean/median 4.7/-1.3, min/max -2.8/101.2
Update 16/288, T 34816, FPS 129, 50-training-episode: mean/median 2.8/-1.1, min/max -2.9/101.0
Update 17/288, T 36864, FPS 129, 50-training-episode: mean/median 2.7/-1.2, min/max -2.7/101.0
Update 18/288, T 38912, FPS 129, 50-training-episode: mean/median 0.6/-1.3, min/max -2.8/101.0
Update 19/288, T 40960, FPS 129, 50-training-episode: mean/median 0.7/-1.1, min/max -2.8/100.9
Update 20/288, T 43008, FPS 129, 50-training-episode: mean/median 2.8/-1.0, min/max -3.0/102.4
Update 21/288, T 45056, FPS 130, 50-training-episode: mean/median 1.0/-0.8, min/max -3.0/102.4
Update 22/288, T 47104, FPS 129, 50-training-episode: mean/median 0.9/-1.1, min/max -2.9/101.2
Update 23/288, T 49152, FPS 129, 50-training-episode: mean/median 2.8/-1.3, min/max -2.8/101.4
Update 24/288, T 51200, FPS 129, 50-training-episode: mean/median 4.9/-1.1, min/max -2.8/101.4
Update 25/288, T 53248, FPS 129, 50-training-episode: mean/median 4.9/-1.1, min/max -2.9/101.7
Update 26/288, T 55296, FPS 129, 50-training-episode: mean/median 5.0/-1.0, min/max -2.9/101.7
Update 27/288, T 57344, FPS 130, 50-training-episode: mean/median 11.2/-1.0, min/max -2.9/102.8
Update 28/288, T 59392, FPS 130, 50-training-episode: mean/median 17.4/-0.8, min/max -2.9/102.8
Update 29/288, T 61440, FPS 130, 50-training-episode: mean/median 13.0/-1.2, min/max -2.9/102.7
Update 30/288, T 63488, FPS 129, 50-training-episode: mean/median 8.9/-1.3, min/max -2.9/103.0
Update 31/288, T 65536, FPS 130, 50-training-episode: mean/median 17.1/-1.2, min/max -2.8/103.0
Update 32/288, T 67584, FPS 130, 50-training-episode: mean/median 21.3/-1.1, min/max -2.8/103.0
Update 33/288, T 69632, FPS 129, 50-training-episode: mean/median 17.3/-1.1, min/max -2.8/102.7
Update 34/288, T 71680, FPS 129, 50-training-episode: mean/median 15.3/-1.0, min/max -2.8/102.6
Update 35/288, T 73728, FPS 129, 50-training-episode: mean/median 11.0/-1.1, min/max -3.6/102.0
Update 36/288, T 75776, FPS 129, 50-training-episode: mean/median 17.3/-0.8, min/max -3.6/102.7
Update 37/288, T 77824, FPS 129, 50-training-episode: mean/median 15.4/-0.8, min/max -3.6/102.7
Update 38/288, T 79872, FPS 129, 50-training-episode: mean/median 7.2/-0.9, min/max -2.9/101.9
Update 39/288, T 81920, FPS 129, 50-training-episode: mean/median 5.1/-1.0, min/max -2.7/101.9
Update 40/288, T 83968, FPS 129, 50-training-episode: mean/median 9.2/-1.0, min/max -2.7/101.9
Update 41/288, T 86016, FPS 129, 50-training-episode: mean/median 7.1/-0.9, min/max -2.8/101.9
Update 42/288, T 88064, FPS 130, 50-training-episode: mean/median 7.1/-0.9, min/max -3.0/101.5
Update 43/288, T 90112, FPS 130, 50-training-episode: mean/median 13.2/-0.8, min/max -3.0/101.5
Update 44/288, T 92160, FPS 130, 50-training-episode: mean/median 15.4/-0.8, min/max -3.0/101.6
Update 45/288, T 94208, FPS 130, 50-training-episode: mean/median 13.4/-0.7, min/max -2.8/101.6
Update 46/288, T 96256, FPS 130, 50-training-episode: mean/median 3.0/-0.9, min/max -3.1/101.0
Update 47/288, T 98304, FPS 129, 50-training-episode: mean/median 6.9/-1.1, min/max -3.1/101.5
Update 48/288, T 100352, FPS 129, 50-training-episode: mean/median 17.1/-1.1, min/max -2.8/102.5
Update 49/288, T 102400, FPS 129, 50-training-episode: mean/median 13.1/-1.1, min/max -2.8/102.5
Update 50/288, T 104448, FPS 129, 50-training-episode: mean/median 5.1/-1.0, min/max -2.9/102.4
Update 51/288, T 106496, FPS 130, 50-training-episode: mean/median 2.9/-1.1, min/max -2.9/102.2
Update 52/288, T 108544, FPS 129, 50-training-episode: mean/median 9.1/-1.1, min/max -2.8/102.6
Update 53/288, T 110592, FPS 129, 50-training-episode: mean/median 7.1/-1.1, min/max -2.8/101.9
Update 54/288, T 112640, FPS 130, 50-training-episode: mean/median 11.3/-0.9, min/max -2.8/102.8
Update 55/288, T 114688, FPS 130, 50-training-episode: mean/median 17.5/-1.1, min/max -2.8/102.8
Update 56/288, T 116736, FPS 130, 50-training-episode: mean/median 19.6/-1.0, min/max -2.8/103.2
Update 57/288, T 118784, FPS 130, 50-training-episode: mean/median 19.6/-0.9, min/max -2.8/103.2
Update 58/288, T 120832, FPS 130, 50-training-episode: mean/median 21.6/-0.8, min/max -2.8/103.2
Update 59/288, T 122880, FPS 130, 50-training-episode: mean/median 29.8/-0.7, min/max -2.8/103.2
Update 60/288, T 124928, FPS 130, 50-training-episode: mean/median 31.6/-0.8, min/max -2.8/103.1
Update 61/288, T 126976, FPS 130, 50-training-episode: mean/median 21.4/-0.8, min/max -2.8/102.9
Update 62/288, T 129024, FPS 130, 50-training-episode: mean/median 27.7/-0.8, min/max -2.8/103.3
Update 63/288, T 131072, FPS 130, 50-training-episode: mean/median 31.9/-0.9, min/max -2.8/103.3
