,idx,reward_sum,n_steps,reason
0,0,-8.994690839434043,70,OOB
1,1,-1.0484904050827026,1,OOB
2,2,113.29345821938477,194,HOME
3,3,-0.011036323994630948,22,OOB
4,4,-0.021330226445570588,17,OOB
5,5,110.24424005348192,179,HOME
6,6,110.29347668915943,274,HOME
7,7,0.04562931117834523,39,OOB
8,8,110.06772765262303,106,HOME
9,9,110.05347356533821,133,HOME
10,10,110.01303658021789,67,HOME
11,11,110.24902565727825,230,HOME
12,12,110.15690900091431,199,HOME
13,13,110.2519870713295,227,HOME
14,14,110.07533941997826,124,HOME
15,15,110.01598090014886,71,HOME
16,16,110.22943571527503,276,HOME
17,17,109.99799717174028,6,HOME
18,18,110.19433619187475,233,HOME
19,19,-0.0009536262659821659,38,OOB
20,20,110.21922440587878,260,HOME
21,21,110.13222920517092,186,HOME
22,22,110.164889497275,206,HOME
23,23,110.04897862324833,155,HOME
24,24,-0.00039846773142926395,1,OOB
25,25,-0.003929683123715222,4,OOB
26,26,-0.026588057895423844,27,OOB
27,27,-0.029824263910995796,38,OOB
28,28,0.03659495470037655,168,OOB
29,29,110.20358206331252,256,HOME
30,30,-0.0007895975722931325,1,OOB
31,31,-0.014149379450827837,17,OOB
32,32,-0.0009322059340775013,1,OOB
33,33,110.12368277116911,147,HOME
34,34,110.04233188557578,132,HOME
35,35,-0.0008209755760617554,2,OOB
36,36,110.05912418631124,96,HOME
37,37,0.0020980773551855236,5,OOB
38,38,-0.00040605792310088873,1,OOB
39,39,-0.0008447770378552377,1,OOB
40,40,-0.0006188620463944972,1,OOB
41,41,-0.03603769635083154,33,OOB
42,42,110.02086962440706,76,HOME
43,43,110.16842799589358,215,HOME
44,44,0.039542658894788474,41,OOB
45,45,110.1992404105622,235,HOME
46,46,110.20350532400289,256,HOME
47,47,110.2195274465339,251,HOME
48,48,-0.006055509264115244,18,OOB
49,49,110.14358869981697,188,HOME
50,50,0.01733416525530629,30,OOB
51,51,110.17687089982064,199,HOME
52,52,-0.024269580520922318,43,OOB
53,53,0.011437606015533675,74,OOB
54,54,0.013100561394821852,13,OOB
55,55,110.14164887538436,183,HOME
56,56,110.22067303108679,271,HOME
57,57,-0.040410980087472126,64,OOB
58,58,-0.0008433510665781796,2,OOB
59,59,-0.007315390685107559,6,OOB
60,60,110.16751032595494,200,HOME
61,61,110.13356928165013,177,HOME
62,62,0.0665772760658001,90,OOB
63,63,-0.00042355162440799177,1,OOB
64,64,-0.0020220248261466622,2,OOB
65,65,110.1894392934712,252,HOME
66,66,110.17911335285908,243,HOME
67,67,-0.016080696892458946,27,OOB
68,68,110.09410235617543,145,HOME
69,69,110.25405562822561,260,HOME
70,70,110.17748335941269,223,HOME
71,71,110.02440139447378,85,HOME
72,72,-0.00042320103966630995,1,OOB
73,73,110.21481343719643,198,HOME
74,74,110.01617816425414,78,HOME
75,75,110.11847236452627,176,HOME
76,76,-8.166834595613182e-05,39,OOB
77,77,110.13849077411578,130,HOME
78,78,110.052282586601,103,HOME
79,79,110.12840181331376,183,HOME
80,80,110.02839822952228,69,HOME
81,81,-0.008668478054460138,21,OOB
82,82,-0.0004576202773023397,1,OOB
83,83,110.06478799298202,88,HOME
84,84,-0.0021869117626920342,2,OOB
85,85,0.0037409261281027284,56,OOB
86,86,110.10123233440027,166,HOME
87,87,110.04911231400911,80,HOME
88,88,110.25352918996032,278,HOME
89,89,0.015654810584237566,37,OOB
90,90,-0.010943684144876897,14,OOB
91,91,110.25332508975771,266,HOME
92,92,110.25226558019631,320,HOME
93,93,110.17323480446066,197,HOME
94,94,-0.0004153295885771513,1,OOB
95,95,0.006092150928452611,8,OOB
96,96,-0.02054891863372177,20,OOB
97,97,110.11604217119975,173,HOME
98,98,-0.011612561051151715,34,OOB
99,99,110.0397238615842,99,HOME
