,update,total_updates,T,FPS,window,mean,median,min,max
0,0,488,2048,125,15,4.6168042,-2.042048,-4.661812,101.114766
1,1,488,4096,132,39,4.130454333333334,-1.298995,-4.661812,101.114766
2,2,488,6144,138,50,12.129856479999999,-0.8213965000000001,-4.661812,111.183087
3,3,488,8192,137,50,12.536853980000004,-0.8110975,-3.170355,111.183087
4,4,488,10240,137,50,3.9725313800000004,-0.9066445,-3.221557,111.009847
5,5,488,12288,138,50,7.6120472800000005,-0.9913365,-3.539485,102.494739
6,6,488,14336,138,50,11.39876128,-0.8896225,-3.539485,102.494739
7,7,488,16384,137,50,15.664786760000002,-0.7373305,-3.539485,110.960317
8,8,488,18432,137,50,9.40576656,-1.0812590000000002,-3.534124,110.960317
9,9,488,20480,136,50,3.40894744,-1.08467,-3.534124,100.997258
10,10,488,22528,137,50,11.922547179999999,-0.882013,-3.444938,102.163494
11,11,488,24576,137,50,13.83949104,-0.7556055,-3.444938,102.163494
12,12,488,26624,138,50,13.854923320000001,-0.7798775,-3.0686,110.96429
13,13,488,28672,138,50,10.233843279999999,-0.7277945,-2.635006,110.96429
14,14,488,30720,137,50,12.363481839999999,-0.671164,-2.288949,110.90898
15,15,488,32768,137,50,11.84038844,-0.629306,-2.288949,110.857425
16,16,488,34816,138,50,17.8732573,-0.577332,-1.672973,101.880195
17,17,488,36864,138,50,17.95539066,-0.469043,-1.672973,101.959613
18,18,488,38912,138,50,22.257683940000003,-0.33600949999999996,-3.114102,101.959613
19,19,488,40960,139,50,26.357913139999997,-0.34510799999999997,-3.114102,102.353852
20,20,488,43008,139,50,14.069119640000002,-0.621499,-3.114102,102.353852
21,21,488,45056,139,50,18.3079277,-0.61058,-3.261296,111.5038
22,22,488,47104,139,50,16.02438036,-0.621499,-3.261296,111.5038
23,23,488,49152,140,50,20.037628440000002,-0.488581,-3.261296,111.5038
24,24,488,51200,140,50,20.18102608,-0.491902,-2.338382,111.559604
25,25,488,53248,139,50,20.17015976,-0.6957774999999999,-1.971608,111.559604
26,26,488,55296,139,50,34.227525320000005,-0.7533425,-1.971608,111.037494
27,27,488,57344,139,50,42.357433240000006,0.010580000000000006,-1.971608,102.446013
28,28,488,59392,139,50,42.41335754000001,0.2278785,-2.273533,102.446013
29,29,488,61440,139,50,46.368653480000006,0.09289700000000001,-2.273533,102.46304
30,30,488,63488,139,50,40.18751514,-0.185928,-3.55327,102.46304
31,31,488,65536,139,50,42.254025039999995,0.029858,-3.55327,102.46304
32,32,488,67584,140,50,44.28847536,-0.044870999999999994,-3.55327,102.575703
33,33,488,69632,140,50,48.62642142,0.5430635,-3.55327,111.025186
34,34,488,71680,141,50,52.9006902,100.8651965,-3.55327,111.196123
35,35,488,73728,141,50,51.164735639999996,54.908021500000004,-1.615309,111.196123
36,36,488,75776,141,50,43.27584072,0.621964,-2.288888,111.196123
37,37,488,77824,141,50,40.982317380000005,0.039139,-2.288888,111.196123
38,38,488,79872,141,50,51.107981499999994,55.212028499999995,-2.398794,110.996492
39,39,488,81920,141,50,58.94774752,100.999604,-2.398794,110.996492
40,40,488,83968,141,50,65.45148219999999,101.0876675,-2.398794,110.996492
41,41,488,86016,141,50,65.66728001999999,101.306058,-2.0861,110.996492
42,42,488,88064,141,50,59.55479002,101.2603555,-2.0861,111.256223
43,43,488,90112,141,50,51.17046745999999,54.946219,-2.0861,111.256223
44,44,488,92160,141,50,44.80368644,-0.44405249999999996,-2.0861,111.256223
45,45,488,94208,141,50,53.4249253,101.131302,-1.694736,111.256223
46,46,488,96256,141,50,53.253215520000005,101.012418,-1.694736,111.085025
47,47,488,98304,141,50,53.20734828,101.012418,-1.769332,111.085025
48,48,488,100352,141,50,52.84985632,101.012418,-1.820646,111.057844
49,49,488,102400,141,50,52.53121717999999,100.99672899999999,-1.820646,102.672481
50,50,488,104448,141,50,54.98719953999999,101.1199365,-1.820646,110.826698
51,51,488,106496,141,50,61.59244462000001,101.616822,-1.820646,110.959659
52,52,488,108544,141,50,61.513064920000005,101.54993999999999,-2.290686,110.959659
53,53,488,110592,141,50,59.52380806,101.54993999999999,-2.290686,110.959659
54,54,488,112640,141,50,46.57934642,0.3202255,-2.290686,110.959659
55,55,488,114688,141,50,40.48873724,-0.3702655,-2.290686,102.695696
56,56,488,116736,141,50,28.14161232,-0.6004849999999999,-2.064542,102.695696
57,57,488,118784,141,50,32.41758076,-0.627331,-2.064542,110.970198
58,58,488,120832,141,50,38.38916663999999,-0.42146,-1.997389,110.970198
59,59,488,122880,141,50,42.530157419999995,0.11269950000000001,-1.90168,110.970198
60,60,488,124928,142,50,52.81897489999999,101.2191235,-1.874618,110.970198
61,61,488,126976,142,50,52.60764778,100.977737,-1.874618,102.769064
62,62,488,129024,142,50,48.71837346,4.798904,-1.85243,102.769064
63,63,488,131072,142,50,51.00510984,54.903795,-1.85243,111.054836
64,64,488,133120,142,50,50.9901933,54.903795,-1.85243,111.054836
65,65,488,135168,142,50,55.144453060000004,101.297556,-1.982325,111.054836
66,66,488,137216,142,50,61.026619000000004,101.591665,-1.982325,111.054836
67,67,488,139264,142,50,52.746700919999995,100.977202,-2.394068,102.781126
68,68,488,141312,142,50,40.390611899999996,-0.28432250000000003,-2.394068,102.781126
69,69,488,143360,142,50,34.58445262,-0.28432250000000003,-2.394068,102.781126
70,70,488,145408,142,50,32.484639179999995,-0.189941,-1.803066,102.781126
71,71,488,147456,141,50,30.60801202,-0.034443,-2.129623,111.401237
72,72,488,149504,141,50,28.43951594,-0.472828,-2.140514,111.401237
73,73,488,151552,141,50,43.020956,0.3742185,-2.140514,111.247481
74,74,488,153600,141,50,51.00317448,54.9669545,-1.931926,110.935037
75,75,488,155648,140,50,42.5289173,-0.15376700000000001,-1.931926,110.935037
76,76,488,157696,140,50,40.39408914,-0.26615,-1.931926,102.771758
77,77,488,159744,140,50,38.606636820000006,-0.114028,-1.888807,102.771758
78,78,488,161792,140,50,48.85694073999999,4.8372105,-1.599103,102.777411
79,79,488,163840,140,50,49.08073248000001,4.604292,-1.599103,111.201745
80,80,488,165888,140,50,48.984541580000005,0.392188,-1.976909,111.370888
