CUDA: False
Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.005, value_loss_coef=0.5, max_grad_norm=0.5, seed=14178, cuda_deterministic=False, num_processes=1, num_steps=2048, ppo_epoch=10, num_mini_batch=1, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptWalking20250805/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.00012, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[1000000, 100000], qvar=[0.4, 0.5], birthx=[2.6, 3.0], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='walk-v9_20250805_VRNN_constantx5b5noisy3x5b5_stepoobmetabolicfound_bx2.63_t1000000100000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n1_walking_seed1417893', walking=True, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob', 'metabolic', 'found'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
PPO Args ---> Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.005, value_loss_coef=0.5, max_grad_norm=0.5, seed=14178, cuda_deterministic=False, num_processes=1, num_steps=2048, ppo_epoch=10, num_mini_batch=1, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptWalking20250805/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.00012, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[1000000, 100000], qvar=[0.4, 0.5], birthx=[2.6, 3.0], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='walk-v9_20250805_VRNN_constantx5b5noisy3x5b5_stepoobmetabolicfound_bx2.63_t1000000100000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n1_walking_seed1417893', walking=True, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob', 'metabolic', 'found'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
Using Precomputed Plume...
PlumeEnvironment: {'self': <plume_env.PlumeEnvironment object at 0x30e44d2e0>, 't_val_min': 10.0, 'sim_steps_max': 2600, 'reset_offset_tmax': 30, 'dataset': 'constantx5b5', 'move_capacity': 2.0, 'turn_capacity': 19.634954084936208, 'wind_obsx': 1.0, 'movex': 1.0, 'turnx': 1.0, 'birthx': 2.6, 'birthx_max': 1.0, 'env_dt': 0.04, 'loc_algo': 'uniform', 'qvar': 0.4, 'time_algo': 'uniform', 'angle_algo': 'uniform', 'homed_radius': 0.2, 'stray_max': 2.0, 'wind_rel': True, 'auto_movex': False, 'auto_reward': False, 'diff_max': 0.8, 'diff_min': 0.7, 'r_shaping': ['step', 'oob', 'metabolic', 'found'], 'rewardx': 1.0, 'rescale': False, 'squash_action': True, 'walking': True, 'walk_move': 0.05, 'walk_turn': 3.14159, 'radiusx': 1.0, 'diffusion_min': 1.0, 'diffusion_max': 1.0, 'action_feedback': False, 'flipping': True, 'odor_scaling': True, 'obs_noise': 0.0, 'act_noise': 0.0, 'dynamic': False, 'seed': 14178, 'verbose': 0, '__class__': <class 'plume_env.PlumeEnvironment'>}
Squashing actions to 0-1
constantx5b5
wind: t_val_diff 0.03999999999999915 env_dt 0.04
puffs: t_val_diff 0.03999999999999915 env_dt 0.04
Reward Shaping ['step', 'oob', 'metabolic', 'found']
Using Precomputed Plume...
PlumeEnvironment: {'self': <plume_env.PlumeEnvironment object at 0x30e439940>, 't_val_min': 10.0, 'sim_steps_max': 2600, 'reset_offset_tmax': 30, 'dataset': 'constantx5b5', 'move_capacity': 2.0, 'turn_capacity': 19.634954084936208, 'wind_obsx': 1.0, 'movex': 1.0, 'turnx': 1.0, 'birthx': 2.6, 'birthx_max': 1.0, 'env_dt': 0.04, 'loc_algo': 'uniform', 'qvar': 0.4, 'time_algo': 'uniform', 'angle_algo': 'uniform', 'homed_radius': 0.2, 'stray_max': 2.0, 'wind_rel': True, 'auto_movex': False, 'auto_reward': False, 'diff_max': 0.8, 'diff_min': 0.7, 'r_shaping': ['step', 'oob', 'metabolic', 'found'], 'rewardx': 1.0, 'rescale': False, 'squash_action': True, 'walking': True, 'walk_move': 0.05, 'walk_turn': 3.14159, 'radiusx': 1.0, 'diffusion_min': 1.0, 'diffusion_max': 1.0, 'action_feedback': False, 'flipping': True, 'odor_scaling': True, 'obs_noise': 0.0, 'act_noise': 0.0, 'dynamic': False, 'seed': 14178, 'verbose': 0, '__class__': <class 'plume_env.PlumeEnvironment'>}
Squashing actions to 0-1
constantx5b5
wind: t_val_diff 0.03999999999999915 env_dt 0.04
puffs: t_val_diff 0.03999999999999915 env_dt 0.04
Reward Shaping ['step', 'oob', 'metabolic', 'found']
Using MLPBase
hidden_size 64
Using VanillaRNN
Saved ./trained_models/ExptWalking20250805//plume_walk-v9_20250805_VRNN_constantx5b5noisy3x5b5_stepoobmetabolicfound_bx2.63_t1000000100000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n1_walking_seed1417893.pt.start
Stage: 0/2 - constantx5b5 b2.6 q0.4 n1000000
Saved ./trained_models/ExptWalking20250805/plume_walk-v9_20250805_VRNN_constantx5b5noisy3x5b5_stepoobmetabolicfound_bx2.63_t1000000100000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n1_walking_seed1417893.pt
Update 0/488, T 2048, FPS 125, 15-training-episode: mean/median 4.6/-2.0, min/max -4.7/101.1
Update 1/488, T 4096, FPS 132, 39-training-episode: mean/median 4.1/-1.3, min/max -4.7/101.1
Update 2/488, T 6144, FPS 138, 50-training-episode: mean/median 12.1/-0.8, min/max -4.7/111.2
Update 3/488, T 8192, FPS 137, 50-training-episode: mean/median 12.5/-0.8, min/max -3.2/111.2
Update 4/488, T 10240, FPS 137, 50-training-episode: mean/median 4.0/-0.9, min/max -3.2/111.0
Update 5/488, T 12288, FPS 138, 50-training-episode: mean/median 7.6/-1.0, min/max -3.5/102.5
Update 6/488, T 14336, FPS 138, 50-training-episode: mean/median 11.4/-0.9, min/max -3.5/102.5
Update 7/488, T 16384, FPS 137, 50-training-episode: mean/median 15.7/-0.7, min/max -3.5/111.0
Update 8/488, T 18432, FPS 137, 50-training-episode: mean/median 9.4/-1.1, min/max -3.5/111.0
Update 9/488, T 20480, FPS 136, 50-training-episode: mean/median 3.4/-1.1, min/max -3.5/101.0
Update 10/488, T 22528, FPS 137, 50-training-episode: mean/median 11.9/-0.9, min/max -3.4/102.2
Update 11/488, T 24576, FPS 137, 50-training-episode: mean/median 13.8/-0.8, min/max -3.4/102.2
Update 12/488, T 26624, FPS 138, 50-training-episode: mean/median 13.9/-0.8, min/max -3.1/111.0
Update 13/488, T 28672, FPS 138, 50-training-episode: mean/median 10.2/-0.7, min/max -2.6/111.0
Update 14/488, T 30720, FPS 137, 50-training-episode: mean/median 12.4/-0.7, min/max -2.3/110.9
Update 15/488, T 32768, FPS 137, 50-training-episode: mean/median 11.8/-0.6, min/max -2.3/110.9
Update 16/488, T 34816, FPS 138, 50-training-episode: mean/median 17.9/-0.6, min/max -1.7/101.9
Update 17/488, T 36864, FPS 138, 50-training-episode: mean/median 18.0/-0.5, min/max -1.7/102.0
Update 18/488, T 38912, FPS 138, 50-training-episode: mean/median 22.3/-0.3, min/max -3.1/102.0
Update 19/488, T 40960, FPS 139, 50-training-episode: mean/median 26.4/-0.3, min/max -3.1/102.4
Update 20/488, T 43008, FPS 139, 50-training-episode: mean/median 14.1/-0.6, min/max -3.1/102.4
Update 21/488, T 45056, FPS 139, 50-training-episode: mean/median 18.3/-0.6, min/max -3.3/111.5
Update 22/488, T 47104, FPS 139, 50-training-episode: mean/median 16.0/-0.6, min/max -3.3/111.5
Update 23/488, T 49152, FPS 140, 50-training-episode: mean/median 20.0/-0.5, min/max -3.3/111.5
Update 24/488, T 51200, FPS 140, 50-training-episode: mean/median 20.2/-0.5, min/max -2.3/111.6
Update 25/488, T 53248, FPS 139, 50-training-episode: mean/median 20.2/-0.7, min/max -2.0/111.6
Update 26/488, T 55296, FPS 139, 50-training-episode: mean/median 34.2/-0.8, min/max -2.0/111.0
Update 27/488, T 57344, FPS 139, 50-training-episode: mean/median 42.4/0.0, min/max -2.0/102.4
Update 28/488, T 59392, FPS 139, 50-training-episode: mean/median 42.4/0.2, min/max -2.3/102.4
Update 29/488, T 61440, FPS 139, 50-training-episode: mean/median 46.4/0.1, min/max -2.3/102.5
Update 30/488, T 63488, FPS 139, 50-training-episode: mean/median 40.2/-0.2, min/max -3.6/102.5
Update 31/488, T 65536, FPS 139, 50-training-episode: mean/median 42.3/0.0, min/max -3.6/102.5
Update 32/488, T 67584, FPS 140, 50-training-episode: mean/median 44.3/-0.0, min/max -3.6/102.6
Update 33/488, T 69632, FPS 140, 50-training-episode: mean/median 48.6/0.5, min/max -3.6/111.0
Update 34/488, T 71680, FPS 141, 50-training-episode: mean/median 52.9/100.9, min/max -3.6/111.2
Update 35/488, T 73728, FPS 141, 50-training-episode: mean/median 51.2/54.9, min/max -1.6/111.2
Update 36/488, T 75776, FPS 141, 50-training-episode: mean/median 43.3/0.6, min/max -2.3/111.2
Update 37/488, T 77824, FPS 141, 50-training-episode: mean/median 41.0/0.0, min/max -2.3/111.2
Update 38/488, T 79872, FPS 141, 50-training-episode: mean/median 51.1/55.2, min/max -2.4/111.0
Update 39/488, T 81920, FPS 141, 50-training-episode: mean/median 58.9/101.0, min/max -2.4/111.0
Update 40/488, T 83968, FPS 141, 50-training-episode: mean/median 65.5/101.1, min/max -2.4/111.0
Update 41/488, T 86016, FPS 141, 50-training-episode: mean/median 65.7/101.3, min/max -2.1/111.0
Update 42/488, T 88064, FPS 141, 50-training-episode: mean/median 59.6/101.3, min/max -2.1/111.3
Update 43/488, T 90112, FPS 141, 50-training-episode: mean/median 51.2/54.9, min/max -2.1/111.3
Update 44/488, T 92160, FPS 141, 50-training-episode: mean/median 44.8/-0.4, min/max -2.1/111.3
Update 45/488, T 94208, FPS 141, 50-training-episode: mean/median 53.4/101.1, min/max -1.7/111.3
Update 46/488, T 96256, FPS 141, 50-training-episode: mean/median 53.3/101.0, min/max -1.7/111.1
Update 47/488, T 98304, FPS 141, 50-training-episode: mean/median 53.2/101.0, min/max -1.8/111.1
Update 48/488, T 100352, FPS 141, 50-training-episode: mean/median 52.8/101.0, min/max -1.8/111.1
Update 49/488, T 102400, FPS 141, 50-training-episode: mean/median 52.5/101.0, min/max -1.8/102.7
Update 50/488, T 104448, FPS 141, 50-training-episode: mean/median 55.0/101.1, min/max -1.8/110.8
Update 51/488, T 106496, FPS 141, 50-training-episode: mean/median 61.6/101.6, min/max -1.8/111.0
Update 52/488, T 108544, FPS 141, 50-training-episode: mean/median 61.5/101.5, min/max -2.3/111.0
Update 53/488, T 110592, FPS 141, 50-training-episode: mean/median 59.5/101.5, min/max -2.3/111.0
Update 54/488, T 112640, FPS 141, 50-training-episode: mean/median 46.6/0.3, min/max -2.3/111.0
Update 55/488, T 114688, FPS 141, 50-training-episode: mean/median 40.5/-0.4, min/max -2.3/102.7
Update 56/488, T 116736, FPS 141, 50-training-episode: mean/median 28.1/-0.6, min/max -2.1/102.7
Update 57/488, T 118784, FPS 141, 50-training-episode: mean/median 32.4/-0.6, min/max -2.1/111.0
Update 58/488, T 120832, FPS 141, 50-training-episode: mean/median 38.4/-0.4, min/max -2.0/111.0
Update 59/488, T 122880, FPS 141, 50-training-episode: mean/median 42.5/0.1, min/max -1.9/111.0
Update 60/488, T 124928, FPS 142, 50-training-episode: mean/median 52.8/101.2, min/max -1.9/111.0
Update 61/488, T 126976, FPS 142, 50-training-episode: mean/median 52.6/101.0, min/max -1.9/102.8
Update 62/488, T 129024, FPS 142, 50-training-episode: mean/median 48.7/4.8, min/max -1.9/102.8
Update 63/488, T 131072, FPS 142, 50-training-episode: mean/median 51.0/54.9, min/max -1.9/111.1
Update 64/488, T 133120, FPS 142, 50-training-episode: mean/median 51.0/54.9, min/max -1.9/111.1
