,idx,reward_sum,n_steps,reason
0,0,-7.348976932698861,42,OOB
1,1,1.00712346797809,38,OOB
2,2,-0.47473034262657166,2,OOB
3,3,-0.7376472353935242,5,OOB
4,4,-0.147199809551239,1,OOB
5,5,3.5352469456847757,59,OOB
6,6,-0.44779202714562416,6,OOB
7,7,1.3742818327154964,106,OOB
8,8,0.7083906644838862,24,OOB
9,9,-0.05130365118384361,1,OOB
10,10,3.6092759668827057,85,OOB
11,11,3.7098649702966213,104,OOB
12,12,0.2701777450274676,51,OOB
13,13,-0.48223523888736963,17,OOB
14,14,2.115115638822317,77,OOB
15,15,-0.21767357364296913,6,OOB
16,16,4.366744942264631,85,OOB
17,17,1.7077143413916929,87,OOB
18,18,3.107389330965816,98,OOB
19,19,6.236056121550064,160,OOB
20,20,1.32262762389837,161,OOB
21,21,-0.06073370948433876,2,OOB
22,22,2.957860390190035,129,OOB
23,23,-0.32921715690463316,58,OOB
24,24,3.47231319329876,186,OOB
25,25,6.198029581602896,238,OOB
26,26,0.5499394666403532,43,OOB
27,27,115.28686473755079,125,HOME
28,28,0.28814662093373045,221,OOB
29,29,0.33729332317830085,234,OOB
30,30,110.30682791688014,81,HOME
31,31,110.18758009269368,66,HOME
32,32,-0.013562018997617997,25,OOB
33,33,0.22357504186220467,178,OOB
34,34,-0.0004000427870778367,4,OOB
35,35,0.26233786465638786,215,OOB
36,36,110.28953983454267,116,HOME
37,37,0.02098799505210991,71,OOB
38,38,110.3434280283982,136,HOME
39,39,110.06476550496882,34,HOME
40,40,-0.0008030967437662184,1,OOB
41,41,0.15678282675798982,133,OOB
42,42,-0.0016378072323277593,2,OOB
43,43,0.0013005483197048306,3,OOB
44,44,110.04621047130786,59,HOME
45,45,0.12025276859640144,114,OOB
46,46,0.2326672890339978,155,OOB
47,47,0.03920273953826836,134,OOB
48,48,0.25205932322978697,234,OOB
49,49,110.30676996163982,160,HOME
50,50,110.1485994416289,71,HOME
51,51,0.008654751436552033,17,OOB
52,52,110.20578033964557,136,HOME
53,53,110.07067520800047,41,HOME
54,54,-0.01255186816706555,24,OOB
55,55,110.17892930785979,139,HOME
56,56,110.22689874308344,160,HOME
57,57,110.06243177263855,75,HOME
58,58,0.02311317838029936,28,OOB
59,59,0.060508515511173755,83,OOB
60,60,110.13381490456777,136,HOME
61,61,0.02964994148351252,61,OOB
62,62,-0.007183686248026788,6,OOB
63,63,0.15135467240470035,186,OOB
64,64,110.24556370381447,172,HOME
65,65,110.15337375125205,122,HOME
66,66,110.05874706170835,56,HOME
67,67,110.06980668650613,68,HOME
68,68,110.09952820290346,63,HOME
69,69,-0.003766924153751461,29,OOB
70,70,110.19057398429868,137,HOME
71,71,-0.00018007551261689514,1,OOB
72,72,0.00017076273798011243,1,OOB
73,73,110.12722005270825,118,HOME
74,74,110.08476610453994,77,HOME
75,75,110.15832968745235,125,HOME
76,76,0.016016551584471017,20,OOB
77,77,110.06582580896793,52,HOME
78,78,110.23217531077535,172,HOME
79,79,0.0006365424778778106,21,OOB
80,80,-0.000547184026800096,1,OOB
81,81,-0.004723694233689457,5,OOB
82,82,-0.0006146564846858382,1,OOB
83,83,0.17755902995122597,180,OOB
84,84,110.05605920543894,46,HOME
85,85,110.11618896453206,105,HOME
86,86,110.06778758004657,62,HOME
87,87,110.08009260537801,60,HOME
88,88,0.16744200029643252,179,OOB
89,89,0.07354142511030659,99,OOB
90,90,0.019269254436949268,65,OOB
91,91,0.01549835444211567,42,OOB
92,92,-0.03870328015182167,25,OOB
93,93,110.17848015908885,144,HOME
94,94,0.07545041991397738,68,OOB
95,95,0.04868439509300515,75,OOB
96,96,0.000587028858717531,1,OOB
97,97,-0.0015874274540692568,1,OOB
98,98,110.21904670494973,191,HOME
99,99,-0.00476914900355041,3,OOB
