,update,total_updates,T,FPS,window,mean,median,min,max
0,0,415,2048,117,22,22.792600772727273,-0.798109,-1.883613,102.015859
1,1,415,4096,118,41,22.27155468292683,-0.775839,-1.883613,111.493144
2,2,415,6144,120,50,22.24549358,-0.750864,-1.883613,111.493144
3,3,415,8192,120,50,11.920398360000002,-0.684163,-1.709655,111.493144
4,4,415,10240,121,50,22.311566619999997,-0.664349,-1.709655,111.147706
5,5,415,12288,122,50,28.51528228,-0.4275885,-1.754871,111.147706
6,6,415,14336,122,50,39.13319928,-0.0461005,-1.754871,111.352705
7,7,415,16384,122,50,36.89694254,-0.161896,-1.754871,111.352705
8,8,415,18432,122,50,31.01565386,-0.167959,-1.791508,111.352705
9,9,415,20480,121,50,22.44503748,-0.3355395,-1.791508,111.218151
10,10,415,22528,121,50,16.007433839999997,-0.3355395,-1.759396,102.113702
11,11,415,24576,121,50,21.88236832,-0.35351449999999995,-1.759396,102.15168
12,12,415,26624,121,50,25.934267879999997,-0.4342895,-1.690611,102.193261
13,13,415,28672,121,50,28.330716799999994,-0.4342895,-1.752078,102.193261
14,14,415,30720,121,50,22.557854699999996,-0.507149,-1.752078,102.175901
15,15,415,32768,121,50,18.95647768,-0.5390079999999999,-1.642613,111.184269
16,16,415,34816,121,50,14.2750201,-0.5811185000000001,-1.765935,111.184269
17,17,415,36864,121,50,11.522127880000001,-0.6615445,-1.770629,102.001241
18,18,415,38912,121,50,21.71730212,-0.5377784999999999,-1.965632,102.015793
19,19,415,40960,122,50,19.87243064,-0.5988694999999999,-1.965632,102.015793
20,20,415,43008,122,50,20.210374059999996,-0.48126100000000005,-1.769466,102.015793
21,21,415,45056,122,50,18.08603074,-0.621698,-1.964928,111.395835
22,22,415,47104,122,50,26.240805639999998,-0.47944600000000004,-1.964928,111.395835
23,23,415,49152,122,50,30.396735999999997,-0.320633,-1.865195,111.395835
24,24,415,51200,123,50,34.50367516,-0.153049,-1.865195,102.272682
25,25,415,53248,123,50,38.593495,-0.093005,-1.775556,111.214297
26,26,415,55296,123,50,30.8676127,-0.419595,-2.120428,111.214297
27,27,415,57344,123,50,26.623337639999995,-0.319035,-2.430298,110.899327
28,28,415,59392,123,50,24.37708928,-0.367675,-2.430298,102.161194
29,29,415,61440,123,50,22.19138328,-0.377694,-1.731926,102.214519
30,30,415,63488,123,50,26.330682040000003,-0.3698495,-1.731926,102.241467
31,31,415,65536,123,50,26.533343659999996,-0.30199299999999996,-1.992933,102.2431
32,32,415,67584,124,50,34.49226876,-0.30199299999999996,-1.992933,102.2431
33,33,415,69632,124,50,34.42633148,-0.3886625,-2.114444,111.592053
34,34,415,71680,124,50,26.849613960000003,-0.485378,-2.114444,111.592053
35,35,415,73728,124,50,10.672116840000003,-0.5993489999999999,-1.929257,111.363994
36,36,415,75776,123,50,12.07839334,-0.7608760000000001,-2.214441,111.363994
37,37,415,77824,123,50,15.886680940000003,-0.602013,-2.214441,102.173164
38,38,415,79872,124,50,24.13508664,-0.363049,-1.853416,111.332888
39,39,415,81920,123,50,18.27940432,-0.5849759999999999,-1.719308,111.332888
40,40,415,83968,123,50,14.22277542,-0.5759974999999999,-2.295767,111.332888
41,41,415,86016,123,50,16.116783820000002,-0.444793,-2.295767,111.241075
42,42,415,88064,123,50,20.086070520000003,-0.3434165,-1.626308,110.875749
43,43,415,90112,123,50,20.0667159,-0.3201175,-1.626308,110.875749
44,44,415,92160,123,50,16.17237216,-0.32372500000000004,-1.626308,110.875749
45,45,415,94208,123,50,8.12038786,-0.5410729999999999,-1.562335,101.492526
46,46,415,96256,123,50,4.440064320000001,-0.5722324999999999,-1.562335,101.492526
47,47,415,98304,123,50,6.238707420000001,-0.5742605000000001,-1.666364,101.548765
48,48,415,100352,124,50,3.82259588,-0.6110865,-1.699339,101.548765
49,49,415,102400,123,50,7.498233679999999,-0.62286,-1.699339,101.59515
50,50,415,104448,123,50,13.824606259999998,-0.5577225,-1.699339,110.710104
51,51,415,106496,123,50,17.86205222,-0.7047734999999999,-1.7187,110.710104
52,52,415,108544,124,50,15.642040820000002,-0.6363575,-1.7187,101.884588
53,53,415,110592,123,50,7.49589158,-0.564575,-1.7187,101.884588
54,54,415,112640,123,50,7.522336800000001,-0.4996575,-1.694887,101.68537
55,55,415,114688,123,50,7.8218263599999975,-0.5579609999999999,-1.7884,101.921432
56,56,415,116736,123,50,14.186899819999999,-0.5579609999999999,-1.7884,102.170161
57,57,415,118784,123,50,20.476609339999996,-0.5917215,-1.691437,111.316947
58,58,415,120832,123,50,24.39602542,-0.4736555,-1.78631,111.566565
59,59,415,122880,123,50,20.25674812,-0.41757500000000003,-1.78631,111.566565
60,60,415,124928,123,50,20.331380439999997,-0.3592185,-1.78631,111.566565
61,61,415,126976,123,50,18.040910240000002,-0.6330365,-1.713736,111.565922
62,62,415,129024,123,50,17.56756876,-0.740499,-1.598653,102.107832
63,63,415,131072,123,50,15.88391626,-0.8136764999999999,-1.6933,111.162202
64,64,415,133120,123,50,16.09042634,-0.6838275,-1.740533,111.162202
65,65,415,135168,123,50,14.13087112,-0.6078844999999999,-1.927767,102.055182
66,66,415,137216,123,50,16.22770802,-0.6352165,-1.927767,110.839821
67,67,415,139264,123,50,18.11900856,-0.638944,-1.724919,111.220312
68,68,415,141312,123,50,20.19113086,-0.44167049999999997,-1.73154,111.220312
69,69,415,143360,123,50,15.703015460000001,-0.535411,-1.740268,101.824836
70,70,415,145408,123,50,19.798230040000004,-0.461429,-1.740268,101.997209
71,71,415,147456,123,50,17.803581440000002,-0.6478295000000001,-1.740268,101.997209
72,72,415,149504,123,50,11.76192474,-0.8092945,-2.100919,110.888929
73,73,415,151552,123,50,17.805263000000004,-0.7641264999999999,-2.100919,110.888929
74,74,415,153600,123,50,23.799184119999996,-0.6674105,-2.100919,102.136127
75,75,415,155648,123,50,27.890532460000003,-0.561055,-1.775294,102.136127
76,76,415,157696,123,50,31.941223040000004,-0.503063,-1.775294,102.136127
77,77,415,159744,123,50,29.8877718,-0.579121,-1.727773,102.113956
78,78,415,161792,123,50,32.027845080000006,-0.405455,-1.727166,102.113956
79,79,415,163840,123,50,36.31242192,-0.25672,-1.727166,102.114603
80,80,415,165888,123,50,36.37577778,-0.2264,-1.714674,102.242466
81,81,415,167936,123,50,40.59261268000001,-0.3584435,-1.714674,111.428581
82,82,415,169984,123,50,36.95485498,-0.1417785,-1.714674,111.600508
83,83,415,172032,122,50,43.44893846,-0.078825,-1.610452,111.600508
84,84,415,174080,122,50,49.73928524,4.7411905,-1.555908,111.630153
85,85,415,176128,122,50,43.61730856,0.044329,-1.555908,111.630153
86,86,415,178176,122,50,38.86681756,-0.2896635,-1.804913,111.630153
87,87,415,180224,122,50,36.47544366,-0.4338095,-1.804913,111.149941
88,88,415,182272,122,50,44.46744838000001,-0.2228075,-1.804913,111.149941
89,89,415,184320,122,50,35.991087500000006,-0.650539,-1.824952,102.206496
90,90,415,186368,122,50,46.224056260000005,0.1342715,-1.824952,102.206496
91,91,415,188416,122,50,58.55025398,101.2311205,-1.824952,102.139566
92,92,415,190464,122,50,67.00275816,101.4474045,-1.866183,102.264361
93,93,415,192512,122,50,52.963269659999995,101.20136149999999,-1.866183,111.239984
94,94,415,194560,122,50,53.155015719999994,101.209853,-1.866183,111.239984
95,95,415,196608,122,50,57.07101247999999,101.294768,-1.842713,111.239984
96,96,415,198656,122,50,61.0028644,101.394213,-1.842713,111.210823
97,97,415,200704,122,50,57.28988778000001,101.24690749999999,-1.842713,102.249619
98,98,415,202752,122,50,51.40496752,55.1424065,-1.683293,111.899305
99,99,415,204800,122,50,45.51465344000001,8.675654999999999,-1.683293,111.899305
100,100,415,206848,122,50,47.22294934000001,4.413339,-1.327072,111.899305
101,101,415,208896,122,50,44.55607064,-0.2914395,-1.587443,111.03859
102,102,415,210944,122,50,38.167579,-0.624224,-2.536919,111.257745
103,103,415,212992,122,50,36.56925373999999,-0.6138545,-2.536919,111.257745
104,104,415,215040,122,50,42.90753508000001,-0.040691000000000005,-2.536919,111.257745
105,105,415,217088,122,50,44.722707600000014,-0.3378775,-1.920392,111.144433
106,106,415,219136,122,50,38.28803872,-0.331202,-1.791548,111.144433
107,107,415,221184,122,50,32.80516179999999,-0.2033345,-1.740247,111.711251
108,108,415,223232,122,50,36.73976705999999,-0.6237725000000001,-1.748843,111.711251
109,109,415,225280,122,50,36.38963572,-0.6237725000000001,-1.788588,102.189483
110,110,415,227328,122,50,40.55994782,-0.3260895,-1.788588,111.211065
111,111,415,229376,122,50,48.778268780000005,0.2352045,-1.66149,111.782368
112,112,415,231424,122,50,40.3804696,-0.34702,-1.683803,111.782368
113,113,415,233472,122,50,42.57503398,-0.240941,-1.683803,111.782368
114,114,415,235520,122,50,48.68633882,0.1238445,-2.072457,111.569588
115,115,415,237568,122,50,48.64685368000001,0.1238445,-2.072457,111.569588
116,116,415,239616,122,50,56.89519687999999,101.3370895,-1.796781,111.290531
117,117,415,241664,122,50,54.64038246,101.302693,-1.884367,111.290531
118,118,415,243712,122,50,52.409535340000005,101.26915650000001,-1.884367,102.232532
119,119,415,245760,122,50,44.460075399999994,0.34966600000000003,-1.884367,111.660959
120,120,415,247808,122,50,28.736549840000002,-0.6173109999999999,-1.752928,111.372666
121,121,415,249856,121,50,28.366320679999998,-0.831327,-1.752928,111.36947
