,update,total_updates,T,FPS,window,mean,median,min,max
0,0,73,2048,150,14,-0.47325349999999994,-1.0730275,-2.774832,9.526084
1,1,73,4096,143,37,1.8791520810810816,-0.926137,-2.839113,101.193037
2,2,73,6144,136,50,2.91074062,-0.9300595,-2.839113,101.193037
3,3,73,8192,139,50,5.1081271,-0.944817,-2.839113,101.701432
4,4,73,10240,141,50,7.600313520000001,-1.034279,-2.356349,101.701432
5,5,73,12288,141,50,15.83570394,-0.9316395,-2.356349,101.819027
6,6,73,14336,136,50,19.80189482,-0.8129185,-2.514598,101.967732
7,7,73,16384,135,50,20.287035160000002,-0.713381,-2.514598,111.211555
8,8,73,18432,135,50,12.019238960000001,-0.8755115,-1.909776,111.211555
9,9,73,20480,134,50,3.2929088799999993,-1.185299,-2.219605,100.921105
10,10,73,22528,134,50,1.41390878,-1.1910720000000001,-2.34784,100.921105
11,11,73,24576,134,50,-0.90644346,-1.2543405,-2.825665,9.3293
12,12,73,26624,135,50,1.3502782000000002,-1.243401,-2.825665,110.878036
13,13,73,28672,135,50,1.32493816,-1.243401,-2.685029,110.878036
14,14,73,30720,136,50,3.6454244399999993,-1.1765590000000001,-2.66925,110.878036
15,15,73,32768,136,50,5.450743899999999,-1.200612,-2.688006,101.409419
16,16,73,34816,136,50,9.70589202,-0.9058615,-2.688006,101.697635
17,17,73,36864,136,50,11.645725259999999,-0.8053984999999999,-2.688006,101.697635
18,18,73,38912,136,50,13.666183340000002,-0.8703335,-2.20162,111.11289
19,19,73,40960,136,50,15.355172099999999,-1.163017,-2.20162,111.11289
20,20,73,43008,137,50,13.247904619999996,-1.1819305,-2.399143,111.11289
21,21,73,45056,136,50,9.14787974,-1.0552315,-2.708854,101.407229
22,22,73,47104,137,50,9.38913938,-1.0435545,-2.708854,101.736005
23,23,73,49152,137,50,9.416080899999999,-1.0435545,-2.708854,101.736005
24,24,73,51200,138,50,11.47965266,-1.0435545,-2.708854,101.836619
25,25,73,53248,138,50,15.47681006,-1.1080485,-2.708854,101.836619
26,26,73,55296,137,50,15.292613660000002,-1.1545035000000001,-2.492011,101.836619
27,27,73,57344,137,50,15.478326319999999,-1.1447479999999999,-2.492011,101.836619
28,28,73,59392,137,50,15.477240420000001,-1.10988,-2.492011,101.354431
29,29,73,61440,138,50,21.617207779999998,-1.0347435,-2.492011,101.354431
30,30,73,63488,138,50,25.556218879999996,-0.988594,-2.140557,101.376074
31,31,73,65536,138,50,29.63809354,-0.927236,-2.140557,101.452514
32,32,73,67584,138,50,27.602729179999997,-0.927236,-2.140557,111.270847
33,33,73,69632,138,50,25.56594298,-0.9972215,-2.140557,111.270847
34,34,73,71680,138,50,25.993710979999996,-0.9912835,-1.805271,111.270847
35,35,73,73728,138,50,25.795878319999996,-0.9710075,-1.805271,110.662746
36,36,73,75776,138,50,19.617190119999997,-1.121761,-1.932716,110.662746
37,37,73,77824,138,50,13.117575839999999,-1.1552120000000001,-1.995345,101.592805
38,38,73,79872,138,50,15.63377346,-1.0527085,-1.995345,111.377602
39,39,73,81920,138,50,16.045074420000002,-1.0173835,-1.747602,111.377602
40,40,73,83968,138,50,19.98820722,-0.8473634999999999,-1.747602,102.015348
41,41,73,86016,138,50,26.095249439999996,-0.767396,-2.005034,101.661164
42,42,73,88064,138,50,30.207163620000006,-0.7390125000000001,-2.005034,101.661164
43,43,73,90112,138,50,21.583204679999998,-0.944768,-2.167874,101.659568
44,44,73,92160,138,50,21.78211452,-0.9716400000000001,-2.167874,110.960513
45,45,73,94208,137,50,23.77657194,-0.9716400000000001,-2.025879,110.960513
46,46,73,96256,138,50,34.08991644,-0.808011,-2.118646,110.960513
47,47,73,98304,137,50,35.98005734,-0.7812995,-2.134871,102.09959
48,48,73,100352,138,50,35.86668177999999,-0.7414465,-2.596782,102.09959
49,49,73,102400,138,50,39.991072499999994,-0.705067,-2.596782,102.150884
50,50,73,104448,138,50,46.20352792,-0.476096,-2.596782,102.150884
51,51,73,106496,138,50,46.18319984000001,-0.49300750000000004,-1.783568,102.150884
52,52,73,108544,137,50,34.67916676,-0.6670195,-2.089001,102.109785
53,53,73,110592,137,50,35.16458556,-0.710538,-2.089001,111.190094
54,54,73,112640,137,50,43.347573159999996,-0.5745365,-1.702883,111.516776
55,55,73,114688,137,50,35.28021828000001,-0.6087615,-1.591296,111.516776
56,56,73,116736,137,50,43.04794264,-0.44379599999999997,-1.629442,111.31112
57,57,73,118784,137,50,46.954565120000005,9.0405065,-1.684811,110.755862
58,58,73,120832,137,50,42.58597226,-0.7545625,-1.850285,111.100121
59,59,73,122880,137,50,38.2582988,-0.83343,-2.944078,111.100121
60,60,73,124928,137,50,40.15763838,-0.720078,-2.944078,111.100121
61,61,73,126976,138,50,44.12324313999999,-0.5993435,-2.611272,102.231039
62,62,73,129024,138,50,34.2188187,-0.74179,-1.760053,111.369251
63,63,73,131072,138,50,28.03299578,-0.975556,-1.760053,111.369251
64,64,73,133120,138,50,36.56885911999999,-0.6038490000000001,-1.756508,111.229873
65,65,73,135168,138,50,34.50210100000001,-0.6494495,-1.881232,111.229873
66,66,73,137216,138,50,38.615437,-0.3126825,-1.881232,111.165009
67,67,73,139264,138,50,43.129942379999996,-0.1969915,-1.637491,111.351831
68,68,73,141312,138,50,45.20071383999999,-0.189108,-1.726958,111.351831
69,69,73,143360,138,50,47.03341382000001,-0.36425399999999997,-1.726958,111.51364
70,70,73,145408,138,50,40.52719478,-0.693117,-1.669804,111.51364
71,71,73,147456,138,50,40.3013889,-0.672936,-1.833717,102.233112
72,72,73,149504,138,50,42.55999138,-0.436954,-1.833717,111.504648
73,0,48,2048,95,50,13.90101594,-0.948903,-1.767146,111.235313
74,1,48,4096,97,50,5.15288952,-1.1584055,-1.937602,101.223106
75,2,48,6144,93,50,3.279001819999999,-1.206105,-1.929414,111.040902
76,3,48,8192,91,50,5.542957300000001,-0.9089799999999999,-1.83399,111.517561
77,4,48,10240,90,50,5.17386204,-1.1429844999999998,-1.850058,101.316742
78,5,48,12288,91,50,7.30374106,-1.063417,-1.927766,111.340309
79,6,48,14336,91,50,3.0448784399999997,-1.003403,-1.852352,101.796817
80,7,48,16384,92,50,9.784916479999998,-0.9807555,-2.02722,111.29707
81,8,48,18432,91,50,5.26541384,-1.0096595,-2.177032,101.786394
82,9,48,20480,90,50,13.648246760000001,-0.962584,-1.861714,111.441579
83,10,48,22528,91,50,3.2105149799999997,-1.021377,-1.943264,101.464552
84,11,48,24576,91,50,7.8389985,-1.0834705,-1.924419,111.135061
85,12,48,26624,92,50,5.537956739999998,-0.9876735000000001,-1.789977,111.554918
86,13,48,28672,91,50,9.5140432,-0.9918825,-1.854842,101.522458
87,14,48,30720,91,50,-1.19448532,-1.1930125,-1.959695,-0.470381
88,15,48,32768,91,50,7.146999060000001,-0.9415290000000001,-1.847771,101.402354
89,16,48,34816,91,50,7.259139239999999,-1.0805975,-1.937172,111.407256
90,17,48,36864,92,50,3.3751254399999993,-1.1499065,-1.947101,111.076756
91,18,48,38912,92,50,11.357275240000002,-1.081721,-1.830498,111.198103
92,19,48,40960,93,50,11.439684940000001,-0.936609,-1.870317,111.279653
93,20,48,43008,94,50,9.384897999999998,-0.8947275,-2.245579,101.594246
94,21,48,45056,94,50,11.530535040000002,-0.784904,-1.807126,111.256011
95,22,48,47104,94,50,-0.8316175600000001,-1.068656,-1.806291,9.621344
96,23,48,49152,95,50,7.493210759999999,-1.1226045,-1.898937,101.535198
97,24,48,51200,95,50,11.570237520000001,-1.03724,-1.875597,111.384614
98,25,48,53248,95,50,9.156905619999998,-1.0925855,-1.851399,101.973278
99,26,48,55296,95,50,9.605184540000002,-0.9924550000000001,-2.085404,111.403824
100,27,48,57344,95,50,9.320203,-1.087182,-1.918365,111.265662
101,28,48,59392,95,50,5.633654,-1.036239,-1.812899,111.331555
102,29,48,61440,95,50,11.20242876,-0.9958345,-1.833732,101.556427
103,30,48,63488,96,50,9.68240174,-1.1084215,-1.919507,110.971717
104,31,48,65536,96,50,9.271585719999997,-1.1535365,-1.89773,111.228088
105,32,48,67584,96,50,7.4356118,-0.8549725,-1.954352,101.562524
106,33,48,69632,96,50,8.002499160000003,-0.8675065,-1.744081,111.46841
107,34,48,71680,96,50,3.1592805399999997,-1.1278435,-1.88365,101.868165
108,35,48,73728,97,50,3.3814748199999993,-1.110422,-1.834053,101.663783
109,36,48,75776,97,50,22.069215540000002,-0.9013089999999999,-1.893281,111.524664
110,37,48,77824,97,50,7.21809574,-1.1715605,-1.993256,101.372662
111,38,48,79872,97,50,3.61263342,-0.9905405,-1.922755,101.442654
112,39,48,81920,97,50,9.5347555,-1.0421865000000001,-1.84566,110.98615
113,40,48,83968,97,50,7.363836959999999,-1.260287,-1.879086,111.418695
114,41,48,86016,97,50,3.2617565200000005,-0.9744415,-1.813104,101.772121
115,42,48,88064,97,50,5.424894919999999,-1.173054,-1.862515,101.734028
116,43,48,90112,97,50,7.29134034,-1.0644345,-1.842125,101.585548
117,44,48,92160,97,50,3.1337244799999997,-1.229647,-1.752656,101.71037
118,45,48,94208,97,50,1.4703429000000003,-0.906007,-1.849777,101.582298
119,46,48,96256,97,50,7.36639358,-1.2163905,-2.09194,111.242061
120,47,48,98304,97,50,5.3753614,-1.155664,-1.88844,111.157321
