,update,total_updates,T,FPS,window,mean,median,min,max
0,0,488,2048,121,28,-1.3681298571428573,-1.283955,-2.633227,-0.274959
1,1,488,4096,133,40,1.1544431000000004,-1.19707,-4.48429,101.092279
2,2,488,6144,130,50,0.6828258600000001,-1.2069795,-4.48429,101.092279
3,3,488,8192,130,50,0.7660396000000005,-1.0219495,-4.48429,101.092279
4,4,488,10240,125,50,0.8740414600000002,-1.014687,-3.08575,101.561396
5,5,488,12288,124,50,5.11258484,-0.9001025,-3.08575,101.58709
6,6,488,14336,125,50,17.4824363,-0.8544605000000001,-2.682819,102.144068
7,7,488,16384,126,50,23.647126940000003,-0.67843,-3.042822,102.144068
8,8,488,18432,127,50,21.61062582,-0.5753604999999999,-3.214048,102.144068
9,9,488,20480,126,50,19.62514204,-0.6343650000000001,-3.214048,102.27314
10,10,488,22528,124,50,19.51877702,-0.7271295,-3.214048,102.27314
11,11,488,24576,124,50,29.790945640000004,-0.7574305,-2.345249,102.27314
12,12,488,26624,124,50,31.867126740000007,-0.7541519999999999,-2.118877,102.194453
13,13,488,28672,124,50,36.012162,-0.6659005,-1.639644,102.292251
14,14,488,30720,124,50,38.03557158,-0.33523000000000003,-1.865182,102.292251
15,15,488,32768,124,50,42.16861524000001,-0.1133435,-1.865182,102.285864
16,16,488,34816,124,50,40.056446220000005,-0.555354,-1.865182,102.285864
17,17,488,36864,124,50,42.10343911999999,-0.65673,-1.863501,102.257958
18,18,488,38912,124,50,38.15618688,-0.3181855,-2.085562,102.257958
19,19,488,40960,124,50,27.895588580000002,-0.604735,-2.085562,102.244416
20,20,488,43008,124,50,34.096142240000006,-0.40567200000000003,-1.64081,102.280015
21,21,488,45056,124,50,46.26314109999999,-0.096089,-1.705353,102.280015
22,22,488,47104,124,50,40.064683959999996,-0.3878735,-1.705353,102.174943
23,23,488,49152,123,50,38.112434179999994,-0.3670405,-1.933451,102.112769
24,24,488,51200,124,50,50.38724768,50.669314,-1.933451,102.271508
25,25,488,53248,124,50,54.55554228,101.263239,-1.933451,102.271508
26,26,488,55296,124,50,56.586769759999996,101.263239,-1.645841,102.254418
27,27,488,57344,124,50,50.44740042,50.6092415,-1.645841,102.296383
28,28,488,59392,124,50,44.352303140000004,-0.106896,-1.645841,102.296383
29,29,488,61440,124,50,42.318272040000004,-0.183682,-1.768609,102.297591
30,30,488,63488,124,50,40.15088988,-0.282651,-1.768609,102.297591
31,31,488,65536,124,50,32.01725448,-0.349312,-1.493965,102.244122
