,update,total_updates,T,FPS,window,mean,median,min,max
0,0,280,2048,122,22,-1.1258684545454547,-1.677693,-2.988409,8.870466
1,1,280,4096,115,48,3.4934767291666673,-1.256151,-3.049787,101.538629
2,2,280,6144,114,50,3.415297920000001,-1.0719,-3.049787,101.538629
3,3,280,8192,114,50,1.2051168600000002,-1.0733945,-3.049787,100.742749
4,4,280,10240,114,50,5.503625560000001,-1.0733945,-2.378037,101.633104
5,5,280,12288,113,50,7.370800020000001,-1.2679719999999999,-2.210013,101.903335
6,6,280,14336,115,50,3.3818816,-1.1134715,-2.026518,110.906158
7,7,280,16384,118,50,4.04380352,-0.893026,-2.059516,111.238546
8,8,280,18432,120,50,5.67034664,-1.045431,-2.059516,111.238546
9,9,280,20480,122,50,7.444124119999999,-1.1225005000000001,-2.332646,111.098416
10,10,280,22528,124,50,7.81063138,-1.1601755,-2.355195,111.119165
11,11,280,24576,125,50,9.51093996,-1.1232950000000002,-2.355195,111.119165
12,12,280,26624,126,50,9.568726519999998,-1.012547,-2.23328,101.677559
13,13,280,28672,127,50,11.57940064,-0.916797,-2.248904,101.7408
14,14,280,30720,127,50,7.4538717,-1.0334485,-2.248904,101.7408
15,15,280,32768,128,50,11.559432039999999,-1.0666229999999999,-2.087841,102.184177
16,16,280,34816,129,50,13.463885520000002,-0.8704375,-2.087841,111.048434
17,17,280,36864,129,50,17.677344259999995,-0.8182335000000001,-2.087841,111.048434
18,18,280,38912,130,50,11.611926680000002,-0.8458509999999999,-1.803036,111.607168
19,19,280,40960,130,50,15.688717060000002,-0.7431425,-2.388689,111.607168
20,20,280,43008,131,50,21.64882344,-0.716569,-2.388689,102.295294
21,21,280,45056,131,50,25.7965389,-0.6714055,-2.388689,102.295294
22,22,280,47104,132,50,28.252607060000006,-0.6064395,-1.784989,111.09192
23,23,280,49152,132,50,36.517558740000005,-0.2088655,-1.577368,111.09192
24,24,280,51200,132,50,36.8501811,-0.310388,-1.761306,111.609496
25,25,280,53248,133,50,30.289082900000004,-0.8578844999999999,-2.55218,111.609496
26,26,280,55296,133,50,32.4383245,-0.8181425,-2.55218,111.250981
27,27,280,57344,133,50,28.440025399999996,-0.8598505000000001,-2.196559,111.250981
28,28,280,59392,133,50,36.95568668,-0.440438,-2.196559,111.20402
29,29,280,61440,134,50,36.55754072,-0.6311405,-1.753372,111.20402
30,30,280,63488,134,50,28.119740960000005,-0.7047,-1.753372,111.20402
31,31,280,65536,134,50,32.265777199999995,-0.588401,-1.745332,110.998501
32,32,280,67584,134,50,30.43767382,-0.653482,-1.745332,110.667279
33,33,280,69632,134,50,24.50023188,-0.6665045,-1.987146,111.319838
34,34,280,71680,134,50,28.687960759999996,-0.4339305,-1.987146,111.380565
35,35,280,73728,135,50,24.216015759999994,-0.4267075,-1.987146,111.380565
36,36,280,75776,135,50,22.25309804,-0.383156,-1.892741,111.578635
37,37,280,77824,135,50,21.95963064,-0.6349545,-1.744497,111.578635
38,38,280,79872,135,50,21.742703740000003,-0.677048,-1.744497,102.244972
39,39,280,81920,135,50,24.22398068,-0.650162,-1.71645,111.265545
40,40,280,83968,135,50,32.60869552,-0.154399,-2.182503,111.265545
41,41,280,86016,135,50,41.17748898,-0.029593,-2.182503,111.636966
42,42,280,88064,135,50,41.35749516,0.0996345,-2.182503,111.636966
43,43,280,90112,136,50,34.52000622,-0.2556865,-1.866158,111.022426
44,44,280,92160,136,50,36.065865620000004,-0.323422,-1.795159,102.260658
45,45,280,94208,136,50,42.2054744,-0.1841725,-1.795159,102.372823
46,46,280,96256,136,50,48.524854080000004,4.5072935,-1.795159,102.372823
47,47,280,98304,136,50,38.634312,-0.1079,-1.614247,110.831933
48,48,280,100352,136,50,34.4472345,-0.6298195,-1.675741,111.423835
49,49,280,102400,136,50,36.85448876,-0.10055350000000002,-1.675741,111.423835
50,50,280,104448,136,50,34.730558880000004,0.115314,-1.644686,111.353483
51,51,280,106496,136,50,37.17624382000001,0.1227395,-1.659525,111.603439
52,52,280,108544,136,50,36.822303579999996,-0.4912795,-1.919154,111.603439
53,53,280,110592,136,50,40.90982324,-0.2124125,-1.919154,111.603439
54,54,280,112640,136,50,54.89879496,101.1106105,-1.919154,111.142753
55,55,280,114688,136,50,55.20662116,101.3078285,-1.735382,111.142753
