,update,total_updates,T,FPS,window,mean,median,min,max
0,0,280,2048,117,21,9.971306142857141,-0.989817,-2.177897,101.684223
1,1,280,4096,116,50,2.5729956000000005,-0.9512065000000001,-2.621741,101.684223
2,2,280,6144,115,50,2.2501328,-0.9478515000000001,-2.621741,101.977454
3,3,280,8192,114,50,1.6497164599999998,-1.0270625,-3.626716,101.977454
4,4,280,10240,117,50,1.5888521000000002,-1.0270625,-5.467665,101.977454
5,5,280,12288,119,50,3.3328000199999996,-1.0255985,-5.467665,101.622653
6,6,280,14336,119,50,3.6756556799999998,-1.0770944999999998,-4.586156,101.622653
7,7,280,16384,120,50,3.8166072399999997,-0.9408084999999999,-2.912156,101.703223
8,8,280,18432,121,50,5.84978902,-0.9204515,-2.48798,101.703223
9,9,280,20480,122,50,13.612124659999997,-1.007193,-2.48798,101.847593
10,10,280,22528,123,50,23.9656897,-0.7260885,-2.48798,111.207198
11,11,280,24576,124,50,32.043808320000004,-0.710933,-1.917743,111.207198
12,12,280,26624,125,50,36.64071808,-0.6092995,-1.885261,111.314276
13,13,280,28672,126,50,38.87997538,-0.5618084999999999,-1.885261,111.314276
14,14,280,30720,126,50,45.14613182,4.2639365,-1.885261,111.314276
15,15,280,32768,126,50,42.85285512,-0.452373,-1.748748,111.17629
16,16,280,34816,126,50,42.454240520000006,-0.43465600000000004,-1.748748,102.131183
17,17,280,36864,127,50,44.53085484,-0.237883,-1.804512,102.132546
18,18,280,38912,127,50,48.67874708,4.4614139999999995,-1.804512,111.101995
19,19,280,40960,127,50,46.68808218,0.14924500000000002,-1.804512,111.101995
20,20,280,43008,127,50,44.42334644,-0.33761850000000004,-1.692656,111.101995
21,21,280,45056,127,50,36.07645694,-0.534988,-1.692656,102.262983
22,22,280,47104,127,50,34.02119482,-0.6202125,-1.661003,102.172486
23,23,280,49152,127,50,32.05249734,-0.44898000000000005,-1.658488,102.119642
24,24,280,51200,128,50,42.2771456,0.22889350000000003,-1.879321,102.119642
25,25,280,53248,128,50,34.31671386,-0.333536,-1.879321,111.818512
26,26,280,55296,128,50,28.332222359999996,-0.37156,-2.098527,111.818512
27,27,280,57344,128,50,34.50972598,-0.27064,-2.098527,111.818512
28,28,280,59392,128,50,36.621804960000006,0.1073005,-2.098527,111.190254
29,29,280,61440,128,50,34.77304822,0.2323745,-1.480171,102.332621
30,30,280,63488,128,50,30.41094626,-0.0408235,-1.631301,102.332621
31,31,280,65536,128,50,24.14240922,-0.5820225,-1.736958,102.193065
32,32,280,67584,128,50,34.64063015999999,0.0813485,-1.736958,102.190961
33,33,280,69632,128,50,32.81232748,0.0813485,-1.624221,102.295054
34,34,280,71680,128,50,30.8168653,-0.12890549999999998,-1.834148,102.295054
35,35,280,73728,128,50,37.020924359999995,-0.278858,-1.834148,111.270029
36,36,280,75776,128,50,29.000535920000008,-0.620723,-1.729451,111.270029
37,37,280,77824,128,50,26.444176000000002,-0.5189815,-1.707673,111.500764
38,38,280,79872,128,50,18.2907652,-0.6067695,-1.817773,111.500764
39,39,280,81920,128,50,20.94937238,-0.378598,-1.817773,111.500764
