CUDA: False
Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.005, value_loss_coef=0.5, max_grad_norm=0.5, seed=30128, cuda_deterministic=False, num_processes=1, num_steps=2048, ppo_epoch=10, num_mini_batch=1, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/Walking20250807/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.00012, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[1000000, 10000], qvar=[0.4, 0.5], birthx=[2.7, 2.0], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='Walk-v17_20250807_VRNN_constantx5b5noisy3x5b5_stepoob_bx2.72_t100000010000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n1_walking_seed3012894', walking=True, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
PPO Args ---> Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.005, value_loss_coef=0.5, max_grad_norm=0.5, seed=30128, cuda_deterministic=False, num_processes=1, num_steps=2048, ppo_epoch=10, num_mini_batch=1, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/Walking20250807/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.00012, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[1000000, 10000], qvar=[0.4, 0.5], birthx=[2.7, 2.0], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='Walk-v17_20250807_VRNN_constantx5b5noisy3x5b5_stepoob_bx2.72_t100000010000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n1_walking_seed3012894', walking=True, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
Using Precomputed Plume...
PlumeEnvironment: {'self': <plume_env.PlumeEnvironment object at 0x179b613a0>, 't_val_min': 10.0, 'sim_steps_max': 1000, 'reset_offset_tmax': 30, 'dataset': 'constantx5b5', 'move_capacity': 2.0, 'turn_capacity': 19.634954084936208, 'wind_obsx': 1.0, 'movex': 1.0, 'turnx': 1.0, 'birthx': 2.7, 'birthx_max': 1.0, 'env_dt': 0.04, 'loc_algo': 'uniform', 'qvar': 0.4, 'time_algo': 'uniform', 'angle_algo': 'uniform', 'homed_radius': 0.2, 'stray_max': 2.0, 'wind_rel': True, 'auto_movex': False, 'auto_reward': False, 'diff_max': 0.8, 'diff_min': 0.7, 'r_shaping': ['step', 'oob'], 'rewardx': 1.0, 'rescale': False, 'squash_action': True, 'walking': True, 'walk_move': 0.05, 'walk_turn': 3.14159, 'radiusx': 1.0, 'diffusion_min': 1.0, 'diffusion_max': 1.0, 'action_feedback': False, 'flipping': True, 'odor_scaling': True, 'obs_noise': 0.0, 'act_noise': 0.0, 'dynamic': False, 'seed': 30128, 'verbose': 0, '__class__': <class 'plume_env.PlumeEnvironment'>}
Squashing actions to 0-1
constantx5b5
wind: t_val_diff 0.03999999999999915 env_dt 0.04
puffs: t_val_diff 0.03999999999999915 env_dt 0.04
Reward Shaping ['step', 'oob']
Using Precomputed Plume...
PlumeEnvironment: {'self': <plume_env.PlumeEnvironment object at 0x179b5c5b0>, 't_val_min': 10.0, 'sim_steps_max': 1000, 'reset_offset_tmax': 30, 'dataset': 'constantx5b5', 'move_capacity': 2.0, 'turn_capacity': 19.634954084936208, 'wind_obsx': 1.0, 'movex': 1.0, 'turnx': 1.0, 'birthx': 2.7, 'birthx_max': 1.0, 'env_dt': 0.04, 'loc_algo': 'uniform', 'qvar': 0.4, 'time_algo': 'uniform', 'angle_algo': 'uniform', 'homed_radius': 0.2, 'stray_max': 2.0, 'wind_rel': True, 'auto_movex': False, 'auto_reward': False, 'diff_max': 0.8, 'diff_min': 0.7, 'r_shaping': ['step', 'oob'], 'rewardx': 1.0, 'rescale': False, 'squash_action': True, 'walking': True, 'walk_move': 0.05, 'walk_turn': 3.14159, 'radiusx': 1.0, 'diffusion_min': 1.0, 'diffusion_max': 1.0, 'action_feedback': False, 'flipping': True, 'odor_scaling': True, 'obs_noise': 0.0, 'act_noise': 0.0, 'dynamic': False, 'seed': 30128, 'verbose': 0, '__class__': <class 'plume_env.PlumeEnvironment'>}
Squashing actions to 0-1
constantx5b5
wind: t_val_diff 0.03999999999999915 env_dt 0.04
puffs: t_val_diff 0.03999999999999915 env_dt 0.04
Reward Shaping ['step', 'oob']
Using MLPBase
hidden_size 64
Using VanillaRNN
Saved ./trained_models/Walking20250807//plume_Walk-v17_20250807_VRNN_constantx5b5noisy3x5b5_stepoob_bx2.72_t100000010000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n1_walking_seed3012894.pt.start
Stage: 0/2 - constantx5b5 b2.7 q0.4 n1000000
Saved ./trained_models/Walking20250807/plume_Walk-v17_20250807_VRNN_constantx5b5noisy3x5b5_stepoob_bx2.72_t100000010000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n1_walking_seed3012894.pt
Update 0/488, T 2048, FPS 134, 30-training-episode: mean/median -1.3/-1.2, min/max -2.8/-0.5
Update 1/488, T 4096, FPS 140, 50-training-episode: mean/median -1.4/-1.2, min/max -3.8/-0.4
Update 2/488, T 6144, FPS 141, 50-training-episode: mean/median -1.5/-1.3, min/max -3.8/-0.4
Update 3/488, T 8192, FPS 141, 50-training-episode: mean/median -1.3/-1.3, min/max -3.4/0.1
Update 4/488, T 10240, FPS 141, 50-training-episode: mean/median -1.2/-1.2, min/max -2.6/0.1
Update 5/488, T 12288, FPS 142, 50-training-episode: mean/median -1.1/-1.1, min/max -2.3/0.3
Update 6/488, T 14336, FPS 140, 50-training-episode: mean/median 0.9/-1.0, min/max -3.6/101.6
Update 7/488, T 16384, FPS 139, 50-training-episode: mean/median 5.0/-1.0, min/max -3.6/101.9
Update 8/488, T 18432, FPS 140, 50-training-episode: mean/median 3.1/-0.9, min/max -1.7/101.9
Update 9/488, T 20480, FPS 140, 50-training-episode: mean/median 9.3/-0.8, min/max -1.7/102.2
Update 10/488, T 22528, FPS 140, 50-training-episode: mean/median 7.2/-0.9, min/max -2.4/102.2
Update 11/488, T 24576, FPS 141, 50-training-episode: mean/median 17.4/-0.9, min/max -2.4/102.2
Update 12/488, T 26624, FPS 141, 50-training-episode: mean/median 23.6/-0.8, min/max -2.4/102.2
Update 13/488, T 28672, FPS 142, 50-training-episode: mean/median 23.7/-0.7, min/max -2.0/102.0
Update 14/488, T 30720, FPS 142, 50-training-episode: mean/median 25.8/-0.5, min/max -2.6/102.0
Update 15/488, T 32768, FPS 142, 50-training-episode: mean/median 23.7/-0.6, min/max -2.6/102.0
Update 16/488, T 34816, FPS 142, 50-training-episode: mean/median 17.6/-0.7, min/max -2.6/101.9
Update 17/488, T 36864, FPS 142, 50-training-episode: mean/median 17.5/-0.8, min/max -1.9/102.1
Update 18/488, T 38912, FPS 142, 50-training-episode: mean/median 29.8/-0.8, min/max -2.0/102.1
Update 19/488, T 40960, FPS 142, 50-training-episode: mean/median 35.9/-0.8, min/max -2.0/102.1
Update 20/488, T 43008, FPS 142, 50-training-episode: mean/median 35.9/-0.8, min/max -2.0/102.2
Update 21/488, T 45056, FPS 142, 50-training-episode: mean/median 48.3/-0.2, min/max -1.6/102.2
Update 22/488, T 47104, FPS 142, 50-training-episode: mean/median 44.2/-0.4, min/max -1.7/102.2
Update 23/488, T 49152, FPS 142, 50-training-episode: mean/median 54.4/101.0, min/max -1.8/102.2
Update 24/488, T 51200, FPS 142, 50-training-episode: mean/median 50.2/50.2, min/max -2.2/102.2
Update 25/488, T 53248, FPS 141, 50-training-episode: mean/median 46.1/-0.6, min/max -2.2/102.1
Update 26/488, T 55296, FPS 141, 50-training-episode: mean/median 48.2/-0.5, min/max -1.7/102.1
Update 27/488, T 57344, FPS 141, 50-training-episode: mean/median 48.3/-0.3, min/max -1.6/102.1
Update 28/488, T 59392, FPS 141, 50-training-episode: mean/median 60.6/101.3, min/max -1.5/102.3
Update 29/488, T 61440, FPS 141, 50-training-episode: mean/median 56.5/101.2, min/max -1.6/102.3
Update 30/488, T 63488, FPS 141, 50-training-episode: mean/median 56.5/101.3, min/max -1.6/102.3
Update 31/488, T 65536, FPS 141, 50-training-episode: mean/median 58.5/101.1, min/max -1.6/102.2
Update 32/488, T 67584, FPS 141, 50-training-episode: mean/median 60.5/101.1, min/max -1.8/102.2
Update 33/488, T 69632, FPS 140, 50-training-episode: mean/median 46.2/-0.5, min/max -1.8/102.1
Update 34/488, T 71680, FPS 140, 50-training-episode: mean/median 48.3/-0.3, min/max -1.6/102.3
Update 35/488, T 73728, FPS 140, 50-training-episode: mean/median 54.4/101.3, min/max -1.6/102.3
Update 36/488, T 75776, FPS 140, 50-training-episode: mean/median 56.4/101.1, min/max -1.6/102.3
Update 37/488, T 77824, FPS 140, 50-training-episode: mean/median 62.6/101.3, min/max -1.7/102.3
Update 38/488, T 79872, FPS 141, 50-training-episode: mean/median 60.5/101.2, min/max -1.7/102.3
Update 39/488, T 81920, FPS 141, 50-training-episode: mean/median 62.6/101.3, min/max -1.7/102.3
Update 40/488, T 83968, FPS 141, 50-training-episode: mean/median 54.3/101.0, min/max -1.7/102.1
Update 41/488, T 86016, FPS 141, 50-training-episode: mean/median 54.4/101.1, min/max -1.9/102.2
Update 42/488, T 88064, FPS 142, 50-training-episode: mean/median 56.4/101.2, min/max -1.9/102.2
Update 43/488, T 90112, FPS 142, 50-training-episode: mean/median 54.3/101.2, min/max -1.9/102.3
Update 44/488, T 92160, FPS 142, 50-training-episode: mean/median 62.6/101.4, min/max -1.8/102.3
Update 45/488, T 94208, FPS 142, 50-training-episode: mean/median 56.4/101.2, min/max -1.8/102.3
Update 46/488, T 96256, FPS 142, 50-training-episode: mean/median 56.4/101.2, min/max -1.6/102.1
Update 47/488, T 98304, FPS 142, 50-training-episode: mean/median 56.5/101.2, min/max -1.8/102.0
Update 48/488, T 100352, FPS 142, 50-training-episode: mean/median 50.3/50.0, min/max -1.8/102.1
Update 49/488, T 102400, FPS 143, 50-training-episode: mean/median 52.2/100.4, min/max -1.7/102.1
Update 50/488, T 104448, FPS 143, 50-training-episode: mean/median 42.0/-0.7, min/max -1.7/101.9
Update 51/488, T 106496, FPS 143, 50-training-episode: mean/median 40.1/-0.6, min/max -1.7/102.0
Update 52/488, T 108544, FPS 143, 50-training-episode: mean/median 50.3/50.3, min/max -1.6/102.0
Update 53/488, T 110592, FPS 143, 50-training-episode: mean/median 48.2/-0.3, min/max -1.6/102.1
Update 54/488, T 112640, FPS 143, 50-training-episode: mean/median 40.0/-0.7, min/max -1.7/102.2
Update 55/488, T 114688, FPS 143, 50-training-episode: mean/median 33.8/-0.8, min/max -1.8/102.1
Update 56/488, T 116736, FPS 144, 50-training-episode: mean/median 42.0/-0.7, min/max -1.8/102.1
Update 57/488, T 118784, FPS 144, 50-training-episode: mean/median 50.2/50.2, min/max -1.8/102.2
Update 58/488, T 120832, FPS 144, 50-training-episode: mean/median 56.4/101.1, min/max -1.8/102.2
Update 59/488, T 122880, FPS 144, 50-training-episode: mean/median 42.1/-0.7, min/max -1.7/102.3
Update 60/488, T 124928, FPS 144, 50-training-episode: mean/median 48.2/-0.6, min/max -1.8/102.3
Update 61/488, T 126976, FPS 144, 50-training-episode: mean/median 62.6/101.3, min/max -1.8/102.3
Update 62/488, T 129024, FPS 144, 50-training-episode: mean/median 50.3/50.5, min/max -1.7/102.2
Update 63/488, T 131072, FPS 144, 50-training-episode: mean/median 44.1/-0.7, min/max -1.8/102.3
Update 64/488, T 133120, FPS 144, 50-training-episode: mean/median 54.4/101.3, min/max -1.8/102.3
Update 65/488, T 135168, FPS 145, 50-training-episode: mean/median 54.5/101.3, min/max -1.8/102.3
Update 66/488, T 137216, FPS 145, 50-training-episode: mean/median 46.2/-0.2, min/max -1.7/102.2
Update 67/488, T 139264, FPS 145, 50-training-episode: mean/median 48.3/-0.1, min/max -1.7/102.2
Update 68/488, T 141312, FPS 145, 50-training-episode: mean/median 46.3/-0.4, min/max -1.7/102.2
Update 69/488, T 143360, FPS 145, 50-training-episode: mean/median 48.3/-0.1, min/max -1.7/102.1
Update 70/488, T 145408, FPS 145, 50-training-episode: mean/median 48.3/-0.4, min/max -1.6/102.3
