,update,total_updates,T,FPS,window,mean,median,min,max
0,0,488,2048,134,30,-1.3076103666666665,-1.213861,-2.846108,-0.496974
1,1,488,4096,140,50,-1.35544938,-1.213861,-3.847834,-0.357229
2,2,488,6144,141,50,-1.4775314199999996,-1.3195295,-3.847834,-0.357229
3,3,488,8192,141,50,-1.33061278,-1.330434,-3.369052,0.069533
4,4,488,10240,141,50,-1.1619599,-1.1860335,-2.623466,0.069533
5,5,488,12288,142,50,-1.0688203,-1.0591195,-2.295145,0.277203
6,6,488,14336,140,50,0.9340723199999996,-0.9919585,-3.625807,101.632402
7,7,488,16384,139,50,5.049172479999999,-1.035978,-3.625807,101.922548
8,8,488,18432,140,50,3.1436607000000003,-0.941899,-1.673283,101.922548
9,9,488,20480,140,50,9.34780746,-0.766919,-1.717633,102.205947
10,10,488,22528,140,50,7.172760579999999,-0.9099349999999999,-2.433779,102.205947
11,11,488,24576,141,50,17.427610679999997,-0.8740595,-2.433779,102.205947
12,12,488,26624,141,50,23.568829620000002,-0.7982800000000001,-2.433779,102.205947
13,13,488,28672,142,50,23.687342419999997,-0.684078,-2.017981,102.042325
14,14,488,30720,142,50,25.784868960000004,-0.534409,-2.593141,102.042325
15,15,488,32768,142,50,23.747596480000002,-0.5556335,-2.593141,102.042325
16,16,488,34816,142,50,17.56235214,-0.7470075,-2.593141,101.936782
17,17,488,36864,142,50,17.479339380000003,-0.84626,-1.947713,102.135281
18,18,488,38912,142,50,29.753284899999997,-0.790577,-1.987633,102.135281
19,19,488,40960,142,50,35.91689808,-0.8145235,-1.987633,102.135281
20,20,488,43008,142,50,35.9185213,-0.7771399999999999,-1.987633,102.191795
21,21,488,45056,142,50,48.2621782,-0.23668599999999998,-1.569229,102.191795
22,22,488,47104,142,50,44.17921726,-0.41570949999999995,-1.693006,102.191795
23,23,488,49152,142,50,54.36034162,100.999065,-1.751379,102.182729
24,24,488,51200,142,50,50.21566854,50.1927125,-2.239788,102.182729
25,25,488,53248,141,50,46.07830739999999,-0.631131,-2.239788,102.056649
26,26,488,55296,141,50,48.1962633,-0.5371195,-1.696763,102.056649
27,27,488,57344,141,50,48.296177,-0.333554,-1.553286,102.074472
28,28,488,59392,141,50,60.620956660000004,101.32573099999999,-1.488837,102.257718
29,29,488,61440,141,50,56.537682460000006,101.21526,-1.550655,102.257718
30,30,488,63488,141,50,56.521234240000005,101.28827799999999,-1.551345,102.257718
31,31,488,65536,141,50,58.51866846,101.093875,-1.551345,102.202329
32,32,488,67584,141,50,60.5332336,101.12891300000001,-1.756547,102.202329
33,33,488,69632,140,50,46.2066359,-0.5331045,-1.756547,102.074867
34,34,488,71680,140,50,48.289454860000006,-0.3204565,-1.635678,102.255944
35,35,488,73728,140,50,54.402758219999996,101.2611095,-1.635678,102.255944
36,36,488,75776,140,50,56.40987020000001,101.0763765,-1.577749,102.255944
37,37,488,77824,140,50,62.55047723999999,101.30203549999999,-1.675895,102.309125
