,idx,reward_sum,n_steps,reason
0,0,107.84307105491825,264,HOME
1,1,110.1620235488706,146,HOME
2,2,-0.0010215378133580089,1,OOB
3,3,-0.02212495576532092,48,OOB
4,4,-0.0003163201763527468,2,OOB
5,5,110.13098032496418,177,HOME
6,6,110.19225265755995,263,HOME
7,7,110.03610179913812,104,HOME
8,8,110.15817005836823,198,HOME
9,9,-0.00032608959008939564,2,OOB
10,10,110.12329085468517,364,HOME
11,11,-0.03722374944481999,28,OOB
12,12,110.18856851721648,151,HOME
13,13,110.0549205215766,196,HOME
14,14,110.06904672377277,61,HOME
15,15,110.14608119479453,160,HOME
16,16,-0.02803637238025658,212,OOB
17,17,110.17699487047503,145,HOME
18,18,-0.07459092186763883,90,OOB
19,19,110.09825516989713,218,HOME
20,20,110.16934300214052,142,HOME
21,21,110.01135031027798,277,HOME
22,22,-0.0010859777685254812,1,OOB
23,23,110.00745098271545,160,HOME
24,24,-0.0009072857355931774,2,OOB
25,25,-0.001088408869691193,1,OOB
26,26,110.18450034757734,186,HOME
27,27,110.04096657464652,54,HOME
28,28,110.07347414669493,208,HOME
29,29,-0.06873731766245328,156,OOB
30,30,110.1100870423179,101,HOME
31,31,0.007142066402593628,18,OOB
32,32,-0.022583982907235622,22,OOB
33,33,110.15305936223012,129,HOME
34,34,109.98882567663793,144,HOME
35,35,110.07305217894123,72,HOME
36,36,-0.0009762258608247976,4,OOB
37,37,110.10431248340137,143,HOME
38,38,110.14344012923539,123,HOME
39,39,110.05295967038955,324,HOME
40,40,110.08205069867176,345,HOME
41,41,-0.0020241907332092524,2,OOB
42,42,0.010965952160404413,77,OOB
43,43,-0.01019719266332686,10,OOB
44,44,110.10434128583438,227,HOME
45,45,-0.001068760291673243,1,OOB
46,46,-0.028706557233817875,28,OOB
47,47,110.03253465515445,73,HOME
48,48,-0.04144124750746414,64,OOB
49,49,-0.0010440484620630741,1,OOB
50,50,-0.004313411773182452,4,OOB
51,51,-7.372430991381407e-05,1,OOB
52,52,-0.007074438966810703,6,OOB
53,53,110.04658088854922,182,HOME
54,54,110.11186837166315,93,HOME
55,55,110.13185471302131,121,HOME
56,56,110.14813083756599,140,HOME
57,57,110.09192185642297,230,HOME
58,58,110.11624583980074,241,HOME
59,59,-0.11391716560319765,137,OOB
60,60,110.14198509047856,147,HOME
61,61,-8.81753724115697e-05,8,OOB
62,62,109.94186845463355,141,HOME
63,63,110.17978024001422,179,HOME
64,64,110.01609618304792,41,HOME
65,65,110.04925072279002,99,HOME
66,66,110.1296015267144,124,HOME
67,67,-0.005909426836296916,6,OOB
68,68,-0.03427080437541008,32,OOB
69,69,-0.0029615176608785987,3,OOB
70,70,-0.0019746562466025352,2,OOB
71,71,-0.005279302723465662,35,OOB
72,72,0.005130266519699944,22,OOB
73,73,110.16132925165584,138,HOME
74,74,110.08396507751058,177,HOME
75,75,110.15812208640273,141,HOME
76,76,110.15264757551816,151,HOME
77,77,109.97610107702712,122,HOME
78,78,110.08504021728731,123,HOME
79,79,110.0935898890566,92,HOME
80,80,110.089758876813,126,HOME
81,81,110.0509009512607,47,HOME
82,82,-0.004876366703683743,23,OOB
83,83,110.03364922403125,39,HOME
84,84,110.14441029211957,189,HOME
85,85,110.05708339400735,70,HOME
86,86,-0.0028429432422854006,3,OOB
87,87,110.04975714385182,562,HOME
88,88,110.0941994926543,85,HOME
89,89,110.04427317315458,317,HOME
90,90,110.11894695699766,153,HOME
91,91,110.10157742723823,89,HOME
92,92,-0.0019249381148256361,2,OOB
93,93,-0.007027095603007183,30,OOB
94,94,-0.002258835011161864,2,OOB
95,95,110.11580396874342,102,HOME
96,96,110.1736356853653,163,HOME
97,97,110.06104847503593,56,HOME
98,98,-0.005376897286623716,5,OOB
99,99,110.0918429608173,233,HOME
