,update,total_updates,T,FPS,window,mean,median,min,max
0,0,488,2048,139,15,4.9643972666666665,-1.155153,-4.608653,101.3463
1,1,488,4096,140,35,1.1822096571428569,-1.155153,-5.197235,101.3463
2,2,488,6144,138,50,0.19348039999999986,-1.284974,-5.56383,101.3463
3,3,488,8192,138,50,0.2055345000000001,-1.3248895,-5.56383,101.013236
4,4,488,10240,138,50,2.4856111199999997,-1.3274759999999999,-4.805008,101.447274
5,5,488,12288,138,50,0.4024830399999997,-1.3412045,-4.774226,101.447274
6,6,488,14336,136,50,-1.5658587800000001,-1.365824,-4.30168,-0.209875
7,7,488,16384,136,50,-1.3631856799999997,-1.217645,-3.270194,0.025271
8,8,488,18432,136,50,0.7119936600000004,-1.2637225,-2.654769,101.457474
9,9,488,20480,136,50,0.6553544200000004,-1.3871145,-2.584002,101.457474
10,10,488,22528,136,50,-1.3801499799999999,-1.3671145,-2.931139,-0.376701
11,11,488,24576,135,50,-1.39085012,-1.3898035,-2.931139,-0.335195
12,12,488,26624,135,50,-1.3509276999999997,-1.331053,-2.665785,-0.335195
13,13,488,28672,135,50,-1.2695190600000001,-1.1693470000000001,-2.526821,-0.43759
14,14,488,30720,135,50,-1.1708231,-0.972446,-2.526821,-0.23945
15,15,488,32768,135,50,0.8096066799999998,-1.0616465,-3.667904,101.324592
16,16,488,34816,135,50,5.01905918,-0.999627,-3.667904,101.643
17,17,488,36864,135,50,5.10475382,-0.9690605,-1.751828,101.643
18,18,488,38912,135,50,5.210696799999999,-0.9205144999999999,-1.751828,101.542979
19,19,488,40960,135,50,11.27185896,-0.9601655,-1.869311,102.156757
20,20,488,43008,135,50,13.213305440000001,-1.085332,-2.320506,102.156757
21,21,488,45056,134,50,21.484094119999998,-0.9796215,-2.320506,102.250424
22,22,488,47104,135,50,23.684690919999998,-0.8140855,-2.233164,102.291096
23,23,488,49152,134,50,17.587275059999996,-0.8140855,-2.233164,102.291096
24,24,488,51200,134,50,13.49298188,-0.8167819999999999,-1.976599,102.291096
25,25,488,53248,134,50,17.50144094,-0.8444455,-1.976599,102.252158
26,26,488,55296,134,50,29.87242898,-0.7082955,-1.690741,102.252158
27,27,488,57344,133,50,25.702638099999998,-0.7406065,-1.690741,102.006698
28,28,488,59392,133,50,23.723930080000006,-0.7082955,-1.596165,102.108509
29,29,488,61440,133,50,25.76380094,-0.815496,-1.580611,102.135934
30,30,488,63488,133,50,25.781862420000003,-0.777898,-1.63248,102.268814
31,31,488,65536,133,50,33.88409854,-0.645732,-1.63248,102.268814
32,32,488,67584,133,50,33.957297540000006,-0.3900885,-1.63248,102.268814
33,33,488,69632,133,50,34.021845920000004,-0.34310050000000003,-1.675289,102.222318
34,34,488,71680,132,50,29.93748276,-0.5994505,-1.675289,102.222318
35,35,488,73728,133,50,34.0745147,-0.294043,-1.675289,102.222318
36,36,488,75776,133,50,25.865955720000002,-0.613973,-1.668941,102.212424
37,37,488,77824,134,50,23.71347996,-0.743028,-1.723116,102.254564
38,38,488,79872,134,50,27.884800300000002,-0.5878680000000001,-1.723116,102.254564
39,39,488,81920,135,50,32.09424078,-0.494925,-1.698017,102.254564
40,40,488,83968,135,50,30.065445980000003,-0.30027349999999997,-1.698017,102.25398
41,41,488,86016,135,50,36.12070832,-0.279006,-1.555592,102.228339
42,42,488,88064,136,50,42.182146200000005,-0.279006,-1.674022,102.228339
43,43,488,90112,136,50,44.227358839999994,-0.3575085,-1.674022,102.228339
44,44,488,92160,136,50,50.34555524,50.2649815,-1.697706,102.164795
45,45,488,94208,137,50,48.35610082,0.10422000000000001,-1.697706,102.245198
46,46,488,96256,137,50,42.2782725,-0.1801725,-1.697706,102.259586
47,47,488,98304,137,50,36.14842952,-0.34115,-1.74188,102.259586
48,48,488,100352,138,50,36.04221149999999,-0.5826695,-1.74188,102.213906
49,49,488,102400,138,50,38.1002959,-0.6100725,-1.663786,102.246781
50,50,488,104448,138,50,34.031560459999994,-0.579353,-1.663786,102.246781
51,51,488,106496,138,50,29.9867718,-0.44977100000000003,-1.580007,102.246781
52,52,488,108544,139,50,35.99084,-0.389595,-1.756949,102.133338
53,53,488,110592,139,50,38.04993347999999,-0.453893,-1.756949,102.181762
54,54,488,112640,139,50,42.17149138,-0.4367445,-1.6939,102.282736
55,55,488,114688,140,50,46.22936881999999,-0.4506715,-1.6939,102.282736
56,56,488,116736,140,50,48.365645019999995,-0.00051,-1.708022,102.261529
57,57,488,118784,140,50,48.36494231999999,0.10928,-1.708022,102.261529
58,58,488,120832,140,50,46.33794778000001,0.0602775,-1.727227,102.291976
59,59,488,122880,141,50,44.27596124000001,0.041588,-1.727227,102.291976
60,60,488,124928,141,50,31.87337998,-0.700922,-1.816176,102.244334
61,61,488,126976,141,50,33.93032738,-0.700922,-1.816176,102.244334
62,62,488,129024,141,50,29.8869363,-0.688943,-1.646453,102.178462
63,63,488,131072,141,50,29.916791699999997,-0.6325339999999999,-1.646453,102.248184
64,64,488,133120,141,50,29.95677114,-0.46479000000000004,-1.495511,102.248184
65,65,488,135168,141,50,21.71361676,-0.6712800000000001,-1.789733,102.264973
66,66,488,137216,142,50,29.858859179999996,-0.599393,-1.789733,102.264973
67,67,488,139264,142,50,29.8275976,-0.735323,-1.720665,102.248757
68,68,488,141312,142,50,29.773128759999995,-0.7854635000000001,-1.785002,102.248757
69,69,488,143360,142,50,33.95791048,-0.6327465,-1.785002,102.214445
70,70,488,145408,142,50,36.15043228,-0.2491045,-1.72547,102.223979
71,71,488,147456,142,50,38.209449119999995,-0.24919600000000003,-1.847332,102.25591
72,72,488,149504,143,50,44.331631980000004,-0.0896545,-1.847332,102.25591
73,73,488,151552,143,50,50.520372880000004,50.691268,-1.671881,102.25591
74,74,488,153600,143,50,46.34544152,-0.0004475,-1.622516,102.248236
75,75,488,155648,143,50,42.24974582000001,-0.167405,-1.643098,102.248236
