,update,total_updates,T,FPS,window,mean,median,min,max
0,0,488,2048,138,23,-1.491379956521739,-1.350439,-3.120404,-0.464218
1,1,488,4096,139,47,2.9246649361702133,-1.310256,-3.120404,100.645536
2,2,488,6144,135,50,0.6786079600000003,-1.269216,-3.564246,100.645536
3,3,488,8192,136,50,4.8571098,-1.158127,-3.361671,101.26389
4,4,488,10240,136,50,4.90448942,-1.0809685,-3.361671,101.26389
5,5,488,12288,137,50,2.8613530199999997,-1.1093169999999999,-4.114597,101.456412
6,6,488,14336,136,50,9.050401899999999,-1.0357925,-4.114597,101.456412
7,7,488,16384,136,50,4.99117234,-1.12201,-2.739693,101.433494
8,8,488,18432,137,50,-1.1533129000000002,-1.076016,-2.739693,-0.316368
9,9,488,20480,138,50,0.8611506200000004,-1.1183005000000001,-2.722722,101.24352
10,10,488,22528,138,50,2.9787110800000005,-0.9823325,-2.722722,101.24352
11,11,488,24576,138,50,9.160576459999998,-0.9208435,-2.722722,102.048283
12,12,488,26624,138,50,11.21301232,-0.889788,-2.575715,102.048283
13,13,488,28672,139,50,21.428560559999998,-0.8901190000000001,-2.575715,102.048283
14,14,488,30720,139,50,25.468527000000005,-0.8576509999999999,-2.575715,102.048283
15,15,488,32768,139,50,25.49481314,-0.8633305,-2.324087,101.762525
16,16,488,34816,140,50,31.72230006,-0.7588159999999999,-2.115475,101.87252
17,17,488,36864,140,50,29.672822340000003,-0.8024119999999999,-2.115475,101.87252
18,18,488,38912,140,50,35.86541458,-0.7081705,-2.304245,101.87252
19,19,488,40960,140,50,37.92401274,-0.6601634999999999,-2.304245,101.882282
20,20,488,43008,140,50,42.00404982,-0.60968,-2.304245,101.947568
21,21,488,45056,140,50,37.89468602,-0.6578569999999999,-2.304245,101.947568
22,22,488,47104,140,50,41.990021559999995,-0.619129,-2.239994,102.086711
23,23,488,49152,140,50,33.82068404,-0.7610635,-2.038948,102.086711
24,24,488,51200,140,50,35.93807128,-0.7712935,-1.657554,102.086711
25,25,488,53248,139,50,31.78058912,-0.9298835,-1.657554,102.152886
26,26,488,55296,139,50,37.8492647,-0.837831,-1.952274,102.152886
27,27,488,57344,139,50,41.92145707999999,-0.8320755,-2.157213,102.152886
28,28,488,59392,139,50,50.182082740000006,49.860516,-2.157213,102.145788
29,29,488,61440,139,50,44.12468082,-0.5214795,-2.157213,102.145788
30,30,488,63488,139,50,46.22662526,-0.40992799999999996,-2.157213,102.145788
31,31,488,65536,139,50,42.11864224,-0.40992799999999996,-1.593047,102.07176
32,32,488,67584,139,50,42.14414788,-0.3778415,-1.612749,102.134107
33,33,488,69632,139,50,44.21940154000001,-0.293343,-1.722168,102.166508
34,34,488,71680,138,50,42.09657051999999,-0.6420435,-1.73138,102.166508
35,35,488,73728,139,50,46.17304419999999,-0.6076634999999999,-1.73138,102.166508
36,36,488,75776,139,50,52.292490799999996,100.702299,-1.73138,102.150751
37,37,488,77824,139,50,48.189179519999996,-0.5331085,-1.921602,102.150751
38,38,488,79872,139,50,48.16802642,-0.5331085,-2.014855,102.150751
39,39,488,81920,140,50,54.34980498,101.13387850000001,-2.014855,102.192392
40,40,488,83968,140,50,50.273570419999984,50.338305,-2.014855,102.192392
41,41,488,86016,141,50,50.304148500000004,50.347793,-2.048677,102.192392
42,42,488,88064,141,50,54.45589718000001,101.338713,-2.048677,102.192392
43,43,488,90112,141,50,48.30517688,-0.37317049999999996,-2.048677,102.144704
44,44,488,92160,142,50,42.16510982,-0.538013,-2.048677,102.006505
