,update,total_updates,T,FPS,window,mean,median,min,max
0,0,48,2048,104,23,7.964034739130435,-0.870491,-4.209256,101.489879
1,1,48,4096,108,50,3.4176750399999998,-1.0204965,-4.209256,101.489879
2,2,48,6144,111,50,3.1868973599999997,-1.1018824999999999,-4.209256,101.346764
3,3,48,8192,112,50,1.0260638999999998,-1.0706205,-2.910093,101.346764
4,4,48,10240,112,50,1.6317222999999996,-0.8684000000000001,-2.910093,100.742595
5,5,48,12288,113,50,1.6631253399999997,-0.8770469999999999,-2.916404,100.742595
6,6,48,14336,112,50,1.2897979999999998,-0.9638504999999999,-2.916404,101.252078
7,7,48,16384,112,50,3.5533379800000002,-0.923144,-2.347334,110.699287
8,8,48,18432,113,50,3.62079878,-0.854691,-2.800362,110.699287
9,9,48,20480,113,50,4.069677760000001,-0.7714025,-2.800362,110.699287
10,10,48,22528,112,50,1.9107276999999998,-0.808341,-1.97583,101.237258
11,11,48,24576,112,50,3.77595174,-0.845785,-1.97583,101.237258
12,12,48,26624,112,50,3.7256873600000007,-0.8643959999999999,-2.996091,111.135428
13,13,48,28672,112,50,1.6517467600000004,-0.875066,-2.996091,111.135428
14,14,48,30720,112,50,1.7184826999999998,-0.844884,-2.281159,111.135428
15,15,48,32768,112,50,3.5366474199999995,-0.9304574999999999,-2.281159,111.441763
16,16,48,34816,112,50,9.703045159999999,-0.6584795,-2.124419,111.441763
17,17,48,36864,113,50,13.873655899999996,-0.5303415,-2.124419,111.441763
18,18,48,38912,112,50,21.56993168,-0.5925530000000001,-3.182005,101.924554
19,19,48,40960,112,50,26.830936780000002,-0.251934,-3.182005,101.924554
20,20,48,43008,113,50,30.84907104,-0.6135085,-3.182005,102.005861
21,21,48,45056,113,50,28.808447619999995,-0.642813,-3.182005,102.005861
22,22,48,47104,114,50,32.78575368,-0.6858845,-2.688393,111.297219
23,23,48,49152,114,50,30.24646822,-0.7488330000000001,-3.189955,111.297219
24,24,48,51200,114,50,28.224154919999997,-0.7488330000000001,-3.189955,111.297219
25,25,48,53248,114,50,25.92726826,-0.82131,-3.189955,110.431946
26,26,48,55296,113,50,26.191225680000006,-0.8111335,-2.346314,111.410604
27,27,48,57344,113,50,26.16006482,-0.8621745000000001,-2.346314,111.410604
28,28,48,59392,113,50,24.365057420000003,-0.6707354999999999,-2.317915,111.410604
29,29,48,61440,113,50,25.895608160000002,-0.663295,-2.317915,111.036888
30,30,48,63488,113,50,29.93634486,-0.6090255,-2.481062,111.036888
31,31,48,65536,113,50,32.020612299999996,-0.5848225,-2.481062,111.036888
32,32,48,67584,113,50,36.13746216,-0.4252235,-2.481062,101.912184
33,33,48,69632,112,50,36.54477532,-0.365083,-1.743062,101.912184
34,34,48,71680,112,50,32.42968872,-0.622285,-1.730579,102.105975
35,35,48,73728,111,50,36.414235180000006,-0.754799,-2.1314,102.105975
36,36,48,75776,110,50,37.822697260000005,-0.8698954999999999,-2.1314,102.105975
37,37,48,77824,110,50,33.913911260000006,-0.8698954999999999,-2.1314,101.784453
38,38,48,79872,110,50,40.067770499999995,-0.6788965,-2.1314,101.876831
39,39,48,81920,110,50,42.39193466,-0.519926,-2.004775,101.876831
40,40,48,83968,110,50,48.55400225999999,9.037726,-1.990979,101.876831
41,41,48,86016,110,50,48.78911308,9.148502,-1.842878,111.289841
42,42,48,88064,110,50,46.7601098,4.2651135,-1.842878,111.289841
43,43,48,90112,110,50,50.89998798,55.2125155,-1.842878,111.289841
44,44,48,92160,110,50,44.96346176,-0.32972100000000004,-1.569399,111.289841
45,45,48,94208,109,50,44.533940720000004,-0.3210485,-2.128798,111.003472
46,46,48,96256,109,50,38.13155576,-0.6789915,-2.128798,111.003472
47,47,48,98304,109,50,35.907153539999996,-0.7372725,-2.128798,101.958452
