,idx,reward_sum,n_steps,reason
0,0,-7.942412332398817,321,OOB
1,1,-1.6975131202489138,36,OOB
2,2,1.3819126947782934,205,OOB
3,3,-1.4870090535841882,52,OOB
4,4,1.3736952543258667,208,OOB
5,5,114.60431828920264,176,HOME
6,6,-0.1505516980032553,139,OOB
7,7,0.010794378293212503,145,OOB
8,8,110.11470901492476,127,HOME
9,9,-0.033987456936301896,37,OOB
10,10,-0.016532400157302618,6,OOB
11,11,-0.0049722217954695225,2,OOB
12,12,-0.14143728165527136,97,OOB
13,13,-0.06817516768205678,40,OOB
14,14,-0.05843030603136867,69,OOB
15,15,110.07411116809817,45,HOME
16,16,110.08741383670713,66,HOME
17,17,-0.037272906571161,121,OOB
18,18,0.08020521581056528,239,OOB
19,19,0.06792439689161256,174,OOB
20,20,-0.01838821778073907,6,OOB
21,21,110.13585490718833,100,HOME
22,22,-0.03377742193151789,37,OOB
23,23,-0.014198929438862251,114,OOB
24,24,0.006330500589683652,5,OOB
25,25,110.27407543428671,243,HOME
26,26,110.06591343261789,56,HOME
27,27,-0.010775571805424988,5,OOB
28,28,110.2237546305987,180,HOME
29,29,-0.018613827356602997,12,OOB
30,30,-0.04941770574077964,16,OOB
31,31,0.03892075564181141,183,OOB
32,32,-0.057187324680853635,37,OOB
33,33,110.04938260778363,153,HOME
34,34,110.06216616166057,63,HOME
35,35,-0.006679183163214475,5,OOB
36,36,110.17559899387379,163,HOME
37,37,-0.026140041372855194,116,OOB
38,38,0.00572529381406639,219,OOB
39,39,110.15048815832779,185,HOME
40,40,-0.0013324458850547671,1,OOB
41,41,-0.02175295207189265,35,OOB
42,42,-0.001972298137843609,1,OOB
43,43,110.22368681066382,196,HOME
44,44,110.19883230971027,244,HOME
45,45,-0.0026607277104631066,2,OOB
46,46,-0.001301867887377739,1,OOB
47,47,110.0467467990893,61,HOME
48,48,0.09732331635677838,249,OOB
49,49,-0.0012990464456379414,1,OOB
50,50,110.1066691347412,175,HOME
51,51,-0.001279797637835145,1,OOB
52,52,-0.004583212197758257,2,OOB
53,53,110.11279892608036,127,HOME
54,54,-0.001257195370271802,1,OOB
55,55,-0.015893285904894583,67,OOB
56,56,0.007549238589490415,29,OOB
57,57,0.0503520471684169,255,OOB
58,58,110.09330845272416,159,HOME
59,59,-0.0019758332055062056,1,OOB
60,60,-0.0012793212663382292,1,OOB
61,61,110.14421434508404,233,HOME
62,62,-0.025817250350428367,359,OOB
63,63,110.07326872443082,103,HOME
64,64,-0.00018289595027454197,2,OOB
65,65,0.02191418155007341,40,OOB
66,66,-0.012105079802452678,86,OOB
67,67,-0.042829468045056274,198,OOB
68,68,-0.0980671721440558,108,OOB
69,69,110.05079458793625,46,HOME
70,70,-0.0012987212976440787,1,OOB
71,71,-0.004380896687507629,3,OOB
72,72,0.0906141937339271,250,OOB
73,73,110.15567579177878,170,HOME
74,74,110.05839613553235,123,HOME
75,75,0.019635071801531012,168,OOB
76,76,110.22069495457617,216,HOME
77,77,-0.06249467517227458,63,OOB
78,78,-0.02590041671646759,162,OOB
79,79,110.09633045174996,86,HOME
80,80,110.11271419351215,119,HOME
81,81,0.07264376631064806,234,OOB
82,82,110.23310312285321,208,HOME
83,83,110.05302467991714,60,HOME
84,84,0.01871978017152287,224,OOB
85,85,-0.04612813979110797,68,OOB
86,86,110.05134234734396,86,HOME
87,87,-0.0020068169105798006,1,OOB
88,88,0.0038787042576586828,128,OOB
89,89,0.033692537355818786,73,OOB
90,90,0.009988557547330856,16,OOB
91,91,-0.03735076356679201,13,OOB
92,92,-0.003773533273488283,2,OOB
93,93,110.14419215291855,152,HOME
94,94,110.12089797760927,219,HOME
95,95,-0.1518944034364722,231,OOB
96,96,110.04305858068983,65,HOME
97,97,110.2092028594634,189,HOME
98,98,-0.005575596529524773,183,OOB
99,99,110.04667522529053,61,HOME
