,update,total_updates,T,FPS,window,mean,median,min,max
0,0,48,2048,112,24,1.362171833333333,-0.7255134999999999,-1.658847,8.928735
1,1,48,4096,114,40,0.6716451,-0.7849364999999999,-2.658685,9.332478
2,2,48,6144,114,50,3.99224038,-0.7839834999999999,-2.658685,101.621899
3,3,48,8192,113,50,5.827110320000002,-0.856394,-3.48086,101.653405
4,4,48,10240,112,50,5.32837504,-1.245682,-3.48086,101.653405
5,5,48,12288,113,50,7.4841606,-1.0439715,-2.380436,111.121817
6,6,48,14336,113,50,7.55012376,-0.9157885,-2.380436,111.121817
7,7,48,16384,112,50,9.84945016,-0.8489979999999999,-2.380436,111.121817
8,8,48,18432,112,50,10.3206843,-0.641111,-2.263319,101.479807
9,9,48,20480,113,50,14.30762158,-0.6098705,-1.856377,102.008246
10,10,48,22528,112,50,16.2532572,-0.758685,-2.682538,102.008246
11,11,48,24576,112,50,17.939349240000002,-0.7600685,-2.682538,101.985148
12,12,48,26624,111,50,24.03032426,-0.6051595000000001,-2.682538,101.945793
13,13,48,28672,110,50,30.18489078,-0.40823750000000003,-2.075728,111.396543
14,14,48,30720,111,50,38.2409179,-0.3634,-2.075728,111.396543
15,15,48,32768,110,50,38.28479591999999,-0.408713,-2.062017,111.396543
16,16,48,34816,111,50,25.971488479999998,-0.7030425,-2.062017,111.077729
17,17,48,36864,111,50,28.024047159999995,-0.6653720000000001,-2.062017,111.077729
18,18,48,38912,111,50,30.26858254,-0.61924,-2.417559,111.208043
19,19,48,40960,111,50,34.23005552,-0.5540080000000001,-2.417559,111.208043
20,20,48,43008,111,50,40.343201279999995,-0.3979505,-2.417559,111.208043
21,21,48,45056,111,50,34.26595394,-0.6362840000000001,-2.788614,110.767552
22,22,48,47104,111,50,34.828131119999995,-0.681447,-2.788614,111.63164
23,23,48,49152,111,50,36.98178587999999,-0.6337465,-2.788614,111.63164
24,24,48,51200,112,50,40.9243835,-0.611272,-2.185541,111.63164
25,25,48,53248,111,50,44.66923872,-0.42752749999999995,-2.185541,111.205725
26,26,48,55296,112,50,44.419932859999996,-0.5837209999999999,-2.366538,102.162232
27,27,48,57344,112,50,46.774491000000005,4.257206500000001,-2.366538,111.249194
28,28,48,59392,111,50,50.9235112,55.4154405,-1.800943,111.249194
29,29,48,61440,111,50,48.69814562,9.390711,-1.658309,102.080289
30,30,48,63488,111,50,52.778944939999995,101.132626,-1.964211,102.018195
31,31,48,65536,111,50,52.55922184,100.847737,-1.964211,101.97601
32,32,48,67584,111,50,44.48385332000001,-0.412797,-2.11149,110.716648
33,33,48,69632,110,50,34.060691999999996,-0.724498,-2.11149,110.716648
34,34,48,71680,110,50,36.3572163,-0.7077024999999999,-2.074713,111.411759
35,35,48,73728,110,50,40.28089668,-0.6369355000000001,-2.074713,111.411759
36,36,48,75776,109,50,48.698617320000004,-0.204989,-1.975313,111.411759
37,37,48,77824,109,50,40.194338439999996,-0.635159,-2.002308,111.381608
38,38,48,79872,109,50,40.534479059999995,-0.6378635,-2.002308,111.381608
39,39,48,81920,109,50,40.56329992,-0.598005,-2.002308,111.271253
40,40,48,83968,109,50,41.01497612,-0.4323455,-2.05375,111.271253
41,41,48,86016,109,50,40.90066302,-0.4323455,-2.05375,111.211438
42,42,48,88064,109,50,36.59446354,-0.602295,-2.05375,111.211438
43,43,48,90112,108,50,34.26400696,-0.6931215,-2.346818,111.180664
44,44,48,92160,108,50,25.863933779999996,-0.7726275,-2.346818,102.232819
45,45,48,94208,108,50,36.37583328,-0.57883,-1.91439,102.08836
46,46,48,96256,108,50,48.66929364,8.9949935,-1.968182,102.08836
47,47,48,98304,107,50,52.8212923,101.05909349999999,-1.968182,102.129154
48,0,4,2048,63,50,3.62196632,-0.978071,-1.927053,111.257398
49,1,4,4096,68,50,7.47677808,-1.0443799999999999,-1.853455,111.284223
50,2,4,6144,70,50,5.193583220000001,-1.0935785,-2.564847,101.610183
51,3,4,8192,67,50,1.28666452,-1.2545045,-1.763811,101.147087
