,idx,reward_sum,n_steps,reason
0,0,111.35519460216165,189,HOME
1,1,-0.02334168470406439,36,OOB
2,2,-0.000528130040038377,1,OOB
3,3,-0.0007578391814604402,1,OOB
4,4,0.10870406811591238,186,OOB
5,5,-0.02268474036918633,131,OOB
6,6,-0.03484976204345003,42,OOB
7,7,-0.0008496091468259692,1,OOB
8,8,-0.08976860984694213,131,OOB
9,9,0.16047972861065318,183,OOB
10,10,110.33037948538549,190,HOME
11,11,-0.03347944805864245,23,OOB
12,12,-0.001120524830184877,3,OOB
13,13,110.14200365897887,136,HOME
14,14,-0.03625899948838196,108,OOB
15,15,110.19898670399562,157,HOME
16,16,-0.00424056506017223,6,OOB
17,17,-0.002744181372690946,4,OOB
18,18,0.13552671752950118,259,OOB
19,19,110.0976482752585,114,HOME
20,20,-0.049080036846135044,91,OOB
21,21,-0.02614983631474388,112,OOB
22,22,110.271516070914,278,HOME
23,23,-0.0014090773183852434,1,OOB
24,24,0.007953431748319417,132,OOB
25,25,110.28337143656427,276,HOME
26,26,110.05122690245662,94,HOME
27,27,110.11123963927457,134,HOME
28,28,-0.0014667616924270988,1,OOB
29,29,110.17768924223492,167,HOME
30,30,-0.02928916177370411,91,OOB
31,31,0.09680341184139252,208,OOB
32,32,-0.04749508807435632,96,OOB
33,33,110.04676898124171,71,HOME
34,34,110.04929921065923,49,HOME
35,35,0.0393629327504641,215,OOB
36,36,0.08885213091889455,217,OOB
37,37,110.25081674310786,275,HOME
38,38,-0.038718075258657336,80,OOB
39,39,110.06924165185501,97,HOME
40,40,-0.040356005682951945,103,OOB
41,41,0.11962942890022532,201,OOB
42,42,0.0031383754685521126,98,OOB
43,43,0.07010232763877866,206,OOB
44,44,0.0836085599148646,169,OOB
45,45,110.101968490344,102,HOME
46,46,110.14551808538272,189,HOME
47,47,0.08024157063482562,208,OOB
48,48,0.014033769413799746,192,OOB
49,49,-0.06886257649694016,116,OOB
50,50,110.20527910697274,190,HOME
51,51,0.1208745949591048,260,OOB
52,52,110.05606562097091,62,HOME
53,53,110.07239204028383,119,HOME
54,54,0.007195719253104471,103,OOB
55,55,0.12679126126749907,249,OOB
56,56,-0.021230122772976756,75,OOB
57,57,0.07385008397977799,58,OOB
58,58,-0.0006885116454213858,1,OOB
59,59,-0.0011776842875406146,1,OOB
60,60,0.0909163434034781,228,OOB
61,61,-0.005851798787489315,118,OOB
62,62,0.1410239864835603,267,OOB
63,63,-0.0014338322798721492,2,OOB
64,64,110.27152266577195,256,HOME
65,65,0.11591672829490562,249,OOB
66,66,0.05972899048356339,154,OOB
67,67,0.040981253627251135,42,OOB
68,68,-0.036208695790264755,48,OOB
69,69,0.18493776414288732,274,OOB
70,70,110.13771630849806,121,HOME
71,71,0.028108510618039872,175,OOB
72,72,-0.011080240830779076,6,OOB
73,73,0.110146211929532,234,OOB
74,74,110.12817490976249,156,HOME
75,75,110.11699198472343,185,HOME
76,76,-0.07180036877980456,94,OOB
77,77,0.12192134717770386,229,OOB
78,78,-0.051901491766329855,63,OOB
79,79,-0.0012065073242411017,1,OOB
80,80,-0.04297231516102329,58,OOB
81,81,0.006214624329004437,128,OOB
82,82,-0.0007465583621524274,1,OOB
83,83,110.1622517218766,170,HOME
84,84,-0.000736868241801858,1,OOB
85,85,0.03829624885111116,149,OOB
86,86,-0.003115711675491184,5,OOB
87,87,-0.008166586048901081,11,OOB
88,88,110.15880288786957,181,HOME
89,89,-0.0014898310764692724,2,OOB
90,90,0.06884892168454826,171,OOB
91,91,-0.010113387106684968,23,OOB
92,92,0.15539058053400367,227,OOB
93,93,110.21756030936797,233,HOME
94,94,0.0004421742632985115,1,OOB
95,95,0.11515195592073724,183,OOB
96,96,110.14776221861939,175,HOME
97,97,-0.05163076217286289,62,OOB
98,98,-0.0702723201320623,108,OOB
99,99,110.14420136998524,138,HOME
