,update,total_updates,T,FPS,window,mean,median,min,max
0,0,48,2048,104,27,3.216958,-1.255343,-2.945496,101.543852
1,1,48,4096,106,50,-0.33457704000000005,-1.276351,-3.1444,9.140481
2,2,48,6144,107,50,-0.90831582,-1.4258665000000001,-4.121688,9.027748
3,3,48,8192,105,50,-0.9421884600000001,-1.2879275,-4.121688,8.826376
4,4,48,10240,106,50,1.0609180400000002,-1.2233904999999998,-4.121688,100.844845
5,5,48,12288,107,50,1.3455523800000007,-1.2196455,-3.876896,100.844845
6,6,48,14336,107,50,3.652865920000001,-1.1598484999999998,-2.580545,111.240461
7,7,48,16384,106,50,1.6184242200000003,-1.0396079999999999,-3.677161,111.240461
8,8,48,18432,107,50,-0.8138983399999999,-1.0809195,-3.677161,8.741435
9,9,48,20480,107,50,3.3104310800000003,-1.0809195,-2.819962,101.26878
10,10,48,22528,106,50,3.6088536400000004,-1.145491,-3.39445,101.26878
11,11,48,24576,106,50,5.53117354,-1.254769,-3.39445,101.26878
12,12,48,26624,106,50,1.0211650000000003,-1.3864459999999998,-3.39445,100.970455
13,13,48,28672,106,50,5.33750728,-1.114614,-3.491296,101.504134
14,14,48,30720,105,50,5.189369760000001,-1.0861295,-3.491296,101.504134
15,15,48,32768,106,50,0.7955180199999997,-1.1748945000000002,-2.068332,100.79914
16,16,48,34816,106,50,1.06775754,-1.0911170000000001,-2.107786,101.894971
17,17,48,36864,107,50,3.18921526,-1.079067,-2.512395,101.894971
18,18,48,38912,107,50,7.3360739,-0.900687,-2.512395,101.894971
19,19,48,40960,107,50,16.03798674,-0.8181095,-2.512395,101.966779
20,20,48,43008,108,50,20.59747386,-0.741417,-2.468414,111.228845
21,21,48,45056,108,50,22.32563066,-0.7356855,-1.742807,111.228845
22,22,48,47104,108,50,13.743512780000001,-0.767775,-2.2661,111.228845
23,23,48,49152,108,50,14.101726039999999,-0.7787109999999999,-2.304174,111.348415
24,24,48,51200,108,50,20.305918580000004,-0.7787109999999999,-2.304174,111.348415
25,25,48,53248,108,50,24.4099664,-0.6844435,-2.304174,110.59458
26,26,48,55296,108,50,41.20638512000001,-0.090142,-1.838116,111.457191
27,27,48,57344,108,50,41.066262859999995,-0.112747,-1.827177,111.457191
28,28,48,59392,108,50,40.63445866,-0.5910409999999999,-1.900788,111.457191
29,29,48,61440,109,50,44.477891979999995,-0.3989315,-2.019651,111.236403
30,30,48,63488,109,50,40.55742392,-0.6440429999999999,-2.019651,111.30816
31,31,48,65536,109,50,34.04519846,-0.6356204999999999,-2.537762,111.30816
32,32,48,67584,109,50,30.38038944,-0.5845555,-2.537762,111.25845
33,33,48,69632,108,50,38.59917394,-0.5247065,-2.537762,111.25845
34,34,48,71680,108,50,44.76400046,-0.5218835,-1.807949,111.25845
35,35,48,73728,107,50,46.472716340000005,-0.43217300000000003,-1.682499,111.192506
36,36,48,75776,107,50,34.43149736,-0.5876490000000001,-1.60668,111.192506
37,37,48,77824,107,50,42.6044421,-0.07636,-1.993674,111.076356
38,38,48,79872,107,50,27.91772362,-0.796306,-1.993674,101.965931
39,39,48,81920,107,50,36.49300694000001,-0.718053,-1.718692,111.239066
40,40,48,83968,107,50,44.9436913,-0.6222975,-1.624152,111.354257
41,41,48,86016,107,50,38.86695462,-0.5554939999999999,-1.738112,111.354257
42,42,48,88064,107,50,45.0959797,0.1619215,-1.738112,111.354257
43,43,48,90112,106,50,38.800176539999995,-0.0579785,-1.738112,111.313201
44,44,48,92160,106,50,36.53062126,-0.5012165,-1.567724,111.26381
45,45,48,94208,106,50,46.602046300000005,0.0390785,-1.707249,111.26381
46,46,48,96256,106,50,50.70517212000001,55.348525,-1.707249,101.911479
47,47,48,98304,105,50,44.24502754,-0.7280979999999999,-1.850847,102.221169
48,0,4,2048,81,50,-0.24814590000000003,-0.9491395,-1.822801,9.592407
49,1,4,4096,74,50,1.2239659399999998,-1.2608675,-1.871448,101.283307
50,2,4,6144,73,50,0.9636750799999999,-1.1053975,-1.86902,101.415759
51,3,4,8192,69,50,-1.0940859600000001,-1.0779774999999998,-1.847807,-0.327225
