,idx,reward_sum,n_steps,reason
0,0,-19.756226807832718,102,OOB
1,1,-5.273873459547758,96,OOB
2,2,-4.258114352822304,99,OOB
3,3,-4.36484169960022,89,OOB
4,4,-4.49572941288352,64,OOB
5,5,-4.357104849070311,87,OOB
6,6,-2.197888370603323,58,OOB
7,7,-3.005208494141698,48,OOB
8,8,-2.8172857090830803,43,OOB
9,9,-2.7646214738488197,40,OOB
10,10,-3.697510477155447,75,OOB
11,11,-1.4164867522194982,56,OOB
12,12,-2.2314049191772938,48,OOB
13,13,-3.2285295203328133,50,OOB
14,14,-2.4784048721194267,38,OOB
15,15,-3.502900280058384,69,OOB
16,16,-1.4758796505630016,55,OOB
17,17,-2.357078216969967,45,OOB
18,18,-2.9025427773594856,44,OOB
19,19,-2.395680218935013,36,OOB
20,20,-3.6332054659724236,66,OOB
21,21,-1.710999097675085,51,OOB
22,22,-2.3693259954452515,43,OOB
23,23,-2.7027059197425842,40,OOB
24,24,-2.3827114924788475,35,OOB
25,25,-3.1526029109954834,65,OOB
26,26,-1.9828527309000492,53,OOB
27,27,-2.3573175743222237,47,OOB
28,28,-2.984820045530796,43,OOB
29,29,-2.303247332572937,33,OOB
30,30,-3.6402649469673634,68,OOB
31,31,-1.9915085211396217,55,OOB
32,32,-1.4897656720131636,48,OOB
33,33,-2.5701392367482185,42,OOB
34,34,-2.6764341592788696,38,OOB
35,35,-4.18752303509973,72,OOB
36,36,-1.9032665248960257,61,OOB
37,37,-2.4672201480716467,49,OOB
38,38,-1.7818260788917542,46,OOB
39,39,-3.1974355429410934,42,OOB
40,40,-4.901941856369376,72,OOB
41,41,-4.020040772855282,65,OOB
42,42,-3.2683055996894836,53,OOB
43,43,-2.8301504105329514,52,OOB
44,44,-2.9969453178346157,43,OOB
45,45,-2.921188496053219,64,OOB
46,46,-2.5356262736022472,48,OOB
47,47,-2.8736602449789643,41,OOB
48,48,-2.422668904066086,37,OOB
49,49,-3.1046216562390327,39,OOB
50,50,-3.745157638564706,64,OOB
51,51,-1.7993781175464392,45,OOB
52,52,-2.135501243174076,41,OOB
