,idx,reward_sum,n_steps,reason
0,0,95.14028078317642,98,HOME
1,1,-1.062346403254196,116,OOB
2,2,-0.9956835149787366,116,OOB
3,3,-1.227260010316968,118,OOB
4,4,-1.42725202254951,102,OOB
5,5,-2.4583546109497547,111,OOB
6,6,-1.616128123831004,107,OOB
7,7,-1.0216084541752934,68,OOB
8,8,-1.5658888071775436,67,OOB
9,9,-1.7178303804248571,70,OOB
10,10,108.76420107856393,88,HOME
11,11,-0.2729238076135516,79,OOB
12,12,-0.6256167404353619,66,OOB
13,13,-1.401589522138238,72,OOB
14,14,-1.2646079007536173,61,OOB
15,15,-1.35947535187006,95,OOB
16,16,-0.22645076550543308,74,OOB
17,17,-0.6808265615254641,64,OOB
18,18,-0.9905120991170406,56,OOB
19,19,-1.2799854781478643,56,OOB
20,20,-1.4715035576373339,91,OOB
21,21,-0.3109281286597252,70,OOB
22,22,-0.6103404257446527,61,OOB
23,23,-1.2154598888009787,56,OOB
24,24,-1.206201296299696,49,OOB
25,25,-1.4062854833900928,88,OOB
26,26,-0.4058199245482683,69,OOB
27,27,-0.7433411329984665,61,OOB
28,28,-0.8313797619193792,52,OOB
29,29,-1.308153035119176,50,OOB
30,30,-1.760267400648445,92,OOB
31,31,-0.2151941005140543,72,OOB
32,32,-0.5570040536113083,64,OOB
33,33,-0.8624431435018778,57,OOB
34,34,-1.485562788322568,54,OOB
35,35,-1.9450981356203556,95,OOB
36,36,-0.7114794505760074,75,OOB
37,37,-0.6877501970157027,68,OOB
38,38,-0.9257139852270484,62,OOB
39,39,-1.8442774005234241,61,OOB
40,40,-2.607668493874371,101,OOB
41,41,-1.7968284171074629,89,OOB
42,42,-1.0977321774698794,73,OOB
43,43,-0.8103316407650709,68,OOB
44,44,-1.7146118972450495,56,OOB
45,45,-2.0618417728692293,92,OOB
46,46,-0.47719119116663933,63,OOB
47,47,-0.8698499239981174,52,OOB
48,48,-1.4658156372606754,47,OOB
49,49,-1.7621777579188347,54,OOB
50,50,-1.921432456932962,89,OOB
51,51,-0.35366672882810235,65,OOB
52,52,-0.813874265179038,56,OOB
53,53,-1.1762295383960009,47,OOB
54,54,-1.6708332896232605,52,OOB
55,55,-2.156851464882493,86,OOB
56,56,-0.2598748654127121,66,OOB
57,57,-0.5533272065222263,54,OOB
58,58,-1.081880521029234,48,OOB
59,59,-1.6117687411606312,49,OOB
60,60,-1.4047058932483196,84,OOB
61,61,-0.48764269053936005,63,OOB
62,62,-0.7754364032298326,54,OOB
63,63,-1.3005344234406948,47,OOB
64,64,-1.5502297058701515,46,OOB
