,idx,reward_sum,n_steps,reason
0,0,-27.35988860577345,114,OOB
1,1,-1.697691921144724,29,OOB
2,2,-1.7172427028417587,35,OOB
3,3,-2.038039577775635,68,OOB
4,4,-2.9317312613129616,59,OOB
5,5,-2.2548332465812564,30,OOB
6,6,-1.710014995187521,34,OOB
7,7,-5.108949178829789,78,OOB
8,8,-2.052261327393353,34,OOB
9,9,-1.8085800744593143,35,OOB
10,10,-3.99397299438715,38,OOB
11,11,-1.440392728894949,42,OOB
12,12,-1.5633597979322076,39,OOB
13,13,-1.6953087579458952,38,OOB
14,14,-1.9237824082374573,39,OOB
15,15,-1.74761363863945,35,OOB
16,16,-1.6723149493336678,33,OOB
17,17,-1.530688370941789,40,OOB
18,18,-2.2692042738199234,34,OOB
19,19,-6.035880200564861,66,OOB
20,20,-1.0441438991110772,39,OOB
21,21,-2.215815346688032,43,OOB
22,22,-1.6961642038077116,39,OOB
23,23,-1.3608761243522167,27,OOB
24,24,-2.0584216229617596,38,OOB
25,25,-1.8435152273159474,44,OOB
26,26,-2.099207721184939,34,OOB
27,27,-1.340383231639862,42,OOB
28,28,-1.8621439491398633,32,OOB
29,29,-1.3669542260468006,31,OOB
30,30,-2.566771697252989,47,OOB
31,31,-8.630172599107027,113,OOB
32,32,-1.3073632065206766,38,OOB
33,33,-2.32982037961483,38,OOB
34,34,-2.52719359844923,36,OOB
35,35,-1.72056033462286,44,OOB
36,36,-1.6016241379547864,46,OOB
37,37,-1.300400517648086,46,OOB
38,38,-5.549324848689139,50,OOB
39,39,-2.420986795797944,40,OOB
40,40,-3.1464966060593724,49,OOB
41,41,-22.167045546520967,402,OOB
42,42,-1.0688944812864065,41,OOB
43,43,-3.126712760422379,76,OOB
44,44,-0.7555739625240676,39,OOB
45,45,-1.4283331092447042,35,OOB
46,46,-2.816237097606063,42,OOB
47,47,-0.8289826419204473,28,OOB
48,48,-1.515388611704111,28,OOB
49,49,-7.481798261869699,170,OOB
50,50,-2.0751701965928078,50,OOB
51,51,-0.9882789235562086,43,OOB
52,52,-0.755586015060544,31,OOB
53,53,-0.6655286960303783,27,OOB
54,54,-0.808295227587223,31,OOB
55,55,-1.2575197860132903,34,OOB
56,56,-0.3344225622713566,44,OOB
57,57,-2.6602412057109177,41,OOB
58,58,-0.8508514538407326,35,OOB
59,59,-0.7641687002032995,34,OOB
60,60,-2.443211203441024,38,OOB
61,61,-0.7335445005446672,40,OOB
62,62,-0.8307100478559732,29,OOB
63,63,-0.33768682554364204,38,OOB
64,64,-1.116202225908637,32,OOB
65,65,-17.5073607750237,405,OOB
66,66,-13.72827101778239,419,OOB
67,67,-0.475972400046885,43,OOB
68,68,-3.062052962370217,120,OOB
69,69,-0.7787438035011292,55,OOB
70,70,-0.8532467442564666,41,OOB
71,71,-0.44670995278283954,45,OOB
72,72,-0.4465519366785884,43,OOB
73,73,-0.570596003672108,37,OOB
74,74,-0.6512219654396176,39,OOB
75,75,-0.637680500803981,55,OOB
76,76,-0.5584172655362636,49,OOB
77,77,-5.063789747655392,151,OOB
78,78,-0.5911274813115597,42,OOB
79,79,-1.7967605367302895,44,OOB
80,80,-0.8320591903757304,57,OOB
81,81,-1.2223283263738267,51,OOB
82,82,-0.6260136392666027,56,OOB
83,83,-1.5109510908368975,44,OOB
84,84,-0.7233382042322773,78,OOB
85,85,-1.7255924362689257,47,OOB
86,86,-0.6423574462532997,39,OOB
87,87,-6.11985754565103,296,OOB
88,88,-0.46170736802741885,43,OOB
89,89,-0.7607965813949704,41,OOB
90,90,-0.33869907609187067,49,OOB
91,91,-0.4100408705417067,44,OOB
92,92,-0.5318023476283997,40,OOB
93,93,-0.3938765355851501,45,OOB
94,94,-0.4847476747818291,34,OOB
95,95,-1.76463055703789,47,OOB
96,96,-0.43520419485867023,50,OOB
97,97,-1.9474373143166304,69,OOB
98,98,-0.3480583544805995,49,OOB
99,99,-0.9195865319343284,42,OOB
100,100,-0.5732730785384774,62,OOB
101,101,-1.362059243643671,61,OOB
102,102,-0.7441691835410893,36,OOB
103,103,-0.31704140070360154,36,OOB
104,104,-1.573594463756308,42,OOB
105,105,-0.8049257370876148,56,OOB
106,106,-5.609752197982743,177,OOB
107,107,-0.7784171293023974,38,OOB
108,108,-0.3380541973747313,45,OOB
109,109,-0.5416941283037886,37,OOB
110,110,-0.8091803272254765,67,OOB
111,111,-0.1853452930226922,56,OOB
112,112,-0.9201560791116208,41,OOB
113,113,-0.5459719471400604,42,OOB
114,114,-0.66846768790856,44,OOB
115,115,-0.8792278908658773,54,OOB
116,116,-2.2216562109751976,70,OOB
117,117,-0.8023057728714775,63,OOB
118,118,-8.633561807837395,297,OOB
119,119,0.13926004385575652,71,OOB
120,120,-7.216951489739586,317,OOB
121,121,-0.8445206647738814,64,OOB
122,122,-1.0705958699836629,45,OOB
123,123,-7.020267885643989,254,OOB
124,124,-2.0182692743837833,60,OOB
125,125,-0.8038280948530883,43,OOB
126,126,-0.3979510050266981,58,OOB
127,127,-4.1205884963274,124,OOB
128,128,-3.918446782976389,114,OOB
129,129,-3.0768558774143457,90,OOB
130,130,-6.612473557994235,349,OOB
131,131,-0.5938795621332247,44,OOB
132,132,-2.8873108027182752,86,OOB
133,133,-2.0077967876568437,64,OOB
134,134,-3.0336078628897667,85,OOB
135,135,-2.5733717315015383,98,OOB
136,136,-0.40242801420390606,37,OOB
137,137,-2.905246978625655,90,OOB
138,138,-0.4084873356623575,44,OOB
139,139,-2.5976477675139904,77,OOB
140,140,-1.0858187438279856,47,OOB
141,141,-1.3486031034844927,40,OOB
142,142,-0.38820387655869126,42,OOB
143,143,-0.6968823485076427,28,OOB
144,144,-1.022610668092966,37,OOB
145,145,-0.35381064284592867,43,OOB
146,146,-0.9841731914784759,42,OOB
147,147,-0.6324033858254552,50,OOB
148,148,-1.4050345525174635,41,OOB
149,149,-1.6156738884747028,98,OOB
150,150,-0.5992510038195178,46,OOB
151,151,-0.4634489449672401,45,OOB
152,152,-4.308356345631182,166,OOB
153,153,-0.3416928722290322,36,OOB
154,154,-1.742492794059217,44,OOB
155,155,-0.5444427684415132,54,OOB
156,156,-0.937855860684067,42,OOB
157,157,-2.0265068653970957,51,OOB
158,158,-0.5731725855730474,43,OOB
159,159,-5.36947264499031,190,OOB
160,160,-6.312050571432337,195,OOB
161,161,-1.5314432121813297,45,OOB
162,162,-1.0673151590453926,70,OOB
163,163,-0.8123435250017792,54,OOB
164,164,-0.2768402473302558,53,OOB
165,165,-0.46234130673110485,81,OOB
166,166,-0.15906071988865733,59,OOB
167,167,-0.15957623114809394,47,OOB
168,168,-0.5986183909806186,47,OOB
169,169,-0.648186480779259,53,OOB
170,170,-0.924481175141409,61,OOB
171,171,-0.9127062132174615,67,OOB
172,172,-2.2336112174671143,71,OOB
173,173,-0.5318266253452748,38,OOB
174,174,-1.0621390375308692,45,OOB
175,175,-8.588485334767029,236,OOB
176,176,-0.7270349649479613,49,OOB
177,177,-0.20901416894048452,49,OOB
178,178,-1.3395482022315264,51,OOB
179,179,-1.7020954401232302,85,OOB
180,180,-0.9924107481492683,69,OOB
181,181,-0.517300867009908,55,OOB
182,182,-0.2499795025214553,49,OOB
183,183,-0.1328269938894664,48,OOB
184,184,-2.4425978008657694,65,OOB
185,185,-1.8077579415403306,49,OOB
186,186,-0.2774831731803715,61,OOB
187,187,-8.599462124053389,257,OOB
188,188,-0.23003157321363688,46,OOB
189,189,-0.26141782593913376,48,OOB
190,190,-0.8050050754100084,62,OOB
191,191,-2.0180048123002052,54,OOB
192,192,0.0392507070209831,51,OOB
193,193,-0.8006706326268613,45,OOB
194,194,-0.42871282040141523,45,OOB
195,195,-5.303785784228239,211,OOB
196,196,-1.4165704682236537,90,OOB
197,197,-5.380033274588641,175,OOB
198,198,-5.716228760127706,209,OOB
199,199,-0.3878285367973149,64,OOB
200,200,-4.824594772122509,174,OOB
201,201,-5.330114571203012,186,OOB
202,202,-0.9315420992206782,68,OOB
203,203,-0.5365309917833656,50,OOB
204,204,-1.2723565730266273,53,OOB
205,205,-3.0863730385899544,91,OOB
206,206,-0.6037770366529003,41,OOB
207,207,-0.5450687701813877,54,OOB
208,208,-2.0978216780349612,65,OOB
209,209,-3.532185629126616,107,OOB
210,210,-0.7914144685964857,57,OOB
211,211,-0.4989092075265944,48,OOB
212,212,-0.7168550183996558,44,OOB
213,213,-3.8742198316613212,111,OOB
214,214,-0.302023135824129,39,OOB
215,215,-0.4890527664683759,75,OOB
216,216,-0.7696434911340475,48,OOB
217,217,-1.841326193884015,69,OOB
218,218,-1.069736646488309,46,OOB
219,219,-1.836006024852395,68,OOB
220,220,-1.600099453527946,44,OOB
221,221,-0.49451661069178954,42,OOB
222,222,-0.9920201189815998,47,OOB
223,223,-0.8797796182334423,34,OOB
224,224,-0.4005894362926483,37,OOB
225,225,-2.176667117513716,59,OOB
226,226,-0.416488291695714,50,OOB
227,227,-0.28292598109692335,41,OOB
228,228,-0.5179457790218294,51,OOB
229,229,-1.9494947809726,66,OOB
230,230,-0.04129682667553425,54,OOB
231,231,-1.5947263417765498,58,OOB
232,232,-0.5414851544555859,43,OOB
233,233,-0.252555851591751,39,OOB
234,234,-0.25613517919555306,38,OOB
235,235,-0.6973288604058325,64,OOB
236,236,-6.089690028777113,203,OOB
237,237,-0.6550481682643294,50,OOB
238,238,-2.171838066293276,69,OOB
239,239,-0.5685937902890146,39,OOB
