,idx,reward_sum,n_steps,reason
0,0,94.61620029620826,106,HOME
1,1,109.55597975477576,106,HOME
2,2,109.6067714788951,106,HOME
3,3,-1.0633749146945775,98,OOB
4,4,-1.2238967400044203,104,OOB
5,5,-0.699897727696225,99,OOB
6,6,-1.7465611915104091,107,OOB
7,7,-1.2561072567477822,98,OOB
8,8,-1.541052604559809,106,OOB
9,9,-1.3769296826794744,92,OOB
10,10,-0.7672537304461002,91,OOB
11,11,-0.2868908201344311,54,OOB
12,12,-1.0814411235041916,89,OOB
13,13,-1.1193994050845504,83,OOB
14,14,-1.3352004941552877,84,OOB
15,15,-0.859990656375885,86,OOB
16,16,-0.7276595328003168,73,OOB
17,17,-0.26974127627909184,44,OOB
18,18,-1.2928168568760157,83,OOB
19,19,111.69359286688268,75,HOME
20,20,111.70434303209186,77,HOME
21,21,109.25880274176598,75,HOME
22,22,111.44935374800116,76,HOME
23,23,-0.2581051755696535,40,OOB
24,24,111.19005553331226,76,HOME
25,25,109.14553399663419,77,HOME
26,26,-0.1506208097562194,46,OOB
27,27,-0.23540505021810532,43,OOB
28,28,0.8602051604539156,86,OOB
29,29,0.832660399377346,85,OOB
30,30,109.1523268618621,77,HOME
31,31,-0.6287768920883536,85,OOB
32,32,-0.5226030607009307,72,OOB
33,33,-0.14579917024821043,83,OOB
34,34,-0.21323663787916303,41,OOB
35,35,111.04215767141432,82,HOME
36,36,-1.271286142989993,90,OOB
37,37,-0.23521309322677553,48,OOB
38,38,-0.7936635399237275,84,OOB
39,39,-0.2294313755701296,43,OOB
40,40,-0.9351009369129315,88,OOB
41,41,-0.39233820885419846,90,OOB
42,42,0.6668978200759739,86,OOB
43,43,-0.3649410067591816,46,OOB
44,44,-0.4761949583189562,51,OOB
45,45,-1.2446313545806333,121,OOB
46,46,-0.319028262514621,120,OOB
47,47,-0.5048883464187384,33,OOB
48,48,-0.6599346557632089,40,OOB
49,49,-0.7622949788346887,78,OOB
50,50,0.12740017380565405,76,OOB
51,51,-0.23545435059349984,36,OOB
52,52,-0.18028267472982407,74,OOB
53,53,-0.5820424212142825,35,OOB
54,54,-0.5664693610742688,36,OOB
