,idx,reward_sum,n_steps,reason
0,0,-9.61090787127614,106,OOB
1,1,-1.6837576078251004,107,OOB
2,2,109.06392609328032,75,HOME
3,3,110.93974258529488,76,HOME
4,4,-1.204094829969108,107,OOB
5,5,0.29262648668373004,100,OOB
6,6,110.475476649357,70,HOME
7,7,-1.541229403577745,101,OOB
8,8,-1.3721011555753648,99,OOB
9,9,-1.0831795167177916,90,OOB
10,10,-1.108881814405322,78,OOB
11,11,-0.19007622357457876,94,OOB
12,12,-1.6395765347406268,95,OOB
13,13,110.23507174476981,68,HOME
14,14,-0.8291522795334458,82,OOB
15,15,-1.184652166441083,76,OOB
16,16,-0.04569195117801428,95,OOB
17,17,-1.5125308306887746,97,OOB
18,18,-0.9584311107173562,96,OOB
19,19,-0.7174550965428352,78,OOB
20,20,-1.3926629377529025,78,OOB
21,21,-0.09435454476624727,96,OOB
22,22,-1.7215604409575462,96,OOB
23,23,-0.9407872967422009,95,OOB
24,24,-0.7726208865642548,80,OOB
25,25,-1.574733654037118,80,OOB
26,26,-0.023469220846891403,95,OOB
27,27,-2.1176896020770073,94,OOB
28,28,-1.0571046844124794,96,OOB
29,29,-0.9257661495357752,80,OOB
30,30,-1.4659438654780388,76,OOB
31,31,0.25304448138922453,96,OOB
32,32,-1.7335194740444422,96,OOB
33,33,-0.7498855898156762,97,OOB
34,34,-2.0879907179623842,97,OOB
35,35,-1.235172238200903,66,OOB
36,36,0.570617264136672,98,OOB
37,37,-1.6314039658755064,97,OOB
38,38,-0.2737308288924396,99,OOB
39,39,109.88479118037503,70,HOME
40,40,-1.4324083793908358,71,OOB
41,41,0.32382314186543226,105,OOB
42,42,108.81711575575173,82,HOME
43,43,-0.3272427236661315,105,OOB
44,44,-2.009383473545313,107,OOB
45,45,0.4127693868940696,97,OOB
46,46,110.45583019312471,69,HOME
47,47,-2.3436687774956226,99,OOB
48,48,-1.7903073807246983,99,OOB
49,49,-1.5805912502110004,97,OOB
50,50,0.6472578421235085,97,OOB
51,51,-0.5562032768502831,96,OOB
52,52,-2.1386868860572577,96,OOB
53,53,110.35707573313266,67,HOME
54,54,-1.1326645649969578,86,OOB
55,55,-1.2532896902412176,76,OOB
56,56,-0.3312224820256233,96,OOB
57,57,-1.8434822615236044,96,OOB
58,58,110.66667016781867,66,HOME
59,59,-1.012333219870925,86,OOB
60,60,-1.2316971756517887,77,OOB
61,61,-0.20962722226977348,94,OOB
62,62,-1.9302746504545212,95,OOB
63,63,110.71980173699558,66,HOME
64,64,-0.9111784435808659,86,OOB
65,65,-1.317584503442049,79,OOB
66,66,-0.27001312002539635,96,OOB
67,67,-1.7189534325152636,93,OOB
68,68,110.63216600753367,67,HOME
69,69,-1.0876015275716782,87,OOB
70,70,-1.2662025392055511,73,OOB
71,71,0.06002035178244114,96,OOB
72,72,-1.5295336414128542,93,OOB
73,73,110.9258657163009,68,HOME
74,74,-1.7117206463590264,96,OOB
75,75,-1.1059705149382353,66,OOB
76,76,0.4383247974328697,98,OOB
77,77,-1.5930031891912222,100,OOB
78,78,-0.31223698798567057,99,OOB
79,79,110.07885621165042,70,HOME
80,80,112.08626463077962,106,HOME
81,81,0.9113466911949217,134,OOB
82,82,-2.0354059250093997,136,OOB
83,83,111.494342955295,105,HOME
84,84,-2.028609079774469,137,OOB
85,85,1.2240380092989653,125,OOB
86,86,111.10993011901155,96,HOME
87,87,-1.5107858404517174,126,OOB
88,88,-0.8025442361831665,125,OOB
89,89,-0.9375618332996964,118,OOB
90,90,1.534869285300374,123,OOB
91,91,111.52413085941225,94,HOME
92,92,-1.6608072649687529,121,OOB
93,93,-0.5530689861625433,123,OOB
94,94,-1.023287725634873,117,OOB
95,95,-0.9202308086678386,81,OOB
96,96,111.9005881184712,94,HOME
97,97,-1.7026879312470555,120,OOB
98,98,110.94776196498424,93,HOME
99,99,-1.2971256477758288,121,OOB
100,100,0.9338563550263643,123,OOB
101,101,111.77161565888673,93,HOME
102,102,-1.5858672689646482,121,OOB
103,103,110.9869845379144,93,HOME
104,104,-1.2843351224437356,120,OOB
