,update,total_updates,T,FPS,window,mean,median,min,max
0,0,244,8192,385,29,-46.336052344827586,-57.066844,-92.557667,143.437815
1,1,244,16384,392,50,-37.26161656,-52.3179,-92.557667,145.002953
2,2,244,24576,387,50,-14.09551364,-26.8406405,-72.514527,153.853597
3,3,244,32768,375,50,13.10383854,-19.681506,-69.94995,152.808436
4,4,244,40960,377,50,18.752924460000003,-26.251919,-53.858349,156.978214
5,5,244,49152,372,50,32.71076186,-19.367144500000002,-49.652685,154.778682
6,6,244,57344,369,50,36.37855009999999,-16.475315,-45.426951,155.415594
7,7,244,65536,362,50,26.83113488,-20.334743,-59.818545,149.201195
8,8,244,73728,328,50,48.62349064,-13.76412,-45.204177,158.23047
9,9,244,81920,301,50,31.80845122,-15.399226500000001,-42.45926,158.767454
10,10,244,90112,284,50,67.14394646,139.431937,-32.959537,156.463469
11,11,244,98304,275,50,97.39771854,143.439869,-27.554416,159.011751
12,12,244,106496,271,50,106.77921451999998,143.3803125,-25.557013,156.690208
13,13,244,114688,262,50,102.53787828,142.9569965,-21.874881,158.046973
14,14,244,122880,257,50,113.25317254,148.6483595,-25.097149,160.741811
15,15,244,131072,255,50,98.16848301999998,146.3243195,-22.876463,163.201991
16,16,244,139264,255,50,111.03355264,149.14390600000002,-25.699671,160.860774
17,17,244,147456,249,50,106.59363008,146.2597565,-21.469632,162.037983
18,18,244,155648,250,50,127.85575998,150.55358,-24.871489,163.278948
19,19,244,163840,253,50,112.04561195999999,149.738004,-21.345516,160.64236
20,20,244,172032,256,50,127.97826148,149.9700675,-23.323631,159.659876
21,21,244,180224,258,50,102.11583718,148.925031,-19.730967,163.994022
22,22,244,188416,260,50,118.35632404000002,150.72299900000002,-21.233611,161.600396
23,23,244,196608,262,50,112.32111638,150.1762295,-25.568519,164.259911
24,24,244,204800,264,50,112.2054185,150.7977955,-18.115314,161.589635
25,25,244,212992,265,50,116.7116464,151.855182,-20.986211,164.243905
26,26,244,221184,267,50,118.12945717999999,150.562049,-23.705946,162.234938
27,27,244,229376,268,50,121.62699812,150.313736,-23.670406,162.674041
28,28,244,237568,269,50,98.46432830000002,151.32185650000002,-38.731713,164.476917
29,29,244,245760,271,50,108.6417706,150.649102,-23.810912,162.783979
30,30,244,253952,271,50,127.3440074,148.7525775,-29.309075,162.050768
31,31,244,262144,271,50,118.06819052,150.9888905,-32.412589,163.489398
32,32,244,270336,272,50,132.06220984,152.5176695,-23.211149,160.681131
33,33,244,278528,273,50,121.98242635999999,150.1943125,-31.951383,163.306154
34,34,244,286720,274,50,118.38191993999999,148.1863785,-23.078705,162.705176
35,35,244,294912,274,50,135.03333108,150.6668885,-21.277752,162.898634
36,36,244,303104,275,50,140.82071434000002,148.918596,-17.770933,163.669528
37,37,244,311296,275,50,139.55795966000002,149.7750785,-18.275879,163.520857
38,38,244,319488,273,50,136.59756313999998,149.34256299999998,-21.676725,165.214228
39,39,244,327680,274,50,119.86927532,147.826097,-31.845623,160.687333
