,idx,reward_sum,n_steps,reason
0,0,-10.0,1,OOB
1,1,20.10067697055638,81,HOME
2,2,-1.123864658176899,391,OOB
3,3,-2.2194051798433065,122,OOB
4,4,-0.027140049263834953,1,OOB
5,5,-1.7406124975532293,99,OOB
6,6,2.170040084980428,157,OOB
7,7,110.63249206042383,130,HOME
8,8,0.8902003997936845,192,OOB
9,9,111.44456483284011,137,HOME
10,10,-0.4433277363423258,98,OOB
11,11,-0.41058103600516915,130,OOB
12,12,0.6571432454511523,135,OOB
13,13,-0.4380974844098091,131,OOB
14,14,-0.828451941604726,132,OOB
15,15,0.09159094281494617,137,OOB
16,16,-1.0595397911965847,93,OOB
17,17,0.8269480811432004,108,OOB
18,18,0.9318706563208252,158,OOB
19,19,0.5924600581638515,139,OOB
20,20,-0.4907226851209998,122,OOB
21,21,-0.017836537212133408,1,OOB
22,22,110.74062936846167,96,HOME
23,23,-0.4567065460141748,129,OOB
24,24,-0.5495521104894578,76,OOB
25,25,0.459593633771874,82,OOB
26,26,109.91828824547702,79,HOME
27,27,-0.8423383757472038,122,OOB
28,28,1.3586983986897394,108,OOB
29,29,1.5936531848274171,116,OOB
30,30,1.4107311964035034,138,OOB
31,31,-0.36451091431081295,20,OOB
32,32,109.7210381757468,70,HOME
33,33,109.55477792024612,64,HOME
34,34,-0.6629345719702542,115,OOB
35,35,-0.28836355544626713,16,OOB
36,36,1.3528227601200342,145,OOB
37,37,1.341659965692088,153,OOB
38,38,-0.14338039606809616,8,OOB
39,39,-0.09738691052189097,121,OOB
40,40,-0.5689500216394663,31,OOB
41,41,0.009970477083697915,76,OOB
42,42,-0.11988130956888199,75,OOB
43,43,0.9765184532152489,138,OOB
44,44,0.8598968051373959,157,OOB
45,45,1.8304041137453169,119,OOB
46,46,1.4491509343497455,117,OOB
47,47,0.4688730644993484,86,OOB
48,48,1.0325017487630248,89,OOB
49,49,-0.037108668591827154,118,OOB
50,50,0.6533206775784492,124,OOB
51,51,110.36367421923205,78,HOME
52,52,-0.5735172852873802,105,OOB
53,53,0.9457859275862575,143,OOB
54,54,-0.019540658220648766,1,OOB
55,55,0.12725713080726564,116,OOB
56,56,-0.021971626207232475,1,OOB
57,57,1.709607033059001,130,OOB
58,58,2.0936999887926504,112,OOB
59,59,2.3113496601581573,122,OOB
60,60,-0.38199827005155385,57,OOB
61,61,-0.7580069303512573,102,OOB
62,62,-0.7762816585600376,48,OOB
63,63,0.3648793436586857,132,OOB
64,64,0.16871919273398817,113,OOB
65,65,-0.7703414722345769,106,OOB
66,66,-0.023812660947442055,1,OOB
67,67,-0.7137390747666359,35,OOB
68,68,0.3518211985938251,119,OOB
69,69,-0.7655079197138548,37,OOB
70,70,3.233182456344366,150,OOB
71,71,2.2592661771923304,128,OOB
72,72,1.2567351069301367,115,OOB
73,73,-0.020621689036488533,1,OOB
74,74,0.6425327388569713,119,OOB
75,75,2.399269936606288,128,OOB
76,76,0.7569384097587317,114,OOB
77,77,1.5816652988432907,116,OOB
78,78,-1.936623852699995,90,OOB
79,79,-0.16491195932030678,6,OOB
80,80,0.15769367665052414,94,OOB
81,81,-0.3396903034299612,16,OOB
82,82,0.9305862413020805,84,OOB
83,83,-2.2978259848896414,87,OOB
84,84,-2.0709215104579926,110,OOB
85,85,1.2579505117610097,104,OOB
86,86,1.3371074823662639,117,OOB
87,87,2.15579826827161,114,OOB
88,88,-0.021356096491217613,1,OOB
89,89,1.984183268621564,99,OOB
90,90,0.21794449840672314,97,OOB
91,91,0.011655068141408265,121,OOB
92,92,-0.020275945542380214,119,OOB
93,93,3.005337281152606,125,OOB
94,94,2.1779237096197903,104,OOB
95,95,2.1192097854800522,110,OOB
96,96,0.41607681196182966,87,OOB
97,97,-2.2129109110683203,113,OOB
98,98,0.6162146758288145,140,OOB
99,99,2.089746541401837,120,OOB
