,update,total_updates,T,FPS,window,mean,median,min,max
0,0,108,18432,461,50,-38.1063011,-43.989939500000006,-88.298872,112.339595
1,1,108,36864,463,50,-30.0934193,-30.556193,-79.932018,122.511854
2,2,108,55296,452,50,-14.23614308,-30.043759,-69.827447,118.586652
3,3,108,73728,434,50,-6.422509119999998,-21.189791999999997,-70.596071,117.051539
4,4,108,92160,419,50,-7.586704139999999,-21.016748,-64.520141,120.045563
5,5,108,110592,406,50,-5.297660639999999,-26.4893035,-53.175605,115.648369
6,6,108,129024,397,50,3.3579773600000005,-19.51785,-55.099098,127.333942
7,7,108,147456,384,50,19.84635066,-15.556626999999999,-42.798605,132.241829
8,8,108,165888,372,50,33.75954984,-10.080632999999999,-26.332107,126.806489
9,9,108,184320,362,50,37.39748128,-9.40048,-26.894099,130.828804
10,10,108,202752,352,50,50.881374879999996,49.367304499999996,-31.818301,128.204535
11,11,108,221184,344,50,36.45184298,-8.252639,-33.685208,128.737257
12,12,108,239616,339,50,57.73054549999999,113.09544,-25.902001,130.22868
13,13,108,258048,335,50,47.62182748,-9.0617905,-27.199195,131.462757
14,14,108,276480,332,50,40.99118343999999,-7.558172000000001,-19.828071,127.412345
15,15,108,294912,329,50,70.58006415999999,117.5780475,-22.077022,135.245034
16,16,108,313344,328,50,65.14089639999999,116.4917545,-22.256906,129.959734
17,17,108,331776,325,50,32.31556556,-11.6860435,-22.870575,130.452697
18,18,108,350208,321,50,70.73982249999999,117.25260800000001,-21.47815,130.307666
19,19,108,368640,317,50,82.16362344,119.191305,-19.393542,134.263047
20,20,108,387072,315,50,87.6464356,121.28330299999999,-23.493382,131.443931
21,21,108,405504,313,50,85.67868934,122.7622865,-22.085536,133.911805
22,22,108,423936,307,50,102.51838704,124.363437,-16.590004,134.854599
23,23,108,442368,302,50,80.13876731999999,122.308249,-20.362323,135.65086
24,24,108,460800,299,50,98.57032711999999,122.74327249999999,-22.498533,130.157883
25,25,108,479232,296,50,99.42647674000001,122.886242,-17.358214,133.425453
26,26,108,497664,292,50,99.9195609,123.6352855,-20.568735,134.1511
27,27,108,516096,289,50,94.00182611999999,123.456439,-18.577002,134.929676
28,28,108,534528,287,50,94.79273506000001,123.98856649999999,-17.346584,133.412411
29,29,108,552960,284,50,92.43108953999999,124.206321,-20.731196,136.020621
30,30,108,571392,282,50,98.85047141999999,126.062232,-17.908934,135.740129
31,31,108,589824,279,50,84.26830946,123.8075045,-18.062155,136.624238
32,32,108,608256,277,50,84.15969607999999,123.97827000000001,-24.993638,136.73711
33,33,108,626688,275,50,102.15271270000001,123.944999,-21.49885,135.014751
34,34,108,645120,275,50,106.23925505999999,125.6904745,-19.078758,132.063887
35,35,108,663552,274,50,99.66882458,123.4548725,-19.861991,134.409435
36,36,108,681984,273,50,98.2994972,125.9352245,-22.311001,134.744399
37,37,108,700416,272,50,78.84242148,124.83153150000001,-25.010411,133.749816
