,idx,reward_sum,n_steps,reason
0,0,-21.06675128545612,176,OOB
1,1,-0.7890279479324818,156,OOB
2,2,-2.896525077521801,87,OOB
3,3,-1.1129016587510705,72,OOB
4,4,-0.7736866883933544,73,OOB
5,5,0.21094241365790367,149,OOB
6,6,-0.783704990753904,79,OOB
7,7,-1.4147216656710953,67,OOB
8,8,-0.7890146132558584,73,OOB
9,9,-5.552561682648957,124,OOB
10,10,-0.3749984558671713,140,OOB
11,11,-1.287971755489707,130,OOB
12,12,-0.7212068010121584,139,OOB
13,13,-2.618525603786111,134,OOB
14,14,106.73696882231161,136,HOME
15,15,0.2736173998564482,145,OOB
16,16,-0.374755235388875,132,OOB
17,17,-0.7633016156032681,147,OOB
18,18,-2.4877133349655196,150,OOB
19,19,-2.7617261363193393,140,OOB
20,20,-1.200109993107617,50,OOB
21,21,-1.2085497733205557,50,OOB
22,22,-0.7364446297287941,144,OOB
23,23,-2.3958558873273432,141,OOB
24,24,-0.8279154310002923,51,OOB
25,25,-0.7457424178719521,125,OOB
26,26,0.1316344807855785,140,OOB
27,27,-0.5983700314536691,70,OOB
28,28,-1.0079254500451498,48,OOB
29,29,-0.7864763147663325,54,OOB
30,30,-0.4045768054202199,141,OOB
31,31,0.23512335866689682,76,OOB
32,32,-0.3498427392914891,71,OOB
33,33,-1.0176107538864017,119,OOB
34,34,-0.9149712007492781,127,OOB
35,35,-2.0219594701193273,76,OOB
36,36,-1.2404141947627068,50,OOB
37,37,-1.2490417081862688,50,OOB
38,38,-1.2480717825237662,51,OOB
39,39,0.2361027835868299,80,OOB
40,40,-0.41397279500961304,143,OOB
41,41,-1.3962067512329668,66,OOB
42,42,-1.3862191624939442,50,OOB
43,43,-4.101950027048588,146,OOB
44,44,105.39783768542111,151,HOME
45,45,-0.27660814905539155,66,OOB
46,46,-0.5372037922497839,61,OOB
47,47,-0.6917005474679172,62,OOB
48,48,-3.8935304172337055,123,OOB
49,49,-3.255462910979986,138,OOB
50,50,0.3093079589307308,141,OOB
51,51,-0.08906784933060408,69,OOB
52,52,-2.2064233040437102,152,OOB
53,53,-0.5639122035354376,55,OOB
54,54,-3.913605075329542,146,OOB
55,55,0.4725782722234726,137,OOB
56,56,-0.07970145717263222,136,OOB
57,57,-0.33228654274716973,139,OOB
58,58,-1.506953688338399,86,OOB
59,59,-0.8429648205637932,66,OOB
60,60,-0.5179312176769599,57,OOB
61,61,-0.9003135580569506,45,OOB
62,62,-0.12807828723452985,141,OOB
63,63,-3.582550985738635,152,OOB
64,64,-0.7364610123913735,66,OOB
65,65,-0.5367375588975847,59,OOB
66,66,-0.904826208949089,50,OOB
67,67,-0.506615037098527,54,OOB
68,68,-0.21212972304783762,67,OOB
69,69,-3.027777974959463,136,OOB
70,70,-1.1184134595096111,80,OOB
71,71,-0.9774187188595533,47,OOB
72,72,-0.36161912605166435,65,OOB
73,73,-0.8680846039787866,50,OOB
74,74,-3.6408646078780293,151,OOB
75,75,-1.631938373669982,61,OOB
76,76,-1.3716886285692453,46,OOB
77,77,-0.12275493610650301,67,OOB
78,78,-0.40062255039811134,131,OOB
79,79,-0.8394773355685174,55,OOB
80,80,0.40652618557214737,91,OOB
81,81,-0.4121433747932315,69,OOB
82,82,-1.3112575024133548,141,OOB
83,83,-4.4571462234598584,175,OOB
84,84,-2.7643173579126596,112,OOB
85,85,-0.8278473624959588,53,OOB
86,86,-0.2515943592879921,69,OOB
87,87,-0.2064376948401332,70,OOB
88,88,-1.789268356282264,106,OOB
89,89,-4.842594742774963,178,OOB
90,90,1.715317115187645,104,OOB
91,91,-0.036084797233343124,72,OOB
92,92,-0.17043218459002674,61,OOB
93,93,-3.1818650558125228,170,OOB
94,94,-3.401640323223546,144,OOB
95,95,-0.19017304852604866,62,OOB
96,96,-1.1075379895046353,49,OOB
97,97,1.4425514582544565,95,OOB
98,98,-0.22043414041399956,65,OOB
99,99,-0.5825432371348143,59,OOB
100,100,1.3141739442944527,119,OOB
101,101,1.5303632673858374,93,OOB
102,102,1.1285042827948928,85,OOB
103,103,-0.7464852533303201,53,OOB
104,104,-0.42341064568609,53,OOB
105,105,0.6460108575411141,77,OOB
106,106,-1.102703049313277,46,OOB
107,107,1.0888678655028343,90,OOB
108,108,1.0357956857187673,118,OOB
109,109,-2.463233378948644,129,OOB
110,110,-1.1660100354347378,45,OOB
111,111,-1.1035084496252239,48,OOB
112,112,-0.9969807113520801,48,OOB
113,113,-0.6723057352937758,52,OOB
114,114,-0.5786238661967218,103,OOB
115,115,-0.7163516695145518,102,OOB
116,116,-0.1741959466598928,113,OOB
117,117,1.0621472001075745,95,OOB
118,118,0.5963331204839051,78,OOB
119,119,0.5719119692221284,78,OOB
120,120,-0.9311005342751741,61,OOB
121,121,0.6702505690045655,88,OOB
122,122,1.6902390023460612,106,OOB
123,123,-1.7901921094744466,133,OOB
124,124,-1.9832061131019145,101,OOB
125,125,1.0912705096416175,84,OOB
126,126,1.2444630176760256,90,OOB
127,127,0.07387477741576731,73,OOB
128,128,0.7311164699494839,88,OOB
129,129,-2.1281872771214694,106,OOB
130,130,-0.07982275076210499,62,OOB
131,131,0.669122027233243,69,OOB
132,132,-0.18308439757674932,64,OOB
133,133,0.6090045019518584,75,OOB
134,134,-1.3125117109157145,97,OOB
135,135,0.9142259024083614,115,OOB
136,136,1.4497577548027039,114,OOB
137,137,-0.22933959402143955,66,OOB
138,138,0.6747571676969528,74,OOB
139,139,-0.007340569049119949,84,OOB
140,140,0.9374643019400537,88,OOB
141,141,-0.15918610902735963,66,OOB
142,142,1.7243037531152368,92,OOB
143,143,1.699786234414205,99,OOB
144,144,-0.6915331594645977,52,OOB
145,145,-0.17753870459273458,64,OOB
146,146,-1.0583423889765982,50,OOB
147,147,1.0678311213850975,83,OOB
148,148,-0.48786504846066236,54,OOB
149,149,0.02365668013226241,113,OOB
150,150,-1.2670552507042885,41,OOB
151,151,-0.12382751703262329,72,OOB
152,152,-0.48603771533817053,58,OOB
153,153,-0.09592199232429266,68,OOB
154,154,2.090850500855595,105,OOB
155,155,-1.7657058518379927,68,OOB
156,156,0.7882218947634101,101,OOB
157,157,0.879922291263938,96,OOB
158,158,-0.9107224489562213,54,OOB
159,159,1.766792588867247,105,OOB
160,160,0.6231922722654417,109,OOB
