,update,total_updates,T,FPS,window,mean,median,min,max
0,0,40,18432,388,50,-23.89813212,-22.561638000000002,-43.316899,-13.595599
1,1,40,36864,392,50,-27.07271494,-26.3065555,-46.627729,-13.924181
2,2,40,55296,405,50,-28.832373760000007,-31.229724500000003,-55.768576,103.724916
3,3,40,73728,415,50,-19.879585499999997,-43.76285,-64.642049,100.761408
4,4,40,92160,414,50,-24.03514396,-46.2918005,-68.477975,104.412938
5,5,40,110592,414,50,-1.4265789400000028,-45.2664495,-73.265054,112.510152
6,6,40,129024,414,50,-11.993360299999999,-40.2864655,-69.399671,102.917873
7,7,40,147456,413,50,5.260914399999998,-39.015148499999995,-81.687231,109.903143
8,8,40,165888,412,50,22.218002360000003,-27.2508735,-53.956806,112.629641
9,9,40,184320,409,50,13.261962979999998,-31.8931495,-57.450622,118.327573
10,10,40,202752,407,50,19.358413739999996,-27.017275499999997,-54.087875,114.079514
11,11,40,221184,403,50,45.50357991999999,99.8415775,-40.932538,117.616884
12,12,40,239616,401,50,34.9803054,-17.9054455,-39.368763,117.254935
13,13,40,258048,397,50,31.6184401,-19.028879,-36.86706,117.183916
14,14,40,276480,393,50,50.05989274,103.8251845,-37.763045,121.185951
15,15,40,294912,390,50,59.823019720000005,106.99437599999999,-45.837473,124.409658
16,16,40,313344,389,50,53.835047859999996,106.2062765,-34.61832,120.874003
17,17,40,331776,387,50,38.26998082,-18.060401,-34.163941,123.459697
18,18,40,350208,385,50,46.05946073999999,101.902726,-37.422936,121.301847
19,19,40,368640,383,50,46.3778098,105.879771,-34.856416,120.658389
20,20,40,387072,381,50,70.89286197999999,109.83757349999999,-36.803389,120.716642
21,21,40,405504,379,50,76.53818626,110.9405505,-35.910086,126.994104
22,22,40,423936,374,50,72.4244037,110.2196605,-35.258841,126.800586
23,23,40,442368,370,50,86.18191044,110.287125,-32.110931,125.161539
24,24,40,460800,367,50,78.22657714,111.731246,-36.660897,124.477257
25,25,40,479232,362,50,78.488708,112.9973715,-32.663971,125.140785
26,26,40,497664,359,50,60.85184766,109.908204,-32.469612,125.679508
27,27,40,516096,355,50,78.63935486,113.0825425,-36.069938,126.960338
28,28,40,534528,353,50,93.08351595999999,113.156463,-31.762514,131.974198
29,29,40,552960,351,50,85.85457966,115.07992150000001,-36.327758,132.47061
30,30,40,571392,348,50,77.07216416,113.5755925,-39.394475,127.050673
31,31,40,589824,345,50,78.49396478,113.1665905,-36.339278,129.805029
32,32,40,608256,343,50,87.04551692000001,112.788094,-33.148246,131.068833
33,33,40,626688,340,50,99.65657777999999,116.2610265,-33.629281,127.601016
34,34,40,645120,338,50,96.97328976,116.664902,-31.811,128.851122
35,35,40,663552,334,50,99.91018168000002,114.619799,-35.726025,131.624112
36,36,40,681984,332,50,85.51465673999999,114.24310700000001,-34.547186,127.990598
37,37,40,700416,330,50,85.13995586000001,115.052458,-38.527292,129.86899
38,38,40,718848,329,50,73.43431936,112.932164,-35.470431,126.141246
39,39,40,737280,327,50,64.55993638,113.55134000000001,-51.283042,128.936028
