,idx,reward_sum,n_steps,reason
0,0,141.3623463474214,449,OOT
1,1,11.063222823664546,449,OOT
2,2,13.790109211578965,449,OOT
3,3,18.21353432163596,449,OOT
4,4,13.806778971105814,449,OOT
5,5,16.786383666098118,449,OOT
6,6,16.569753099232912,449,OOT
7,7,19.962719075381756,449,OOT
8,8,16.362367153167725,449,OOT
9,9,14.664940316230059,449,OOT
10,10,14.807767888531089,449,OOT
11,11,17.8684049770236,449,OOT
12,12,20.79447440803051,449,OOT
13,13,19.751413077116013,449,OOT
14,14,18.69350365549326,449,OOT
15,15,19.420291788876057,449,OOT
16,16,16.080621100962162,449,OOT
17,17,18.568420503288507,449,OOT
18,18,12.121681669726968,449,OOT
19,19,20.62254048511386,449,OOT
