,update,total_updates,T,FPS,window,mean,median,min,max
0,0,27,18000,442,50,566.2589131,577.7480175000001,112.458137,1002.501561
1,1,27,36000,430,50,600.8990035400001,583.6981754999999,113.610557,1202.343823
2,2,27,54000,424,50,364.58452325999997,319.461754,115.237214,1035.265297
3,3,27,72000,414,50,385.85449153999997,315.3910025,124.990872,931.278861
4,4,27,90000,403,50,470.70316955999994,468.671279,162.304024,969.393102
5,5,27,108000,398,50,561.06763682,506.7567505,121.658559,1188.274432
6,6,27,126000,386,50,645.37893086,663.649459,310.508431,956.367171
7,7,27,144000,381,50,701.7916237800001,718.5405545,178.169568,1203.854675
8,8,27,162000,372,50,668.36443236,716.5045905,199.392748,1112.442444
9,9,27,180000,367,50,714.44045374,691.1829445000001,217.296108,1270.845235
10,10,27,198000,359,50,793.4318968599999,767.517262,224.161386,2639.313386
11,11,27,216000,355,50,803.5180837999999,801.8604865,207.010631,1404.357567
12,12,27,234000,354,50,909.3930738199998,841.109253,168.275551,2075.020449
13,13,27,252000,351,50,873.35531316,846.421609,172.117804,1983.846716
14,14,27,270000,348,50,844.5931060999999,763.760518,206.575096,2375.235582
15,15,27,288000,348,50,647.5016395600001,517.0530779999999,175.64387,1826.23419
16,16,27,306000,349,50,603.96945216,454.38559699999996,186.82378,2383.060389
17,17,27,324000,349,50,591.45305112,516.888892,229.177565,1385.765117
18,18,27,342000,350,50,666.83476358,571.849644,300.628575,2393.563643
19,19,27,360000,352,50,565.0370494,542.7305100000001,173.804388,1063.357371
20,20,27,378000,352,50,647.26166474,542.944058,284.119408,2238.130576
21,21,27,396000,353,50,641.28343364,553.672742,264.07972,2238.130576
22,22,27,414000,353,50,672.2664144600001,557.43312,296.236822,1550.915042
23,23,27,432000,353,50,543.01036842,501.135572,226.056119,1299.358619
24,24,27,450000,352,50,620.75309732,553.9515530000001,234.827997,1799.215358
25,25,27,468000,352,50,583.2527573,544.46643,343.823437,1556.811205
26,26,27,486000,352,50,610.06031186,538.4426885,307.857979,1372.395365
