,idx,reward_sum,n_steps,reason
0,0,140.873543350026,449,OOT
1,1,16.22147061675787,399,OOB
2,2,8.259520617313683,401,OOB
3,3,13.72735957428813,420,OOB
4,4,12.5285729970783,449,OOT
5,5,17.885921113193035,449,OOT
6,6,9.806234307587147,317,OOB
7,7,10.815981199033558,449,OOT
8,8,14.298013735562563,449,OOT
9,9,9.403268460184336,319,OOB
10,10,14.915308171883225,449,OOT
11,11,12.3231640458107,449,OOT
12,12,15.442577876150608,449,OOT
13,13,13.724754728376865,334,OOB
14,14,18.432592168450356,366,OOB
15,15,10.117440294474363,311,OOB
16,16,18.537117931991816,449,OOT
17,17,14.913990695029497,353,OOB
18,18,11.060222461819649,406,OOB
19,19,16.337751239538193,449,OOT
