,idx,reward_sum,n_steps,reason
0,0,140.74259284883738,449,OOT
1,1,17.47348684258759,449,OOT
2,2,19.009174555540085,449,OOT
3,3,17.00651186145842,449,OOT
4,4,19.406545475125313,449,OOT
5,5,17.343752149492502,449,OOT
6,6,19.75086760520935,449,OOT
7,7,15.613528015092015,449,OOT
8,8,16.388056844472885,449,OOT
9,9,19.473753705620766,449,OOT
10,10,20.227333180606365,449,OOT
11,11,16.14819049090147,449,OOT
12,12,18.03296240232885,449,OOT
13,13,18.881586795672774,449,OOT
14,14,16.516221715137362,449,OOT
15,15,17.756032656878233,449,OOT
16,16,15.879286063835025,449,OOT
17,17,17.510683462023735,449,OOT
18,18,21.335884239524603,449,OOT
19,19,17.088888509199023,449,OOT
