,update,total_updates,T,FPS,window,mean,median,min,max
0,0,61,18000,544,50,760.87838542,729.377443,114.34115,1772.270139
1,1,61,36000,510,50,731.4656138600002,667.2110984999999,184.584399,1771.651933
2,2,61,54000,494,50,689.93316112,685.562784,225.573815,1466.948679
3,3,61,72000,488,50,633.0212889999999,613.006457,173.914061,979.466859
4,4,61,90000,478,50,578.3178754800001,527.4139315,346.296687,1018.849362
5,5,61,108000,474,50,625.65175316,605.7444215,347.271837,1382.89105
6,6,61,126000,468,50,612.4310122,611.131477,356.71901,829.64474
7,7,61,144000,463,50,669.2260502,662.789127,408.609944,1391.082978
8,8,61,162000,462,50,646.3134457399999,652.0586525,251.626859,1056.436961
9,9,61,180000,464,50,725.3896060599999,671.24674,87.217469,1750.502783
10,10,61,198000,463,50,758.9346251399999,748.9976615,141.814217,1679.541348
11,11,61,216000,464,50,721.1051691800001,710.7645255,158.021663,1349.322377
12,12,61,234000,466,50,762.2813922199999,725.847505,172.59035,1262.570676
13,13,61,252000,466,50,777.7763577200001,691.9953485,240.063817,1671.54083
14,14,61,270000,467,50,782.7463273,783.2202985,169.28677,1924.445687
15,15,61,288000,469,50,865.49286274,808.1241554999999,181.478308,1779.410417
16,16,61,306000,470,50,887.5888244,825.7155230000001,299.195837,2092.515566
17,17,61,324000,471,50,997.15865314,954.6828025,376.108125,2092.780898
18,18,61,342000,473,50,880.9865259199998,881.063195,190.493277,1933.808871
19,19,61,360000,473,50,921.54905004,886.7202454999999,198.589365,2028.316367
20,20,61,378000,474,50,904.3489224599999,909.3638545,173.16717,1686.642582
21,21,61,396000,475,50,941.7304218599999,917.6010365,254.576896,1780.84231
22,22,61,414000,475,50,968.71054548,905.54788,270.387191,1645.385887
23,23,61,432000,476,50,968.5084815800001,923.8000294999999,358.566456,1552.351382
24,24,61,450000,476,50,972.83919582,915.701002,228.100259,1968.625858
25,25,61,468000,477,50,1057.8352009799999,1074.9996225,188.847465,2012.461848
26,26,61,486000,477,50,1050.80866022,1100.0986950000001,248.613408,1875.12623
27,27,61,504000,478,50,1078.3800460600003,1079.9785655,270.352549,1869.359025
28,28,61,522000,479,50,1155.77649744,1173.456281,274.957443,2284.235878
29,29,61,540000,480,50,1234.4031002799998,1301.723347,233.914064,2450.531275
30,30,61,558000,479,50,1260.3697809199998,1232.141725,267.34099,2273.650501
31,31,61,576000,480,50,1257.38456812,1231.1905379999998,189.388936,2193.768084
32,32,61,594000,480,50,1325.6553596400001,1362.401073,397.210746,2352.283707
33,33,61,612000,481,50,911.59192916,738.6573125,269.669028,2187.96786
34,34,61,630000,481,50,793.1433342199999,680.253342,278.711472,2415.516529
35,35,61,648000,482,50,684.1731011,591.0946325,226.543489,1733.245918
36,36,61,666000,482,50,586.44203062,519.737511,226.543489,1791.007421
37,37,61,684000,482,50,607.27232392,484.752343,308.240144,2059.325477
38,38,61,702000,483,50,622.2200562600001,541.5474745,202.1472,1836.885414
39,39,61,720000,483,50,552.38193014,507.42881650000004,280.229933,1438.898485
40,40,61,738000,483,50,592.65503642,535.947221,280.229933,1543.446185
41,41,61,756000,484,50,596.19722992,585.4195205000001,335.260623,906.511211
42,42,61,774000,484,50,561.54831064,542.75909,303.523716,978.488618
43,43,61,792000,484,50,574.8867741800001,535.1590424999999,369.855847,950.29581
44,44,61,810000,484,50,576.72840916,523.987173,260.68057,1044.967157
45,45,61,828000,484,50,562.0051647800001,565.4615325,323.137171,977.80945
46,46,61,846000,485,50,536.4585089999999,509.42931150000004,369.65927,912.128132
47,47,61,864000,485,50,518.25247696,485.344419,386.524376,863.529796
48,48,61,882000,486,50,535.60280132,509.86846849999995,362.766784,901.803527
49,49,61,900000,486,50,562.46234182,543.575113,372.395029,1059.949843
50,50,61,918000,486,50,558.50548844,544.6721660000001,388.979514,819.014591
51,51,61,936000,487,50,569.4855038,521.4861975,361.115539,1087.719338
52,52,61,954000,486,50,571.4448266,516.057765,361.115539,1429.526003
53,53,61,972000,486,50,555.07712022,550.798591,381.925569,985.429181
54,54,61,990000,485,50,576.27210612,571.993416,238.210059,1153.320425
55,55,61,1008000,485,50,543.0337789399999,539.637972,238.210059,901.718696
56,56,61,1026000,485,50,562.29378292,559.105607,372.447125,971.749495
57,57,61,1044000,484,50,543.29809778,509.82569350000006,331.537184,1076.241695
58,58,61,1062000,484,50,575.13579584,552.789453,246.596214,1405.227475
59,59,61,1080000,483,50,561.5921764,502.60065599999996,246.596214,1096.086129
60,60,61,1098000,483,50,538.77343874,529.729229,377.298548,1094.847894
